"IdAccesos","Formulario","Descripcion"
1,"OrdenVer","Ver todos los botones de la RC"
2,"PedidosPorMes/Otras","Ver Importes Totales (TotalImporte) y Precios. En varias consultas"
3,"OrdenVer/Otras","Poder Modificar la Orden de produccion"
4,"OrdenVer","Meter o modificar el precio de maquila"
5,"PedidosPorMes","Modificar Pedidos"
6,"Clientes","Modificar Clientes (Cualquiera puede agregar)"
7,"Existencia","Ver Totales de telas e importes"
8,"OrdCompraProceso","Poder autorizar Ordenes de Compra"
9,"EtiquetasM","Modificar las Etiquetas de Marca"
10,"RC_MeterFechas","Se puede meter las fechas con mas de 2 dias de retrazo"
11,"CC_AltaAuditorias","Se puedes generar auditorias"
12,"CC_AltaAuditorias","Modificar Auditorias (En Todas Partes)"
13,"CC_ConsultaAuditorias","Se pueden Actualizar las auditorias (Solo algunos datos, dando doble click)"
14,"PedidosRealesVer","Poder modificar pedidos reales."
15,"MaquilerosProg","Poder Agregar / Modificar los maquileros programados"
16,"Indicadores General","Poder agregar la fecha que sea en varios formularios de indicadores"
17,"IP_Productiv","Poder accesar al formulario (Meter Productividad de IP)"
18,"IP_ConfAgregar","Poder accesar al formulario (Evaluar la confiabilidad de Fichas)"
19,"Alm_IC_Alta","Poder accesar al form. (Dar de alta los modelos que se van a revisar)"
20,"Alm_IC_Cont","Poder accesar al form. (Meter la cantidad que se conto)"
21,"Alm_IC_Consulta","Poder Accesar al form. (Consultar los inventarios ciclicos)"
22,"IP_MuesPend_Pend","Poder Accesar al form. (Meter el avance de los muestrarios pendientes)"
23,"Alm_Prd_Diaria","Poder Accesar al form. (Meter la productividad de Almacen)"
24,"EsMa_EdoCta","Poder Accesar al form (Solo para ver y meter pagos)"
25,"EsMa_EdoCta","Poder hacer cualquier modficacion a las cuentas de los maquileros"
26,"IPT_Modelos","Poder Accesar al form (Para clasificar los modelos)"
27,"IPT_Exis","Poder Accesar al form (Consultar los inventarios de PT)"
28,"IPT_Movimientos","Poder meter la fecha que sea en los movimientos de almacen de PT"
29,"IPT_MovsLista","Poder MODIFICAR algun movimiento del inventario de PT"
30,"IPT_Movimientos","Poder meter cantidades en negativo al Inventario de PT"
31,"OrdenVer","Poder meter o modificar habilitacion."
32,"Procesos","Poder meter informacion de corte y salidas a maquileros"
33,"Procesos","Poder meter informacion de entradas de maquila"
34,"OrdenVer","Ver el boton de costos"
35,"RC_MeterDatosDet","Poder meter la fecha que sea en el cumplimiento"
36,"OrdenVer","Ver Precio Real de maquila"
37,"Maquileros","Poder dar de alta nuevos maquileros y asignarlos como asegurados"
38,"Proveedores","Poder modificar informacion de proveedores"
