"IdAlm_InvCic","FechaIC","ModeloIC","CantProscai","CantReal"
1,04/11/2008 00:00:00,"11421",130,130
2,04/11/2008 00:00:00,"14170",110,110
3,05/11/2008 00:00:00,"11251",84,84
4,05/11/2008 00:00:00,"11261",84,84
5,06/11/2008 00:00:00,"11411",56,56
6,06/11/2008 00:00:00,"11931",291,291
7,07/11/2008 00:00:00,"14182",223,223
8,07/11/2008 00:00:00,"14401",607,607
9,10/11/2008 00:00:00,"14451",110,110
10,10/11/2008 00:00:00,"34401",5,5
11,11/11/2008 00:00:00,"44108",119,119
12,11/11/2008 00:00:00,"46821",175,175
13,12/11/2008 00:00:00,"46823",202,202
14,12/11/2008 00:00:00,"51118",40,40
15,13/11/2008 00:00:00,"51131",32,29
16,13/11/2008 00:00:00,"51136",29,30
17,14/11/2008 00:00:00,"51211",60,60
18,14/11/2008 00:00:00,"51251",41,40
19,17/11/2008 00:00:00,"51252",50,50
20,17/11/2008 00:00:00,"51261",64,64
21,18/11/2008 00:00:00,"51312",8,8
22,18/11/2008 00:00:00,"51391",603,603
23,19/11/2008 00:00:00,"814",254,254
24,19/11/2008 00:00:00,"123555",179,179
25,20/11/2008 00:00:00,"123556",138,137
26,20/11/2008 00:00:00,"21778",3497,1
27,21/11/2008 00:00:00,"2241-B",188,188
28,21/11/2008 00:00:00,"25818",340,339
29,24/11/2008 00:00:00,"31001",16,16
30,24/11/2008 00:00:00,"31005",16,16
31,25/11/2008 00:00:00,"31006",526,526
32,25/11/2008 00:00:00,"31009",40,40
33,26/11/2008 00:00:00,"31011",23,23
34,26/11/2008 00:00:00,"31016",29,29
35,27/11/2008 00:00:00,"31103",709,697
36,27/11/2008 00:00:00,"31104",717,697
37,28/11/2008 00:00:00,"31106",18,18
38,28/11/2008 00:00:00,"31108",725,721
39,01/12/2008 00:00:00,"31113-B",716,716
40,01/12/2008 00:00:00,"31122",10,10
41,02/12/2008 00:00:00,"31133",49,49
42,02/12/2008 00:00:00,"31135",271,271
43,03/12/2008 00:00:00,"31197",22,22
44,03/12/2008 00:00:00,"31227",97,97
45,04/12/2008 00:00:00,"31234",110,110
46,04/12/2008 00:00:00,"31235",103,103
47,05/12/2008 00:00:00,"31586",665,665
48,05/12/2008 00:00:00,"31688",215,215
49,08/12/2008 00:00:00,"31701",12,12
50,08/12/2008 00:00:00,"31714",76,76
51,09/12/2008 00:00:00,"31801",29,29
52,09/12/2008 00:00:00,"31802",5,5
53,10/12/2008 00:00:00,"31803",30,30
54,10/12/2008 00:00:00,"31847",40,4
55,11/12/2008 00:00:00,"31849",72,72
56,11/12/2008 00:00:00,"31865",62,-1
57,12/12/2008 00:00:00,"32098",41,41
58,12/12/2008 00:00:00,"34001",36,36
59,15/12/2008 00:00:00,"34007",55,55
60,15/12/2008 00:00:00,"34008",273,273
61,16/12/2008 00:00:00,"34009",273,273
62,16/12/2008 00:00:00,"34013",525,525
63,17/12/2008 00:00:00,"34014",1164,1163
64,17/12/2008 00:00:00,"34081",70,70
65,18/12/2008 00:00:00,"34120",34,34
66,18/12/2008 00:00:00,"34802",700,702
67,19/12/2008 00:00:00,"34832",760,761
68,19/12/2008 00:00:00,"35101",937,701
69,05/01/2009 00:00:00,"35102",460,459
70,05/01/2009 00:00:00,"35107",4,-1
71,06/01/2009 00:00:00,"35109",62,62
72,06/01/2009 00:00:00,"35112",50,3
73,07/01/2009 00:00:00,"35114",30,30
74,07/01/2009 00:00:00,"35115",13,13
75,08/01/2009 00:00:00,"35117",8,-1
76,08/01/2009 00:00:00,"35122",16,16
77,09/01/2009 00:00:00,"35214",725,391
78,09/01/2009 00:00:00,"36001",404,404
79,12/01/2009 00:00:00,"51091",1724,1724
80,12/01/2009 00:00:00,"51092",2,4
81,13/01/2009 00:00:00,"51095",4,4
82,13/01/2009 00:00:00,"51103",1192,-1
83,14/01/2009 00:00:00,"51104",1,1
84,14/01/2009 00:00:00,"51104B",1174,1173
85,15/01/2009 00:00:00,"56006",8,8
86,15/01/2009 00:00:00,"51519",21,22
87,16/01/2009 00:00:00,"61511",210,168
88,16/01/2009 00:00:00,"61682",29,1
89,19/01/2009 00:00:00,"71014",1,1
90,19/01/2009 00:00:00,"72010",4,4
91,20/01/2009 00:00:00,"74020",20,
92,20/01/2009 00:00:00,"84102",4,4
93,21/01/2009 00:00:00,"86010",52,1
94,21/01/2009 00:00:00,"C21102",3,3
95,22/01/2009 00:00:00,"31087",16,16
96,22/01/2009 00:00:00,"51134",1912,1874
97,23/01/2009 00:00:00,"52991",466,286
98,23/01/2009 00:00:00,"61917",954,953
99,26/01/2009 00:00:00,"66103",236,212
100,26/01/2009 00:00:00,"71015",33,33
101,27/01/2009 00:00:00,"74101",200,200
102,27/01/2009 00:00:00,"81104",25,-1
103,28/01/2009 00:00:00,"C21103",716,108
104,28/01/2009 00:00:00,"P20088",3,3
105,29/01/2009 00:00:00,"31238",20,20
106,29/01/2009 00:00:00,"51105",173,173
107,30/01/2009 00:00:00,"51351",32,32
108,30/01/2009 00:00:00,"56007",304,2991
111,03/02/2009 00:00:00,"74102",615,617
112,03/02/2009 00:00:00,"81561",149,66
113,04/02/2009 00:00:00,"P21108",234,150
114,04/02/2009 00:00:00,"PL21114",52,51
115,05/02/2009 00:00:00,"P21103",357,339
116,05/02/2009 00:00:00,"20088",3,3
117,06/02/2009 00:00:00,"51215",961,960
118,06/02/2009 00:00:00,"55137",82,82
119,09/02/2009 00:00:00,"64556",304,303
120,09/02/2009 00:00:00,"74838",1,1
121,10/02/2009 00:00:00,"84838",19,19
122,10/02/2009 00:00:00,"85124",15,15
123,11/02/2009 00:00:00,"86106",200,193
124,11/02/2009 00:00:00,"P21110",299,299
125,12/02/2009 00:00:00,"55146",1851,1903
126,12/02/2009 00:00:00,"55147",2155,2150
127,13/02/2009 00:00:00,"75129",21,48
128,13/02/2009 00:00:00,"85125",84,42
129,16/02/2009 00:00:00,"72130",1,1
130,16/02/2009 00:00:00,"55145",25,71
131,17/05/2009 00:00:00,"54149",27,26
132,17/02/2009 00:00:00,"54150",4,3
133,18/02/2009 00:00:00,"52147",2,6
134,18/02/2009 00:00:00,"75122",9,9
135,19/02/2009 00:00:00,"31097",3,3
136,19/02/2009 00:00:00,"51093",3,3
137,20/02/2009 00:00:00,"51301",1,1
138,20/02/2009 00:00:00,"61135",3,3
139,23/02/2009 00:00:00,"71054",1,1
140,23/02/2009 00:00:00,"76088",2,2
141,24/02/2009 00:00:00,"81598",6,3
142,24/02/2009 00:00:00,"84040",5,5
143,25/02/2009 00:00:00,"20102",17,17
144,25/02/2009 00:00:00,"34838",38,38
145,26/02/2009 00:00:00,"51108A",1208,1164
146,26/02/2009 00:00:00,"51135",24,30
147,27/02/2009 00:00:00,"52800",120,119
148,27/02/2009 00:00:00,"55124",34,14
149,02/03/2009 00:00:00,"55147",2155,6
150,02/03/2009 00:00:00,"61841",830,440
151,03/03/2009 00:00:00,"74108",219,219
152,03/03/2009 00:00:00,"85118",168,93
153,04/03/2009 00:00:00,"20104",16,16
154,04/03/2009 00:00:00,"31519",20,20
155,05/03/2009 00:00:00,"51113B",833,831
156,05/03/2009 00:00:00,"52950",192,192
157,06/03/2009 00:00:00,"54803",548,578
158,06/03/2009 00:00:00,"55135",3655,3447
159,09/03/2009 00:00:00,"56008",3029,3026
160,09/03/2009 00:00:00,"64832",75,76
161,10/03/2009 00:00:00,"66104",192,192
162,10/03/2009 00:00:00,"81115",330,325
163,11/03/2009 00:00:00,"20106",8,7
164,11/03/2009 00:00:00,"31128",3,3
165,12/03/2009 00:00:00,"34980",35,35
166,12/03/2009 00:00:00,"51136",1881,1882
167,13/03/2009 00:00:00,"54001",554,267
168,13/03/2009 00:00:00,"55105",29,27
169,17/03/2009 00:00:00,"56009",1853,1861
170,17/03/2009 00:00:00,"64832",75,64
171,18/03/2009 00:00:00,"071917",4,2
172,18/03/2009 00:00:00,"086102",501,491
173,19/03/2009 00:00:00,"000815",157,159
174,19/03/2009 00:00:00,"031300",31,19
175,20/03/2009 00:00:00,"035204",1431,4
