"IdAlm_Prd","FechaAlm","Personas","HorasTrabajadas"
1,03/12/2008 00:00:00,8,9
2,04/12/2008 00:00:00,8,9
3,05/12/2008 00:00:00,8,9
4,06/12/2008 00:00:00,6,9
5,07/12/2008 00:00:00,4,9
6,08/12/2008 00:00:00,6,9
7,09/12/2008 00:00:00,6,9
8,10/12/2008 00:00:00,6,9
9,11/12/2008 00:00:00,6,9
10,12/12/2008 00:00:00,6,9
11,15/12/2008 00:00:00,6,9
12,16/12/2008 00:00:00,6,9
13,17/12/2008 00:00:00,6,9
14,18/12/2008 00:00:00,6,9
16,19/12/2008 00:00:00,6,9
17,23/12/2008 00:00:00,2,9
18,29/12/2008 00:00:00,3,9
19,30/12/2008 00:00:00,3,9
20,31/12/2008 00:00:00,2,9
21,06/01/2009 00:00:00,6,9
22,07/01/2009 00:00:00,6,9
23,08/01/2009 00:00:00,6,9
24,10/01/2009 00:00:00,7,9
25,11/01/2009 00:00:00,6,9
26,12/01/2009 00:00:00,7,9
27,13/01/2009 00:00:00,7,9
28,14/01/2009 00:00:00,7,9
29,15/01/2009 00:00:00,7,9
30,16/01/2009 00:00:00,7,9
31,19/01/2009 00:00:00,7,9
32,20/01/2009 00:00:00,7,9
33,21/01/2009 00:00:00,7,9
34,22/01/2009 00:00:00,3,9
35,23/01/2009 00:00:00,2,9
36,26/01/2009 00:00:00,6,9
37,27/01/2009 00:00:00,6,9
38,28/01/2009 00:00:00,6,9
39,29/01/2009 00:00:00,6,9
40,30/01/2009 00:00:00,7,9
41,03/02/2009 00:00:00,7,9
42,04/02/2009 00:00:00,7,9
43,06/02/2009 00:00:00,7,9
45,10/02/2009 00:00:00,6,9
46,11/02/2009 00:00:00,7,9
47,17/02/2009 00:00:00,6,9
48,18/02/2009 00:00:00,5,9
49,19/02/2009 00:00:00,6,9
50,20/02/2009 00:00:00,6,9
51,23/02/2009 00:00:00,6,9
52,24/02/2009 00:00:00,6,9
53,25/02/2009 00:00:00,6,9
54,26/02/2009 00:00:00,6,9
55,27/02/2009 00:00:00,6,9
56,02/03/2009 00:00:00,7,9
57,03/03/2009 00:00:00,7,9
58,04/03/2009 00:00:00,7,9
59,05/03/2009 00:00:00,7,9
60,06/03/2009 00:00:00,7,9
61,09/03/2009 00:00:00,7,9
62,10/03/2009 00:00:00,7,9
63,11/03/2009 00:00:00,7,9
64,13/03/2009 00:00:00,7,9
65,17/03/2009 00:00:00,6,9
66,18/03/2009 00:00:00,6,9
68,19/03/2009 00:00:00,6,9
69,20/03/2009 00:00:00,7,9
70,23/03/2009 00:00:00,7,9
71,24/03/2009 00:00:00,7,9
76,26/03/2009 00:00:00,7,9
78,27/03/2009 00:00:00,7,9
79,30/03/2009 00:00:00,7,9
80,31/03/2009 00:00:00,7,9
82,01/04/2009 00:00:00,6,9
83,02/04/2009 00:00:00,5,9
84,03/04/2009 00:00:00,6,9
87,06/04/2009 00:00:00,14,9
89,13/04/2009 00:00:00,13,9
91,14/04/2009 00:00:00,13,9
92,04/04/2009 00:00:00,6,9
93,05/04/2009 00:00:00,5,9
94,07/04/2009 00:00:00,13,9
95,08/04/2009 00:00:00,13,9
96,09/04/2009 00:00:00,5,9
97,15/04/2009 00:00:00,6,9
98,16/04/2009 00:00:00,7,9
99,17/04/2009 00:00:00,7,9
100,21/04/2009 00:00:00,6,9
101,22/04/2009 00:00:00,6,9
102,23/04/2009 00:00:00,6,9
103,24/04/2009 00:00:00,6,9
104,27/04/2009 00:00:00,5,9
105,28/04/2009 00:00:00,6,9
106,29/04/2009 00:00:00,6,9
107,30/04/2009 00:00:00,6,9
108,04/05/2009 00:00:00,4,9
109,05/05/2009 00:00:00,5,9
110,06/05/2009 00:00:00,5,9
111,07/05/2009 00:00:00,5,9
112,11/05/2009 00:00:00,6,9
113,08/05/2009 00:00:00,6,9
114,14/05/2009 00:00:00,6,9
115,15/05/2009 00:00:00,6,9
116,18/05/2009 00:00:00,6,9
117,19/05/2009 00:00:00,6,9
118,20/05/2009 00:00:00,6,9
119,22/05/2009 00:00:00,6,9
120,25/05/2009 00:00:00,6,9
121,26/05/2009 00:00:00,6,9
122,27/05/2009 00:00:00,6,9
123,28/05/2009 00:00:00,6,9
124,29/05/2009 00:00:00,8,9
125,01/06/2009 00:00:00,8,9
126,02/06/2009 00:00:00,8,9
127,03/06/2009 00:00:00,8,9
128,04/06/2009 00:00:00,6,9
129,05/06/2009 00:00:00,6,9
130,08/06/2009 00:00:00,6,9
131,09/06/2009 00:00:00,6,9
132,10/06/2009 00:00:00,6,9
133,15/06/2009 00:00:00,6,9
134,17/06/2009 00:00:00,6,9
135,18/06/2009 00:00:00,6,9
136,19/06/2009 00:00:00,6,9
138,22/06/2009 00:00:00,4,9
139,23/06/2009 00:00:00,6,9
140,25/06/2009 00:00:00,6,9
141,30/06/2009 00:00:00,4,9
142,03/07/2009 00:00:00,5,9
144,06/07/2009 00:00:00,5,9
145,07/07/2009 00:00:00,5,9
146,08/07/2009 00:00:00,4,9
147,09/07/2009 00:00:00,4,9
148,14/07/2009 00:00:00,3,9
149,15/07/2009 00:00:00,4,9
150,16/07/2009 00:00:00,4,9
151,17/07/2009 00:00:00,4,9
152,24/07/2009 00:00:00,4,9
153,25/07/2009 00:00:00,3,9
154,27/07/2009 00:00:00,6,9
155,28/07/2009 00:00:00,7,9
156,29/07/2009 00:00:00,7,9
157,30/07/2009 00:00:00,6,9
158,03/08/2009 00:00:00,7,9
159,04/08/2009 00:00:00,5,9
160,05/08/2009 00:00:00,7,9
161,06/08/2009 00:00:00,7,9
162,07/08/2009 00:00:00,7,9
163,08/08/2009 00:00:00,3,9
164,10/08/2009 00:00:00,8,9
165,11/08/2009 00:00:00,8,9
166,12/08/2009 00:00:00,7,9
167,13/08/2009 00:00:00,8,9
168,14/08/2009 00:00:00,8,9
169,17/08/2009 00:00:00,8,9
170,18/08/2009 00:00:00,8,9
171,19/08/2009 00:00:00,6,9
172,24/08/2009 00:00:00,7,9
173,25/08/2009 00:00:00,7,9
174,27/08/2009 00:00:00,7,9
175,26/08/2009 00:00:00,7,9
176,01/09/2009 00:00:00,7,9
177,18/09/2009 00:00:00,7,9
178,21/09/2009 00:00:00,6,9
179,22/09/2009 00:00:00,7,9
180,23/09/2009 00:00:00,7,9
181,24/09/2009 00:00:00,6,9
182,25/09/2009 00:00:00,7,9
183,29/09/2009 00:00:00,7,9
186,30/09/2009 00:00:00,6,9
187,01/10/2009 00:00:00,6,9
188,05/10/2009 00:00:00,6,9
189,06/10/2009 00:00:00,6,9
190,07/10/2009 00:00:00,6,9
191,12/10/2009 00:00:00,0,9
195,21/10/2009 00:00:00,5,9
196,22/10/2009 00:00:00,6,9
197,23/10/2009 00:00:00,6,9
198,26/10/2009 00:00:00,6,9
199,27/10/2009 00:00:00,5,9
200,28/10/2009 00:00:00,6,9
201,29/10/2009 00:00:00,5,9
202,02/11/2009 00:00:00,6,9
203,04/11/2009 00:00:00,5,9
204,05/11/2009 00:00:00,6,9
205,09/11/2009 00:00:00,10,9
206,11/11/2009 00:00:00,6,9
207,12/11/2009 00:00:00,0,9
209,13/11/2009 00:00:00,6,9
210,17/11/2009 00:00:00,5,9
211,18/11/2009 00:00:00,6,9
212,24/11/2009 00:00:00,5,9
213,25/11/2009 00:00:00,5,9
214,01/12/2009 00:00:00,5,9
215,04/12/2009 00:00:00,6,9
216,08/12/2009 00:00:00,6,9
