"IdAlm_Prd_Det","IdAlm_Prd","IdAlm_Prd_Act","IdClientes","Piezas"
20,1,1,16,3220
21,1,2,16,3220
22,1,5,16,3220
23,1,6,16,3220
24,1,8,16,3220
25,1,9,16,3220
26,1,11,16,170
27,1,5,2,718
28,1,6,2,718
29,1,7,2,718
30,1,8,2,700
31,1,8,2,18
32,1,9,2,718
33,1,10,2,718
34,1,11,2,32
35,2,1,16,4310
36,2,5,2,470
37,2,6,2,470
38,2,7,2,470
39,2,8,2,470
40,2,9,2,470
41,2,10,2,470
42,3,6,2,3300
43,3,7,2,3300
44,3,8,2,3300
45,3,9,2,3300
46,3,10,2,3300
47,3,11,2,155
48,4,1,16,1856
49,4,5,16,1856
50,4,6,16,1856
51,4,9,16,1856
52,4,11,16,107
53,5,1,16,1680
54,5,5,16,1680
55,5,6,16,1680
56,5,9,16,1680
57,5,11,16,105
58,6,1,16,1408
60,6,5,16,1408
61,6,6,16,1408
62,6,9,16,1408
63,6,11,16,88
64,7,5,31,600
65,7,6,31,600
66,7,9,31,600
67,7,11,31,50
68,8,1,31,2376
69,8,5,31,2376
70,8,6,31,2376
71,8,9,31,2376
72,8,11,31,99
73,9,1,31,2189
74,9,5,31,2189
75,9,6,31,2189
76,9,9,31,2189
77,9,11,31,91
78,10,6,35,1500
79,10,9,35,1500
80,10,6,35,750
81,11,6,35,800
82,11,9,35,800
83,11,2,35,2577
84,11,5,35,2577
85,11,6,35,500
86,12,2,2,3168
87,12,5,2,3168
88,12,6,2,3168
89,12,9,2,3168
90,12,11,2,176
91,12,7,2,300
92,13,2,2,4194
93,13,5,2,4194
94,13,6,2,4194
95,13,9,2,4194
96,13,7,2,1776
97,13,11,2,233
98,14,9,38,3406
102,16,5,38,3406
103,16,6,38,3046
104,17,1,37,400
105,17,5,37,400
106,17,6,37,400
107,17,8,37,400
108,17,9,37,400
109,18,1,37,996
110,18,5,37,996
111,18,6,37,996
112,18,8,37,996
113,18,9,37,996
114,18,11,37,20
115,19,1,37,1123
116,19,5,37,1123
117,19,6,37,1123
118,19,8,37,1123
119,19,9,37,1123
120,19,11,37,49
121,20,1,37,303
122,20,5,37,303
123,20,6,37,303
124,20,8,37,303
125,20,9,37,303
126,20,11,37,15
127,21,6,1,972
128,22,9,1,972
129,23,4,1,972
130,23,5,1,972
131,23,10,1,972
132,23,11,1,36
133,24,1,16,3000
134,24,2,16,1772
135,24,5,16,1772
136,24,6,16,1772
137,24,8,16,1772
138,24,9,16,1772
139,24,11,16,110
140,25,2,16,1776
141,25,5,16,1776
142,25,6,16,1776
143,25,8,16,1776
144,25,9,16,1776
145,25,2,16,2142
147,25,6,16,2142
148,25,8,16,2142
149,25,9,16,2142
150,25,11,16,110
156,26,2,16,2498
157,26,5,16,2498
158,26,6,16,2498
159,26,8,16,2498
160,26,9,16,2498
161,26,2,16,576
162,26,5,16,576
163,26,6,16,576
164,26,8,16,576
165,26,9,16,576
166,26,1,16,16
167,26,6,16,16
168,26,8,16,16
169,26,9,16,16
170,26,5,16,16
171,26,11,16,327
172,26,1,16,1960
173,27,1,35,1064
174,27,1,35,1064
175,27,8,35,1064
176,27,1,35,990
177,27,2,35,990
178,27,8,35,990
179,27,2,35,1999
180,27,5,35,1999
181,27,2,35,7777
182,27,2,35,1896
183,28,9,35,400
184,28,2,1,2728
185,28,2,16,248
186,29,1,16,721
187,29,2,16,721
188,29,6,16,721
189,29,8,16,721
190,30,2,16,320
191,30,5,16,320
192,30,6,16,320
193,30,8,16,320
194,30,9,16,320
195,30,5,16,768
196,30,11,16,68
197,31,1,16,1008
198,31,2,16,1008
199,31,5,16,1008
200,31,6,16,1008
201,31,8,16,1008
202,31,9,16,1008
203,31,2,16,308
204,31,5,16,308
205,31,11,16,63
206,32,9,39,1916
207,33,6,39,1250
208,34,6,39,666
209,35,8,37,200
210,35,10,37,200
211,36,5,39,1916
212,36,9,39,1916
213,36,8,37,200
214,36,10,37,200
215,36,11,37,50
216,37,2,16,218
217,37,3,16,218
218,37,4,16,218
219,37,5,16,218
220,37,6,16,218
221,37,7,16,218
222,37,11,16,7
223,37,8,37,300
224,37,10,37,300
225,38,8,37,200
226,38,9,37,200
227,38,8,37,1000
228,38,9,37,1000
229,39,8,37,2020
230,39,10,37,2020
231,40,5,16,3018
232,40,9,16,3018
233,40,11,16,72
234,41,8,16,2000
235,41,10,16,2000
236,42,8,16,156
237,42,10,16,156
238,43,2,16,986
239,45,1,16,595
240,45,8,16,595
241,46,4,1,648
242,46,5,1,648
243,46,6,1,648
244,46,9,1,648
245,46,10,1,648
246,46,11,1,32
247,47,1,41,1221
248,47,5,41,1221
249,47,6,41,1221
250,47,8,41,1221
251,47,9,41,1221
252,47,11,41,30
253,47,10,41,300
254,48,2,35,1726
255,48,5,35,1726
256,49,1,16,1157
257,49,2,16,1157
258,49,8,16,1157
259,49,2,35,4487
260,49,5,35,4487
261,50,1,16,540
262,50,2,16,540
263,50,8,16,540
264,51,1,16,241
265,51,8,16,241
266,52,2,16,3206
267,52,1,16,479
268,52,8,16,479
269,53,1,16,479
270,53,8,16,479
271,53,2,16,2048
272,54,1,16,863
273,54,8,16,863
274,54,2,16,790
275,54,6,41,692
276,54,9,41,692
277,55,1,16,863
278,55,8,16,863
279,55,5,41,692
280,55,6,41,692
281,55,4,35,147
282,55,5,35,147
283,55,6,35,147
284,55,7,35,147
285,56,1,16,2575
286,56,8,16,2575
287,56,6,1,648
