"IdAlmacenes","Almacen","Activo"
1,"Intersew",0
2,"1.Naucalpan",1
3,"Herbert",0
4,"CSJ",0
5,"Creaciones Pop",0
6,"Villaron",0
7,"Victor Alamos",0
8,"Adrian Cruz",0
9,"Tomas Pe¤a",0
10,"Oscar Aragon",1
11,"Bashbush",0
12,"Ignacio Hernand",0
13,"Daniel Gutierre",0
14,"Moises Martinez",0
15,"Mercedes",0
16,"Cuautitlan",0
17,"Jose Luis Casti",0
18,"PAULA JUAREZ",0
19,"Julian Cid",0
20,"Ramos Corte",0
21,"Vicente Lozano",0
22,"Julian Flores",0
23,"Juan Garcia",0
24,"Feliza Chavez",0
25,"Heriberto Herre",0
26,"Adrian Pallares",0
27,"Guadalupe Grana",0
28,"Miguel Hernande",0
29,"Julio Villanuev",0
30,"Perla Olvera",0
31,"Francisco Lopez",0
32,"Catalina Estrad",0
33,"Elias Parra",0
34,"Pedro Torres",0
35,"Carlos Figueroa",0
36,"Francisco Moren",0
37,"Eusebio Herrera",0
38,"Librado Zamora",0
39,"Jesus Flores",0
40,"Gabino Diaz",0
41,"Maricela Hernan",0
42,"Liborio Macias",0
43,"Leopoldo Diaz",0
44,"Elias Maximo",0
45,"Marina Canales",0
46,"Polo Plus",0
47,"Pedro Cantillo",0
48,"Susano Mujica",0
49,"Constantino Pin",0
50,"Justino Diaz",0
51,"Roberto Chavez",0
52,"Guillermo Leon",0
53,"Dulce Maria",1
54,"Juan Sosa",1
55,"Salomon Achar",1
56,"Daniel Perez",1
