"IdBordados","Nombre","Descripcion","Puntadas","Foto","Precio","BorEst"
1,"51714",,0,"51714",$2.50,0
2,"61714-Est","sport33",0,"61714-Est",$2.50,0
3,"31714",,0,"31714",$2.50,0
4,"31730",,0,"31730",$2.50,0
5,"51715",,0,"51715",$2.50,0
6,"71714",,0,"71714",$2.50,0
7,"51741",,0,"51741",$2.50,0
8,"51740",,0,"51740",$2.50,0
9,"31740",,0,"31740",$2.50,0
10,"61740",,0,"61740",$2.50,0
11,"71740",,0,"71740",$2.50,0
12,"51730",,0,"51730",$2.50,0
13,"51731",,0,"51731",$2.50,0
14,"31730",,0,"31730",$2.50,0
15,"61730",,0,"61730",$2.50,0
16,"71730",,0,"71730",$2.50,0
17,"74900",,0,"74900",$2.50,0
18,"54901",,0,"54901",$2.50,0
19,"64901",,0,"64901",$2.50,0
20,"84980",,0,"84980",$2.50,0
21,"54980",,0,"54980",$2.50,0
22,"34980",,0,"34980",$0.00,1
23,"74980",,0,"74980",$2.50,0
24,"54001",,0,"54001",$2.50,0
25,"81770",,0,"81770",$2.50,0
26,"51771",,0,"51771",$2.50,0
27,"51770",,0,"51770",$2.50,0
28,"71770",,0,"71770",$2.50,0
29,"31770",,0,"31770",$2.50,1
30,"51791",,0,"51791",$2.50,0
31,"61790",,0,"61790",$2.50,0
32,"71792",,0,"71792",$2.50,0
33,"31793",,0,"31793",$2.50,0
34,"71893",,0,"71893",$2.50,0
35,"51891",,0,"51891",$2.50,0
36,"51892",,0,"51892",$2.50,0
37,"31894",,0,"31894",$2.50,0
38,"81890",,0,"81890",$2.50,0
39,"61895",,0,"61895",$2.50,0
40,"51896",,0,"51896",$2.50,0
41,"71897",,0,"71897",$2.50,0
42,"31898",,0,"31898",$2.50,0
43,"71996",,0,"71996",$2.50,0
44,"61994",,0,"61994",$2.50,0
45,"51995",,0,"51995",$2.50,0
46,"31993",,0,"31993",$2.50,0
47,"61010",,0,"61010",$2.50,0
48,"81030",,0,"81030",$2.50,0
49,"81050",,0,"81050",$2.50,0
50,"61040",,0,"61040",$2.50,0
51,"81020",,0,"81020",$2.50,0
52,"64010",,0,"64010",$2.50,0
53,"64050",,0,"64050",$2.50,1
54,"84040",,0,"84040",$0.00,1
55,"64030",,0,"64030",$2.50,0
56,"64060",,0,"64060",$2.50,0
57,"84020",,0,"84020",$2.50,0
58,"64070",,0,"64070",$2.50,0
59,"74030",,0,"74030",$2.50,0
60,"62050",,0,"62050",$2.50,0
61,"72050",,0,"72050",$0.00,1
62,"82010a",,0,"82010a",$2.50,0
63,"72010",,0,"72010",$2.50,0
64,"82020",,0,"82020",$2.50,0
65,"72020",,0,"72020",$2.50,0
66,"82040",,0,"82040",$2.50,0
67,"72030",,0,"72030",$0.00,1
68,"62030",,0,"62030",$0.00,1
69,"82010b",,0,"82010b",$2.50,0
70,"813",,0,"813",$2.50,0
71,"74020",,0,"74020",$0.00,1
72,"61890",,0,"61890",$2.50,0
73,"814",,0,"814",$2.50,1
74,"815",,0,"815",$2.50,1
75,"61111",,0,"61111",$2.50,0
76,"61110",,0,"61110",$2.50,0
77,"61140",,0,"61140",$2.50,0
78,"61311",,0,"61311",$2.50,0
79,"61130",,0,"61130",$2.50,0
80,"61131a",,0,"61131a",$2.50,0
81,"61131b",,0,"61131b",$2.50,0
82,"71120",,0,"71120",$2.50,0
83,"71130",,0,"71130",$2.50,0
84,"71140",,0,"71140",$2.50,0
85,"51095",,0,"51095",$2.50,0
86,"81094",,0,"81094",$2.50,0
87,"71096",,0,"71096",$2.50,0
88,"31097",,0,"31097",$2.50,1
89,"61194",,0,"61194",$2.50,0
90,"51195a",,0,"51195a",$2.50,0
91,"51195b",,0,"51195b",$2.50,0
92,"71196",,0,"71196",$2.50,0
93,"31197",,0,"31197",$2.50,0
94,"81294",,0,"81294",$2.50,0
95,"51295a",,0,"51295a",$2.50,0
96,"51295b",,0,"51295b",$2.50,0
97,"71296",,0,"71296",$2.50,0
98,"51002",,0,"51002",$2.50,0
99,"51006",,0,"51006",$2.50,0
100,"51009",,0,"51009",$2.50,1
101,"51013",,0,"51013",$2.50,0
102,"81561","YORK",0,"81561",$0.00,1
103,"51105",,0,"51105",$2.50,0
104,"51103",,0,"51103",$2.50,0
105,"71183","walmart",0,"71183",$2.50,0
106,"51181","walmart",0,"51181",$2.50,0
107,"51182","walmart",0,"51182",$2.50,0
108,"31184","walmart",0,"31184",$2.50,0
109,"71283","walmart",0,"71283",$2.50,0
110,"51280","walmart",0,"51280",$2.50,0
111,"51281","walmart",0,"51281",$2.50,0
112,"81180","walmart",0,"81180",$2.50,0
113,"51282","walmart",0,"51282",$2.50,0
114,"51206","walmart",0,"51206",$2.50,0
115,"81005","cherokee",0,"81005",$2.50,0
116,"61005a","cherokee",0,"61005a",$2.50,0
117,"71005","cherokee",0,"71005",$2.50,0
118,"31005","cherokee",0,"31005",$2.50,0
119,"81001","cherokee",0,"81001",$2.50,0
120,"61001","cherokee",0,"61001",$2.50,0
121,"71001","cherokee",0,"71001",$2.50,1
122,"31001","cherokee",0,"31001",$2.50,0
123,"81004a","cherokee",0,"81004a",$2.50,0
124,"61004",,0,"61004",$2.50,0
125,"31004",,0,"31004",$2.50,0
126,"81003",,0,"81003",$2.50,0
127,"61003",,0,"61003",$2.50,0
128,"61005b","cherokee aplicaci¢n",0,"61005b",$2.50,0
129,"31003",,0,"31003",$2.50,0
130,"61007",,0,"61007",$2.50,1
131,"81007",,0,"81007",$2.50,1
132,"71007",,0,"71007",$2.50,1
