"IdCC_Auditorias","NumAuditoria","IdOrdenes","FechaElaboracion","FechaAuditoria","IdMaquilero","IdUsuariosElaboro","IdUsuariosAuditor","TamanoMuestra","Resultado","TipoAuditoria","Observaciones","Cancelada"
36,36,473,03/06/2008 11:05:24,28/05/2008 00:00:00,11,31,2,32,2,1,"Se fue en 3 ocsiones a revisar este modelo
Las ultimas recomendaciones fueeron :
Cuidar que el el†stico no quede fuer de costura, cuidar que las bolsas no queden safadas, y que queden tambiÇn a ala misma altura
Esta auditori fue para el color verde porque el negro aun esta en linea.Para este se pidio considerar laas mismas recomendaciones.",1
37,37,736,11/06/2008 10:22:46,,0,31,0,0,0,0,,1
38,38,662,16/06/2008 13:12:19,30/05/2008 00:00:00,13,31,31,32,1,2,"Se reporto en line problema de simetri y centrdo de cuellos, se observo en la entrega auna grn mejoria a este respecto.
TambiÇn ls prendas van sin estampado en espalda pero me Informo Daniel (Dirrecci¢n de Proucci¢n) que fue autorizado as° por la premura de la entrega.",0
39,39,690,16/06/2008 13:20:50,,6,31,0,0,0,0,,1
40,40,664,16/06/2008 13:23:36,02/06/2008 00:00:00,13,31,31,32,2,2,"Se rechazo la orden porque presento cuellos fruncios y algunas piezas quemadas en la talla CH, se quitaron las que se pudieron detectar.Referente al otro defecto por la premura se envio as° al Cliente, esto fue inicado por Daaniel Masri (Direcci¢n de Producci¢n).",0
41,41,624,16/06/2008 13:34:42,,6,31,0,0,0,0,,1
42,42,624,16/06/2008 13:37:09,05/06/2008 00:00:00,6,31,31,32,1,2,"Esta orden regreso de una Devloluci¢n.Realizada ya con anterioridad al Maquilero de la cual desconozco el motivo.
Pero fue revisado y paso la auditoria.",0
43,43,488,16/06/2008 13:45:21,,13,31,0,0,0,0,,1
44,44,688,16/06/2008 13:48:59,05/06/2008 00:00:00,6,31,31,20,2,2,"Se devolvera al maquilero ya que presenta muchas hebras.",0
45,45,693,16/06/2008 14:02:18,05/06/2008 00:00:00,6,31,31,32,2,2,"Esta orden regresara al Maquiilero para su arreglo ya que viene con muchas hebras.Informado Direcci¢n de producci¢n",0
46,46,688,16/06/2008 14:09:25,05/06/2008 00:00:00,6,31,31,20,2,2,"Orden rechazada se devolvera al maquilero por mal dehebrado. Esta es la variate Blanco con Rojo.
TambiÇn se reporto mal palnchado en manga se informo tambien al respecto al maquilero.",0
47,47,714,16/06/2008 16:34:32,09/06/2008 00:00:00,35,31,31,32,1,2,,0
48,48,714,16/06/2008 16:43:38,11/06/2008 00:00:00,35,31,31,32,1,2,,0
49,49,625,16/06/2008 18:00:25,09/06/2008 00:00:00,6,31,31,32,1,2,"Esta orden fue aceptada pero me informa Ricrdo que se habia devuelto al maquilero. Desconozco cual fue el motivo de la  devoluci¢n.",0
50,50,703,17/06/2008 09:47:32,,13,31,0,0,0,0,,1
51,51,694,17/06/2008 10:05:58,12/06/2008 00:00:00,7,31,31,32,2,2,"Rechazado por que las prendas llegaron con los cuellos muy arrugados.Causas empaque y estampado.
El maquilero env°o la mercancia en bosas como se e ha indicado pero  las prendas vienen muy apretadas  y a parte si el manejo e el trasporte o fue el adecuado provoca que se machuquen y arruguen.
Ademas posteriormete se paso al estampado lo cual al pasar por calor ya que aplica una  temperatura muy elevada para que se fije el estampado  ocasioa que se fije estas arrugas por lo que auque se plache que es lo que se tuvo que hacer este no quede  muy bienen
Se informo a los dos respectivos maquileros Pop y Borda Print. Se ecotrro a demas alrededor de 100 pzas 50 quemadas y el resto machado.Tambie etrego la mercacia revuellta as° que se le solicito corregirla  evi¢ dos personas Borda Print para hacer esta correcci¢n.",0
52,52,694,17/06/2008 10:19:00,13/06/2008 00:00:00,7,31,31,32,2,2,"Rechazado por que las prendas llegaron con los cuellos muy arrugados.Causas empaque y estampado.
El maquilero env°o la mercancia en bosas como se e ha indicado pero  las prendas vienen muy apretadas  y a parte si el manejo e el trasporte o fue el adecuado provoca que se machuquen y arruguen.
Ademas posteriormete se paso al estampado lo cual al pasar por calor ya que aplica una  temperatura muy elevada para que se fije el estampado  ocasioa que se fije estas arrugas por lo que auque se plache que es lo que se tuvo que hacer este no quede  muy bienen
Se informo a los dos respectivos maquileros Pop y Borda Print. Se ecotrro a demas alrededor de 100 pzas 50 quemadas y el resto machado.Tambie etrego la mercacia revuellta as° que se le solicito corregirla  evi¢ dos personas Borda Print para hacer esta correcci¢n.
VARIANTE BLANCO CON NEGRO",0
53,53,691,17/06/2008 10:22:10,,13,31,0,0,0,0,,1
54,54,694,17/06/2008 10:23:02,13/06/2008 00:00:00,7,31,31,32,2,2,"Rechazado por que las prendas llegaron con los cuellos muy arrugados.Causas empaque y estampado.
El maquilero env°o la mercancia en bosas como se e ha indicado pero  las prendas vienen muy apretadas  y a parte si el manejo e el trasporte o fue el adecuado provoca que se machuquen y arruguen.
Ademas posteriormete se paso al estampado lo cual al pasar por calor ya que aplica una  temperatura muy elevada para que se fije el estampado  ocasioa que se fije estas arrugas por lo que auque se plache que es lo que se tuvo que hacer este no quede  muy bienen
Se informo a los dos respectivos maquileros Pop y Borda Print. Se ecotrro a demas alrededor de 100 pzas 50 quemadas y el resto machado.Tambie etrego la mercacia revuellta as° que se le solicito corregirla  evi¢ dos personas Borda Print para hacer esta correcci¢n.
VARIANTE ROJO /BLANCO",0
55,55,694,17/06/2008 10:26:41,13/06/2008 00:00:00,7,31,31,32,2,2,"Rechazado por que las prendas llegaron con los cuellos muy arrugados.Causas empaque y estampado.
El maquilero env°o la mercancia en bosas como se e ha indicado pero  las prendas vienen muy apretadas  y a parte si el manejo e el trasporte o fue el adecuado provoca que se machuquen y arruguen.
Ademas posteriormete se paso al estampado lo cual al pasar por calor ya que aplica una  temperatura muy elevada para que se fije el estampado  ocasioa que se fije estas arrugas por lo que auque se plache que es lo que se tuvo que hacer este no quede  muy bienen
Se informo a los dos respectivos maquileros Pop y Borda Print. Se ecotrro a demas alrededor de 100 pzas 50 quemadas y el resto machado.Tambie etrego la mercacia revuellta as° que se le solicito corregirla  evi¢ dos personas Borda Print para hacer esta correcci¢n.
VARIANTE NARANJA/NEGRO",0
56,56,668,19/06/2008 10:05:02,17/06/2008 00:00:00,13,31,31,32,2,2,"La perenda se envi¢ a Tomas, para su arreglo, esta la volvio a planchaar. Pero auditandola nuevamente encontramos que mejoro el  cuello,no en su totalidad.
Pero se sigue viendo fruncido los vivos en el area de la manga. Se n¢tifico a Daniel Masri(Direcci¢n de producci¢n),  quedamos en espera  de indicaci¢n si se aceptara as° la prenda.",0
57,57,713,19/06/2008 10:25:15,18/06/2008 00:00:00,36,31,31,32,1,2,"Se informa que la orden presenta variaci¢n de tono de prenda a prenda.Separaron en tono para empacar.",0
58,58,713,20/06/2008 15:05:24,18/06/2008 00:00:00,36,31,31,32,1,2,"El modelo presenta prendas fuera de registro y manchadas por causa de estampado.
Se informo a producci¢n de Direcci¢n (Daniel Masri). 
Se quitaron l algunas prendas que vimos grabes por este problema.",0
59,59,712,23/06/2008 16:47:01,18/06/2008 00:00:00,30,31,31,32,1,2,"La  prenda preseto  en la auditoria 3 prendas con mal estampado. 
Se procuro checar mas predas y se quitaron aquellas que se detectaron con problema de estampado.Se reporto a Direcci¢n Producci¢n.",0
60,60,708,23/06/2008 16:52:32,18/06/2008 00:00:00,0,31,0,0,0,0,,1
