"IdCC_AuditoriasDet","IdCC_Auditorias","IdCC_Catalogo","NumFallas"
1,2,1,0
2,2,2,0
3,2,3,0
4,2,4,0
5,2,5,0
6,2,6,0
8,2,11,3
9,2,12,0
10,2,14,0
11,2,15,0
12,2,16,0
14,2,18,0
15,2,19,0
16,2,20,0
17,2,21,0
18,2,22,0
19,2,24,1
20,2,25,0
21,2,26,0
22,2,27,0
23,2,29,0
24,2,30,0
25,2,31,0
26,2,32,2
27,2,33,0
28,2,34,8
29,2,35,0
30,2,36,0
31,2,37,0
32,3,1,0
33,3,2,0
34,3,3,0
35,3,4,0
36,3,5,0
37,3,6,0
38,3,8,0
39,3,11,0
40,3,12,0
42,3,15,0
43,3,16,0
45,3,18,3
46,3,19,0
47,3,20,0
48,3,21,0
49,3,22,0
50,3,24,0
51,3,25,0
52,3,26,0
53,3,27,0
54,3,29,0
55,3,30,0
56,3,31,0
57,3,32,1
58,3,33,0
59,3,34,13
60,3,35,0
61,3,36,0
62,3,37,1
63,4,1,0
64,4,2,0
65,4,3,0
66,4,4,0
67,4,5,0
68,4,6,0
69,4,8,0
70,4,11,0
71,4,12,0
73,4,15,0
74,4,16,0
76,4,18,0
77,4,19,0
78,4,20,0
79,4,21,0
80,4,22,0
81,4,24,0
82,4,25,0
83,4,26,0
84,4,27,0
85,4,29,0
86,4,30,0
87,4,31,0
88,4,32,5
89,4,33,0
90,4,34,10
91,4,35,0
92,4,36,0
93,4,37,0
94,5,1,0
95,5,2,0
96,5,3,0
97,5,4,0
98,5,5,0
99,5,6,0
101,5,11,0
102,5,12,1
103,5,14,0
104,5,15,0
105,5,16,0
106,5,17,0
107,5,18,0
108,5,19,0
109,5,20,0
110,5,21,0
111,5,22,3
112,5,24,2
113,5,25,0
114,5,26,0
115,5,27,0
116,5,29,0
117,5,30,0
118,5,31,0
119,5,32,10
120,5,33,0
121,5,34,7
122,5,35,0
123,5,36,0
124,5,37,0
125,6,1,0
126,6,2,0
127,6,3,0
128,6,4,0
129,6,5,0
130,6,6,0
131,6,8,0
132,6,11,0
133,6,12,0
134,6,14,0
135,6,15,0
136,6,16,0
138,6,18,0
139,6,19,0
140,6,20,0
141,6,21,0
142,6,22,3
143,6,24,0
144,6,25,0
145,6,26,1
146,6,27,0
147,6,29,0
148,6,30,0
149,6,31,0
150,6,32,8
152,6,34,2
153,6,35,0
154,6,36,0
155,6,37,1
156,6,38,0
157,7,1,0
158,7,2,0
159,7,3,0
160,7,4,0
161,7,5,0
162,7,6,0
163,7,8,0
164,7,11,0
165,7,12,0
167,7,15,0
168,7,16,0
169,7,17,0
170,7,18,0
171,7,19,0
172,7,20,0
173,7,21,0
174,7,22,0
175,7,24,0
176,7,25,0
177,7,26,0
178,7,27,0
179,7,29,0
180,7,30,0
181,7,31,0
182,7,32,0
183,7,33,0
184,7,34,17
185,7,35,0
186,7,36,0
187,7,37,1
188,8,1,0
189,8,2,0
190,8,3,0
191,8,4,0
192,8,5,0
193,8,6,0
194,8,8,0
195,8,11,0
196,8,12,0
198,8,15,0
199,8,16,0
201,8,18,0
202,8,19,0
203,8,20,0
204,8,21,0
205,8,22,2
206,8,24,0
207,8,25,0
208,8,26,0
209,8,27,0
210,8,29,0
211,8,30,0
212,8,31,0
213,8,32,0
214,8,33,0
215,8,34,15
216,8,35,0
217,8,36,0
218,8,37,0
219,9,1,0
220,9,2,0
221,9,3,0
222,9,4,0
223,9,5,0
224,9,6,0
225,9,8,0
226,9,11,0
227,9,12,0
229,9,15,0
230,9,16,5
232,9,18,0
233,9,19,0
234,9,20,0
235,9,21,0
236,9,22,0
237,9,24,0
238,9,25,0
239,9,26,0
240,9,27,0
241,9,29,0
242,9,30,0
243,9,31,0
244,9,32,0
245,9,33,0
246,9,34,17
247,9,35,0
248,9,36,1
249,9,37,0
250,10,1,0
251,10,2,0
252,10,3,0
253,10,4,0
254,10,5,0
255,10,6,0
256,10,8,0
257,10,11,0
258,10,12,0
260,10,15,0
261,10,16,0
263,10,18,0
264,10,19,0
265,10,20,0
266,10,21,0
267,10,22,0
268,10,24,0
269,10,25,0
270,10,26,0
271,10,27,0
272,10,29,0
273,10,30,0
274,10,31,0
275,10,32,0
276,10,33,0
277,10,34,0
278,10,35,0
279,10,36,0
280,10,37,0
281,11,1,1
282,11,2,0
283,11,3,0
284,11,4,0
285,11,5,0
286,11,6,0
287,11,8,0
288,11,11,0
289,11,12,0
291,11,15,0
292,11,16,0
293,11,17,0
294,11,18,2
295,11,19,0
296,11,20,0
297,11,21,0
298,11,22,4
299,11,24,0
300,11,25,0
301,11,26,13
302,11,27,0
303,11,29,0
304,11,30,0
305,11,31,0
306,11,32,0
307,11,33,0
308,11,34,20
309,11,35,0
310,11,36,0
311,11,37,0
312,12,1,1
313,12,2,0
314,12,3,0
315,12,4,0
316,12,5,0
317,12,6,0
318,12,8,0
319,12,11,0
320,12,12,13
321,12,14,0
322,12,15,0
323,12,16,0
325,12,18,0
326,12,19,0
327,12,20,0
328,12,21,0
329,12,22,4
330,12,24,0
331,12,25,0
332,12,26,0
333,12,27,0
334,12,29,0
335,12,30,0
336,12,31,0
337,12,32,0
338,12,33,0
339,12,34,20
340,12,35,6
341,12,36,0
342,12,37,0
343,13,1,0
344,13,2,0
345,13,3,0
346,13,4,0
347,13,5,0
348,13,6,0
349,13,8,0
350,13,11,0
351,13,12,0
352,13,14,0
353,13,15,0
354,13,16,0
355,13,17,0
356,13,18,0
357,13,19,0
358,13,20,0
359,13,21,0
360,13,22,0
361,13,24,0
362,13,25,0
363,13,26,0
364,13,27,0
365,13,29,0
366,13,30,0
367,13,31,0
368,13,32,0
369,13,33,0
370,13,34,0
371,13,35,0
372,13,36,0
373,13,37,0
374,14,1,0
375,14,2,0
376,14,3,0
377,14,4,0
378,14,5,0
379,14,6,0
380,14,8,0
381,14,11,8
382,14,12,0
384,14,15,0
385,14,16,0
386,14,17,0
387,14,18,0
388,14,19,0
389,14,20,0
390,14,21,0
391,14,22,4
392,14,24,0
393,14,25,0
394,14,26,0
395,14,27,0
396,14,29,0
397,14,30,0
398,14,31,0
399,14,32,0
400,14,33,0
401,14,34,19
402,14,35,0
403,14,36,7
404,14,37,3
405,15,1,0
406,15,2,0
407,15,3,0
408,15,4,0
409,15,5,0
410,15,6,0
411,15,8,0
412,15,11,1
413,15,12,0
415,15,15,0
416,15,16,8
418,15,18,0
419,15,19,0
420,15,20,0
421,15,21,0
422,15,22,13
423,15,24,1
424,15,25,0
425,15,26,0
426,15,27,0
427,15,29,11
428,15,30,0
429,15,31,0
430,15,32,5
431,15,33,0
432,15,34,20
433,15,35,15
434,15,36,0
435,15,37,0
436,16,1,0
437,16,2,0
438,16,3,0
439,16,4,1
440,16,5,0
441,16,6,0
442,16,8,0
443,16,11,0
444,16,12,0
446,16,15,0
447,16,16,4
449,16,18,0
450,16,19,0
451,16,20,0
452,16,21,0
453,16,22,0
454,16,24,0
455,16,25,0
456,16,26,0
457,16,27,0
458,16,29,7
459,16,30,0
460,16,31,0
461,16,32,0
462,16,33,0
463,16,34,20
464,16,35,1
465,16,36,0
466,16,37,0
467,17,1,0
468,17,2,3
469,17,3,0
470,17,4,0
471,17,5,0
472,17,6,0
473,17,8,0
474,17,11,0
475,17,12,0
476,17,14,0
477,17,15,0
478,17,16,0
480,17,18,0
481,17,19,0
482,17,20,0
483,17,21,0
484,17,22,0
485,17,24,0
486,17,25,0
487,17,26,2
488,17,27,0
489,17,29,0
490,17,30,0
491,17,31,0
492,17,32,4
493,17,33,0
494,17,34,7
495,17,35,0
496,17,36,0
497,17,37,0
498,18,1,0
499,18,2,2
500,18,3,0
501,18,4,0
502,18,5,0
503,18,6,0
504,18,8,0
505,18,11,0
506,18,12,0
508,18,15,0
509,18,16,0
511,18,18,0
512,18,19,0
513,18,20,0
514,18,21,0
515,18,22,0
516,18,24,0
517,18,25,0
518,18,26,0
519,18,27,0
520,18,29,0
521,18,30,0
522,18,31,0
523,18,32,2
524,18,33,0
525,18,34,8
526,18,35,6
527,18,36,0
528,18,37,0
529,19,1,0
530,19,2,0
531,19,3,0
532,19,4,0
533,19,5,0
534,19,6,0
535,19,8,0
536,19,11,0
537,19,12,0
538,19,14,0
539,19,15,0
540,19,16,0
542,19,18,0
543,19,19,0
544,19,20,0
545,19,21,0
546,19,22,1
547,19,24,0
548,19,25,0
549,19,26,0
550,19,27,0
551,19,29,0
552,19,30,0
553,19,31,0
554,19,32,0
555,19,33,0
556,19,34,5
557,19,35,0
558,19,36,0
559,19,37,0
560,20,1,0
561,20,2,0
562,20,3,0
563,20,4,0
564,20,5,0
565,20,6,0
566,20,8,0
567,20,11,0
568,20,12,0
570,20,15,0
571,20,16,1
573,20,18,0
574,20,19,0
575,20,20,0
576,20,21,0
577,20,22,0
578,20,24,0
579,20,25,0
580,20,26,0
581,20,27,0
582,20,29,0
583,20,30,0
584,20,31,0
585,20,32,0
586,20,33,0
587,20,34,1
588,20,35,0
589,20,36,0
590,20,37,0
591,21,1,0
592,21,2,0
593,21,3,0
594,21,4,0
595,21,5,0
596,21,6,0
597,21,8,0
598,21,11,0
599,21,12,0
600,21,14,0
601,21,15,0
602,21,16,0
604,21,18,0
605,21,19,0
606,21,20,0
607,21,21,0
608,21,22,32
609,21,24,0
610,21,25,0
611,21,26,0
612,21,27,0
613,21,29,0
614,21,30,0
615,21,31,0
616,21,32,3
617,21,33,0
618,21,34,0
619,21,35,8
620,21,36,1
621,21,37,3
622,22,1,0
623,22,2,0
624,22,3,0
625,22,4,0
626,22,5,0
627,22,6,0
628,22,8,0
629,22,11,0
630,22,12,0
631,22,14,0
632,22,15,0
633,22,16,0
635,22,18,0
636,22,19,0
637,22,20,0
638,22,21,0
639,22,22,11
640,22,24,1
641,22,25,0
642,22,26,6
643,22,27,0
644,22,29,8
645,22,30,0
646,22,31,0
647,22,32,0
648,22,33,0
649,22,34,15
650,22,35,0
651,22,36,2
652,22,37,0
653,23,1,0
654,23,2,0
655,23,3,0
656,23,4,0
657,23,5,0
658,23,6,0
659,23,8,0
660,23,11,0
661,23,12,0
662,23,14,0
663,23,15,0
664,23,16,0
665,23,17,0
666,23,18,0
667,23,19,0
668,23,20,0
669,23,21,0
670,23,22,0
671,23,24,0
672,23,25,0
673,23,26,0
674,23,27,0
675,23,29,0
676,23,30,0
677,23,31,0
678,23,32,0
679,23,33,0
680,23,34,0
681,23,35,0
682,23,36,0
683,23,37,0
684,24,1,0
685,24,2,0
686,24,3,0
687,24,4,0
688,24,5,0
689,24,6,0
690,24,8,0
691,24,11,0
692,24,12,0
693,24,14,0
694,24,15,0
695,24,16,0
697,24,18,0
698,24,19,0
699,24,20,0
700,24,21,0
701,24,22,20
702,24,24,0
703,24,25,0
704,24,26,0
705,24,27,0
706,24,29,0
707,24,30,0
708,24,31,0
709,24,32,0
710,24,33,0
711,24,34,1
712,24,35,0
713,24,36,3
714,24,37,0
715,25,1,0
716,25,2,0
717,25,3,0
718,25,4,0
719,25,5,0
720,25,6,0
721,25,8,0
722,25,11,0
723,25,12,0
724,25,14,0
725,25,15,0
726,25,16,0
728,25,18,0
729,25,19,0
730,25,20,0
731,25,21,0
732,25,22,0
733,25,24,0
734,25,25,0
735,25,26,2
736,25,27,0
737,25,29,0
738,25,30,0
739,25,31,0
740,25,32,0
741,25,33,0
742,25,34,15
743,25,35,0
744,25,36,0
745,25,37,0
746,26,1,0
747,26,2,0
748,26,3,0
749,26,4,0
750,26,5,0
751,26,6,0
752,26,8,0
753,26,11,0
754,26,12,0
755,26,14,0
756,26,15,0
757,26,16,0
759,26,18,0
760,26,19,0
761,26,20,0
762,26,21,0
763,26,22,0
764,26,24,0
765,26,25,0
766,26,26,10
767,26,27,0
768,26,29,0
769,26,30,0
770,26,31,0
771,26,32,0
772,26,33,0
773,26,34,32
774,26,35,0
775,26,36,0
776,26,37,0
777,27,1,0
778,27,2,0
779,27,3,0
780,27,4,0
781,27,5,0
782,27,6,0
783,27,8,0
784,27,11,0
785,27,12,3
786,27,14,0
787,27,15,0
788,27,16,0
790,27,18,0
791,27,19,0
792,27,20,0
793,27,21,0
794,27,22,0
795,27,24,0
796,27,25,0
797,27,26,0
798,27,27,0
799,27,29,0
800,27,30,0
801,27,31,0
802,27,32,0
803,27,33,0
804,27,34,32
805,27,35,0
806,27,36,0
807,27,37,0
808,28,1,0
809,28,2,0
810,28,3,0
811,28,4,0
812,28,5,0
813,28,6,0
814,28,8,0
815,28,11,0
816,28,12,0
817,28,14,0
818,28,15,0
819,28,16,0
821,28,18,0
822,28,19,0
823,28,20,0
824,28,21,0
825,28,22,1
826,28,24,0
827,28,25,0
828,28,26,0
829,28,27,0
830,28,29,0
831,28,30,0
832,28,31,0
833,28,32,2
834,28,33,0
835,28,34,32
836,28,35,0
837,28,36,0
838,28,37,0
839,29,1,0
840,29,2,0
841,29,3,0
842,29,4,0
843,29,5,0
844,29,6,0
845,29,8,0
846,29,11,0
847,29,12,0
849,29,15,0
850,29,16,0
852,29,18,0
