"IdCP_Tiempos","IdCP_Articulos","IdCP_Procesos","Tiempo","Antecesor"
1,1,1,1,0
2,1,2,3,1
3,1,3,1,2
4,1,4,15,1
5,1,5,12,1
6,1,6,2,2
7,1,7,15,2
8,1,8,12,2
9,1,9,12,1
10,1,10,8,4
11,1,11,1,8
12,1,12,12,11
13,1,13,20,6
14,1,14,7,13
15,1,15,3,13
16,1,16,3,15
17,1,17,3,16
18,1,18,1,17
19,1,19,5,18
20,1,20,1,18
21,1,21,1,17
22,1,22,5,21
23,1,23,2,22
24,1,24,2,23
25,1,25,5,24
26,1,26,3,25
27,2,1,1,0
28,2,2,3,1
29,2,3,1,2
30,2,4,15,1
31,2,5,12,1
32,2,6,2,2
33,2,7,15,2
34,2,8,12,2
35,2,9,12,1
36,2,10,8,4
37,2,11,1,8
38,2,12,12,11
39,2,13,20,6
40,2,14,7,13
41,2,15,3,13
42,2,16,3,15
43,2,17,3,16
44,2,18,1,17
45,2,19,5,18
46,2,20,1,18
47,2,21,1,17
48,2,22,6,21
49,2,23,2,22
50,2,24,2,23
51,2,25,5,24
52,2,26,3,25
53,3,1,1,0
54,3,2,3,1
55,3,3,1,2
56,3,4,15,1
57,3,5,12,1
58,3,6,2,2
59,3,7,15,2
60,3,8,12,2
61,3,9,12,1
62,3,10,8,4
63,3,11,1,8
64,3,12,12,11
65,3,13,20,6
66,3,14,7,13
67,3,15,3,13
68,3,16,3,15
69,3,17,3,16
70,3,18,1,17
71,3,19,5,18
72,3,20,1,18
73,3,21,1,17
74,3,22,7,21
75,3,23,2,22
76,3,24,2,23
77,3,25,5,24
78,3,26,3,25
79,4,1,1,0
80,4,2,3,1
81,4,3,1,2
82,4,4,15,1
83,4,5,12,1
84,4,6,2,2
85,4,7,15,2
86,4,8,12,2
87,4,9,12,1
88,4,10,8,4
89,4,11,1,8
90,4,12,12,11
91,4,13,20,6
92,4,14,7,13
93,4,15,3,13
94,4,16,3,15
95,4,17,3,16
96,4,18,1,17
97,4,19,5,18
98,4,20,1,18
99,4,21,1,17
100,4,22,8,21
101,4,23,2,22
102,4,24,2,23
103,4,25,5,24
104,4,26,3,25
105,5,1,1,0
106,5,2,3,1
107,5,3,1,2
108,5,4,15,1
109,5,5,12,1
110,5,6,2,2
111,5,7,15,2
112,5,8,12,2
113,5,9,12,1
114,5,10,8,4
115,5,11,1,8
116,5,12,12,11
117,5,13,20,6
118,5,14,7,13
119,5,15,3,13
120,5,16,3,15
121,5,17,3,16
122,5,18,1,17
123,5,19,5,18
124,5,20,1,18
125,5,21,1,17
126,5,22,9,21
127,5,23,2,22
128,5,24,2,23
129,5,25,5,24
130,5,26,3,25
131,6,1,1,0
132,6,2,3,1
133,6,3,1,2
134,6,4,15,1
135,6,5,12,1
136,6,6,2,2
137,6,7,15,2
138,6,8,12,2
139,6,9,12,1
140,6,10,8,4
141,6,11,1,8
142,6,12,12,11
143,6,13,20,6
144,6,14,7,13
145,6,15,3,13
146,6,16,3,15
147,6,17,3,16
148,6,18,1,17
149,6,19,5,18
150,6,20,1,18
151,6,21,1,17
152,6,22,10,21
153,6,23,2,22
154,6,24,2,23
155,6,25,5,24
156,6,26,3,25
