"IdClientes","Cliente","Activo"
1,"Liverpool",1
2,"Bodega Cab",1
3,"Pumas",0
4,"Cherok. Ninas",0
5,"Cherokee Cab",0
6,"Cherok. Ninos",0
7,"Cherok. Bebes",0
8,"Comercial",1
9,"Cherok.Teens",0
10,"Sears",0
11,"Del Sol",1
12,"Marti",1
13,"Gigante",0
14,"Fubu Cab",0
15,"Fubu Ninos",0
16,"W-Mart Cab",1
17,"Oplex",1
18,"Suburbia Cab",1
19,"Suburbia Dama",1
20,"Bodega Ninas",1
21,"W-Mart Ninas",1
22,"Global Sport",0
23,"Pro Italy",0
24,"W-Mart Head",1
25,"W-Mart Ninos",1
26,"Bodega Head",1
27,"W-Mart Damas",1
28,"Bodega Damas",1
29,"Pemex",1
30,"CHMD",1
31,"Soriana cab",1
32,"Soriana Ni¤os",1
33,"Woolworth",1
34,"H-E-B",0
35,"Existencia",1
36,"Chedraui",1
37,"Coppel",1
38,"Flow Schtark",1
39,"Lips",1
40,"New Balance",1
41,"Sams",1
42,"Pavio",1
43,"FMT",1
44,"Almadelia",1
45,"Confecciones MAK",1
46,"Promoda",1
47,"Nike",0
48,"Athletica",0
49,"Nova Distex",1
50,"Colegio CEL",1
51,"Varios",1
52,"HSBC",1
53,"Bancomer",1
54,"Soriana Ni¤as",1
55,"Marke",1
56,"Soriana Damas",1
57,"Credimax",1
58,"Superama",1
59,"Casa Ley",1
60,"Sony",1
61,"Banorte",1
62,"Duran",1
63,"Xperma",1
64,"Bodega Bebes",1
65,"Mobalis",1
66,"Linking",1
67,"Liverpool Ni¤as",1
68,"Soriana Mercado",1
69,"Liverpoo Damas",1
70,"Soriana Tdas",1
71,"Kaleida",1
72,"Colegio Miraflores",1
73,"Colegio Argos",1
74,"Centro de Estudios L",1
75,"Cklass",1
76,"Los Uniformes",1
77,"City Club",1
78,"Donatella",1
79,"Surtidora Departamen",1
80,"C&A",1
81,"Price Shoes",1
82,"Cesar Torres",1
83,"Garcia",1
84,"Jafra",1
86,"XeXe",1
87,"Aditivo",1
88,"Sophia",1
89,"Sports Jay",1
90,"Kappa",1
91,"El Aguila",1
92,"Ma.de Los Angeles",1
93,"Papertek",1
94,"LOB",1
95,"ISSSTE",1
96,"LOB",0
97,"Milano",1
98,"In Earth",1
99,"Jenna",1
100,"K-Swiss",1
101,"Control",1
102,"Versatex",1
103,"Optima",1
104,"Soriana Bebes",1
105,"Andre Badi",1
106,"Aramare",1
107,"IB Boutiques",1
108,"IB Sams",1
109,"IB Coppel",1
110,"Hang Ten",1
111,"Oggi",1
112,"Planet Fitness",1
113,"Ema",1
114,"Exxhist",1
115,"IUSA",1
116,"Rent",1
117,"NATDE",1
118,"Marco Salgado",1
