"IdComentaComp","IdOrdCompra","IdUsuarios","FechaComen","Comentario"
1,57,2,28/02/2006 12:03:43,"Entregaron solo naranja, blanco y cobalto"
2,67,2,28/02/2006 12:05:22,"Se va a devolver la mitad de la orden (los dos ultimos ba¤os que llegron, uno por color)"
3,53,13,28/02/2006 17:20:16,"SE CANCELA ELASTICO DE 2""   SE TOMO DE FREE PARA SURTIR"
4,94,13,28/02/2006 17:38:34,"Entregaron solo elasticos con Fact. 8519 el 15-Feb-06     Pendientes jaretas"
5,99,2,15/03/2006 13:29:51,"Las cantidades en crudo que se pidieron originalmente eran:
9,500 Chifon
13,000 Terry
1,000 Cardigan"
6,122,2,06/04/2006 17:32:28,"El pedido que se hizo en crudo fue de:
1,200 Kg de Chifon
2,500 Kg. De Terry
200 Kg. De Cardigan"
7,158,2,11/05/2006 12:25:23,"Pedido en crudo:
3,000 Terry
1,700 Chifon"
8,168,2,15/05/2006 18:55:58,"El pedido de hizo en crudo con lo siguiente:"
10,133,2,15/05/2006 19:04:10,"Pedido en crudo:
1500 Terry
4000 Felpa
300 Cardigan

Solo se hizo el pedido del terry por que no nos pudieron hacer la fepla en open."
11,180,2,25/05/2006 21:00:44,"Pedido en crudo:
4,100 Kgs de Terry
300 Kgs de cardigan"
12,111,13,01/06/2006 10:46:11,"SE CANCELA LA PARTIDA DE GANCHO DE PINZA 10"" (9250 PZAS)"
13,136,13,01/06/2006 10:47:30,"SE CANCELA LA PARTIDA DE GANCHOS PINZA 12"" (6500 PZAS) Y LOS TALLEROS."
14,181,2,06/06/2006 11:19:41,"Se le va a mandar a Tomas"
15,208,2,14/06/2006 13:14:36,"Pedido en crudo:
1500 Kg. Terry
1500 Kg. Chifon
200 Kg. Cardigan"
16,211,10,20/06/2006 11:26:15,"ESTE SERVICIO SE PACTO EN EFECTIVO"
17,150,13,23/06/2006 17:31:59,"Se Cancelan los cieres Marino de  70 y 75 cm"
18,189,13,23/06/2006 17:32:54,"Se Cancelan los Cierres Marino de 70 y 75 cm"
19,203,13,23/06/2006 17:35:13,"Se elabora pedido para Inteltex NO. 207"
20,161,2,29/06/2006 19:13:45,"Se modifico el pedido:
Se aumento el chocolate y 20 kg. De lila
Y se quito el jaspe en terry, y se rebajo 350 kgs de rosa en terry

Eran:
1310 Kg de terry
2720 Kgs de Felpa"
21,232,2,10/07/2006 13:32:49,"Esto es de free ride"
22,277,2,28/08/2006 12:58:42,"Se cambio el Gris, por Jaspe"
23,305,2,22/09/2006 16:33:05,"Se modifico el pedido. Eran solo 1,500 Kilos de Felpa Jaspe"
24,280,13,20/10/2006 14:52:49,"Se autoriza a entregar solo el marino de 65 cm y el naranja de 75.  Lo dem…s se Cancela."
25,517,10,03/05/2007 10:18:18,"CORRESPONDEN A LAS ORDS.523 A LA 526"
26,519,10,19/06/2007 12:33:39,"LA FECHA DE ENTREGA  ES INCORRECTA DEBE SER DEL 28 DE ABRIL DEL 2007"
