"IdComentaOrd","IdOrdenes","IdUsuarios","FechaComen","Comentario"
1,145,12,30/01/2006 13:21:22,"EL estampado lleva high density-esto de cambio a puff"
2,146,12,30/01/2006 13:23:59,"El estampado lleva high density - se cambio a puff"
3,149,12,30/01/2006 13:25:12,"Este estampado llevaba high density -pero se le elimino y se dejo plasta normal"
4,150,12,30/01/2006 13:26:19,"El estampado lleva high density . Se cambio a plasta normal"
5,151,12,30/01/2006 13:27:55,"El estampado lleva high density, pero la produccion no lo lleva"
7,157,12,30/01/2006 13:48:05,"el estampado lleva high density"
8,160,12,30/01/2006 13:49:20,"el estampado lleva high density"
9,165,12,30/01/2006 13:51:26,"el estampado en la segunda variante lleva glitter"
10,167,12,30/01/2006 13:52:29,"el estampado en la segunda variante lleva glitter"
11,183,12,30/01/2006 13:55:52,"el estampado lleva high density"
12,187,12,30/01/2006 13:56:31,"el estampaado lleva high density"
13,190,12,30/01/2006 13:57:02,"el estampado lleva high density"
14,191,12,30/01/2006 13:57:25,"el estampado lleva high density"
15,192,12,30/01/2006 13:58:41,"el estampado lleva high density"
16,172,12,30/01/2006 14:00:35,"el estampado lleva high density en la primera variante"
17,174,12,30/01/2006 14:02:03,"el estampado lleva high density en la primera variante"
18,176,12,30/01/2006 14:02:58,"el estampado lleva en la segunda vaiante high density"
19,177,12,30/01/2006 14:03:47,"el estampado lleva high density en la segunda variante"
20,196,12,30/01/2006 14:04:39,"este pantalon se modifico en trazo para eliminar piolas
estampar en corte"
21,159,12,03/02/2006 10:10:27,"El short se elimino el vivo de la parte de atr s solamente que de la parte de en frente"
22,158,0,03/02/2006 12:14:29,"se eleminaron bolsas"
23,158,12,03/02/2006 12:16:52,"se elimino las bolsas"
24,173,12,04/02/2006 04:07:23,"El estampado plasta normal"
25,175,12,04/02/2006 04:08:44,"el estampado lleva plasta normal"
26,177,12,04/02/2006 05:53:51,"la contramuestra no se le esta enviando porque es igual al 54007 y ya tiene la muestra el Ing.Alamos"
27,178,12,04/02/2006 06:51:09,"el bordado lleva aplicaci¢n"
28,180,12,04/02/2006 07:25:07,"el bordado lleva aplicaci¢n"
29,181,12,04/02/2006 07:26:36,"el bordado lleva aplicaci¢n"
30,182,12,04/02/2006 07:31:52,"el bordado lleva aplicaci¢n"
31,164,12,04/02/2006 07:41:36,"la segunda variante lleva gliter"
32,159,2,07/02/2006 18:03:58,"Le autorice poner el 19 de un lado y el 73 del otro"
33,177,12,04/02/2006 10:25:40,"la combinacion en chocolate se cambio a MARINO"
34,175,12,04/02/2006 10:29:29,"La combinacion  chocolate cambio a CIELO"
35,216,2,07/03/2006 12:36:25,"Se cambio el color ""Jaspe"" por ""Gris Perla"""
36,186,12,10/03/2006 17:34:42,"LA CONTAMUESTRA LLEVA LA FORMA DE LA BOLSA COSIDA EN DIAGONAL,PERO LOS TRAZOS LA BOLSA LA LLEVA DE COSTADO PERO COMO ESTA MODIFICACION SE HIZO DESPUES LA CONTRAMUETRA YA ESTABA HECHA SE MANDO ASI PERO YA LO HABLE CON EL MAQUILERO"
37,214,12,16/03/2006 03:18:04,"el  estampado lleva high density"
38,215,12,16/03/2006 03:19:09,"estampado lleva high density"
