"IdEdoResult","Fecha","Gastos","Intereses","Bonificaciones","Otros","DescOtros"
1,31/01/2006 00:00:00,$357090.31,$134875.70,$175947.50,-$92000.00,
2,31/12/2005 00:00:00,$0.00,$0.00,$0.00,$0.00,
3,30/11/2005 00:00:00,$0.00,$0.00,$0.00,$0.00,
4,31/10/2005 00:00:00,$0.00,$0.00,$0.00,$0.00,
5,30/09/2005 00:00:00,$0.00,$0.00,$0.00,$0.00,
6,28/02/2006 00:00:00,$365335.27,$126464.43,$290543.45,-$100000.00,
7,31/03/2006 00:00:00,$360000.00,$130000.00,$14668.47,$0.00,
8,30/04/2006 00:00:00,$360000.00,$130000.00,$34051.12,$0.00,
9,31/05/2006 00:00:00,$360000.00,$130000.00,$138094.12,$0.00,
10,30/06/2006 00:00:00,$360000.00,$130000.00,$640295.54,$0.00,
11,31/07/2006 00:00:00,$360000.00,$130000.00,$293277.41,$0.00,
12,31/08/2006 00:00:00,$360000.00,$130000.00,$342578.93,$0.00,
13,30/09/2006 00:00:00,$360000.00,$130000.00,$70939.46,$0.00,
14,31/10/2006 00:00:00,$360000.00,$130000.00,$356382.74,$0.00,
15,30/11/2006 00:00:00,$360000.00,$130000.00,$142954.36,$0.00,
16,31/12/2006 00:00:00,$400000.00,$130000.00,$378730.59,$0.00,
17,31/01/2007 00:00:00,$0.00,$0.00,$0.00,$0.00,
18,28/02/2007 00:00:00,$0.00,$0.00,$176950.39,$0.00,
19,31/03/2007 00:00:00,$0.00,$0.00,$92189.59,$0.00,
20,30/04/2007 00:00:00,$0.00,$0.00,$138677.25,$0.00,
21,31/01/2011 00:00:00,$285599.53,$275000.00,$204839.14,$280000.00,
22,31/03/2011 00:00:00,$345494.21,$275000.00,$174611.53,$350000.00,
23,30/04/2011 00:00:00,$450979.64,$275000.00,$88776.70,$280000.00,
24,28/02/2011 00:00:00,$333982.26,$275000.00,$228379.40,$280000.00,
25,31/10/2010 00:00:00,$0.00,$0.00,$36718.90,$0.00,
26,30/11/2010 00:00:00,$0.00,$0.00,$88891.99,$0.00,
27,31/12/2010 00:00:00,$0.00,$0.00,$25405.52,$0.00,
28,31/05/2011 00:00:00,$335716.66,$275000.00,$70799.61,$280000.00,
29,30/06/2011 00:00:00,$463673.00,$275000.00,$35625.39,$280000.00,
30,31/07/2011 00:00:00,$308153.18,$275000.00,$7902.48,$350000.00,
31,31/08/2011 00:00:00,$421945.00,$275000.00,$220776.89,$280000.00,
32,30/09/2011 00:00:00,$402855.00,$275000.00,$123999.56,$350000.00,
33,30/10/2011 00:00:00,$322765.00,$275000.00,$202894.50,$280000.00,
34,30/11/2011 00:00:00,$346905.00,$275000.00,$973711.00,$280000.00,
35,31/12/2011 00:00:00,$425550.00,$275000.00,$36166.73,$350000.00,
36,31/01/2012 00:00:00,$0.00,$0.00,$80865.25,$0.00,
37,29/02/2012 00:00:00,$0.00,$0.00,$78244.18,$0.00,
38,31/03/2012 00:00:00,$0.00,$0.00,$0.00,$0.00,
39,01/07/2017 00:00:00,$0.00,$0.00,$0.00,$0.00,
40,30/08/2017 00:00:00,$0.00,$0.00,$0.00,$0.00,
41,01/05/2017 00:00:00,$0.00,$0.00,$0.00,$0.00,
42,30/04/2017 00:00:00,$0.00,$0.00,$0.00,$0.00,
43,30/06/2017 00:00:00,$0.00,$0.00,$0.00,$0.00,
44,30/09/2017 00:00:00,$0.00,$0.00,$0.00,$0.00,
