"IdEdoResultDet","IdEdoResult","IdCostoOrd","ModeloC","CantVendida","PrecioVenta","CostoViejo","IdEmpresas"
1,1,141,"31001",672,72.00,0.00,2
2,1,139,"31005",672,72.00,0.00,2
3,1,109,"31184",4179,56.95,0.00,2
4,1,147,"36006",800,65.00,0.00,2
5,1,77,"51002",-1204,53.00,0.00,2
6,1,97,"51003",-23,55.00,0.00,2
7,1,78,"51006",-1003,55.00,0.00,2
8,1,79,"51009",-1300,55.00,0.00,2
9,1,80,"51013",-213,60.00,0.00,2
10,1,81,"51095",-8,55.00,0.00,2
11,1,97,"51103",-435,55.00,0.00,2
12,1,107,"51181",3708,60.00,0.00,2
13,1,108,"51182",3708,55.00,0.00,2
14,1,57,"51995",-6,78.00,0.00,2
15,1,31,"54001",-10,40.00,0.00,2
16,1,144,"54015",800,53.00,0.00,2
17,1,29,"54980",-12,40.00,0.00,2
18,1,0,"56006",799,53.00,30.00,2
19,1,136,"61001",672,104.00,0.00,2
20,1,137,"61005",672,104.00,0.00,2
21,1,87,"61111",-18,102.66,0.00,2
22,1,88,"61140",-16,80.75,0.00,2
23,1,93,"61194",-6,88.00,0.00,2
24,1,89,"61311",-4,204.00,0.00,2
25,1,116,"61561",-2,109.00,0.00,2
26,1,58,"61994",-4,78.00,0.00,2
27,1,117,"64561",-7,89.00,0.00,2
28,1,140,"71001",672,104.00,0.00,2
29,1,138,"71005",672,104.00,0.00,2
30,1,85,"71096",-4,73.00,0.00,2
31,1,106,"71183",3348,79.00,0.00,2
32,1,95,"71196",-9,73.00,0.00,2
33,1,101,"71296",-20,73.00,0.00,2
34,1,143,"74015",800,82.00,0.00,2
35,1,146,"76006",800,82.00,0.00,2
36,1,135,"81001",661,133.79,0.00,2
37,1,124,"81005",554,133.51,0.00,2
38,1,82,"81094",-2,220.00,0.00,2
39,1,110,"81180",3348,88.00,0.00,2
40,1,103,"81294",-7,113.14,0.00,2
41,1,142,"84015",800,109.00,0.00,2
42,1,145,"86006",800,109.00,0.00,2
43,2,96,"31197",48,55.00,0.00,2
44,2,100,"31297",456,55.00,0.00,2
45,2,35,"31770",24,55.00,0.00,2
46,2,77,"51002",48,53.00,0.00,2
47,2,78,"51006",48,55.00,0.00,2
48,2,79,"51009",24,55.00,0.00,2
49,2,80,"51013",20,60.00,0.00,2
50,2,81,"51095",48,58.50,0.00,2
51,2,97,"51103",24,55.00,0.00,2
52,2,98,"51105",24,62.00,0.00,2
53,2,94,"51195",24,55.00,0.00,2
54,2,102,"51295",3816,65.00,0.00,2
55,2,31,"54001",-302,40.00,0.00,2
56,2,29,"54980",-154,40.00,0.00,2
57,2,93,"61194",12,88.00,0.00,2
58,2,26,"64901",-154,60.00,0.00,2
59,2,85,"71096",36,73.00,0.00,2
60,2,95,"71196",24,73.00,0.00,2
61,2,101,"71296",3336,73.00,0.00,2
62,2,22,"71740",12,73.00,0.00,2
63,2,49,"71897",12,73.00,0.00,2
64,2,25,"74900",-119,55.00,0.00,2
65,2,28,"74980",-20,55.00,0.00,2
66,2,82,"81094",24,88.00,0.00,2
67,2,103,"81294",3102,87.82,0.00,2
68,2,27,"84980",-87,67.00,0.00,2
69,3,96,"31197",96,55.00,0.00,2
70,3,0,"31300",72,55.00,34.86,2
71,3,5,"31714",24,55.00,0.00,2
72,3,53,"31802",30,55.00,0.00,2
73,3,54,"31898",24,55.00,0.00,2
74,3,77,"51002",72,53.00,0.00,2
75,3,78,"51006",100,55.00,0.00,2
76,3,79,"51009",48,55.00,0.00,2
77,3,80,"51013",25,60.08,0.00,2
78,3,81,"51095",72,48.00,0.00,2
79,3,97,"51103",1392,55.00,0.00,2
80,3,98,"51105",1895,62.00,0.00,2
81,3,94,"51195",1538,54.92,0.00,2
82,3,0,"51350",149,55.00,28.92,2
83,3,0,"51351",144,48.00,28.93,2
84,3,33,"51771",11,48.00,0.00,2
85,3,51,"51896",12,48.00,0.00,2
86,3,31,"54001",-38,46.31,0.00,2
87,3,29,"54980",-12,40.00,0.00,2
88,3,87,"61111",590,74.38,0.00,2
89,3,88,"61140",578,67.05,0.00,2
90,3,93,"61194",1417,87.93,0.00,2
91,3,89,"61311",497,65.67,0.00,2
92,3,105,"61511",38,78.00,0.00,2
93,3,116,"61561",24,109.00,0.00,2
94,3,72,"64030",-39,73.00,0.00,2
95,3,74,"64070",-58,73.00,0.00,2
96,3,92,"71130",618,68.00,0.00,2
97,3,150,"71140",618,68.00,0.00,2
98,3,95,"71196",1420,72.79,0.00,2
99,3,104,"71511",37,78.00,0.00,2
100,3,115,"71561",103,88.13,0.00,2
101,3,22,"71740",-66,71.00,0.00,2
102,3,69,"72010",-42,78.00,0.00,2
103,3,73,"74030",-38,73.00,0.00,2
104,3,25,"74900",-33,55.00,0.00,2
105,3,71,"76010",-38,73.00,0.00,2
106,3,114,"81561",32,129.00,0.00,2
107,3,68,"82010",-48,104.00,0.00,2
108,3,27,"84915",48,48.00,0.00,2
109,3,70,"86010",-38,99.00,0.00,2
110,4,86,"31097",306,55.00,0.00,2
111,4,77,"51002",3200,52.86,0.00,2
112,4,78,"51006",2212,54.90,0.00,2
113,4,79,"51009",2851,54.86,0.00,2
