"SwitchboardID","ItemNumber","ItemText","Command","Argument","Nivel","NumeroMenu"
1,0,"Menu Principal",0,"Predeterminado",100,"0"
1,1,"&1. MODELOS...",1,"2",100,
1,2,"&2. PEDIDOS...",1,"6",100,
1,3,"&3. PRODUCCION...",1,"7",100,
1,4,"&4. INVENTARIOS...",1,"31",100,
1,5,"&5. INDICADORES...",1,"24",100,
1,6,"&6. COSTOS Y EDR...",1,"17",30,
1,9,"&9. Cambio de Contrase¤a Personal y Propiedades",3,"CambioClave",100,
2,0,"MODELOS",0,,100,"1"
2,1,"&1. Catalogos...",1,"5",100,
2,2,"&2. Consultas...",1,"3",100,
2,3,"&3. Generador de codigos de barra",3,"Codigo",100,
2,4,"&4. Promoda...",1,"35",100,
3,0,"Consultas de Modelos",0,,100,"1.2"
3,1,"&1. Ver lista completa de modelos",3,"TodosModelos",100,
3,2,"&2. Ver fotos de los modelos",3,"ModelosFotos",100,
3,3,"&3. Ver fotos de Bordados o Estampados",3,"BordadosFotos",100,
3,4,"&4. Generar listas de precios",3,"EscojerGenero",45,
3,5,"&5. Consultar los PreCostos",3,"PreCostos",45,
5,0,"Catalogo de Modelos",0,,100,"1.1"
5,1,"&1. Agregar o Modificar MODELOS",9,"Modelos",100,
5,2,"&2. Agregar o Modificar HABILITACION",3,"Habilitacion",100,
5,3,"&3. Agregar o Modificar TELAS",3,"TelasDis",100,
5,4,"&4. Agregar o Modificar BORDADOS O ESTAMPADOS",3,"Bordados",100,
5,5,"&5. Verificar y Alta de modelos",3,"VerificarModelos",45,
6,0,"PEDIDOS",0,,100,"2"
6,1,"&1. Consultar Pedidos Por Mes",3,"PedidosPorMes",100,
6,2,"&2. Agregar o Modificar Pedidos",3,"Pedidos",45,
6,3,"&3. Agregar o Modificar Clientes",3,"Clientes",45,
6,4,"&4. Ver y Administrar Pedidos Reales",3,"PedidosRealesVer",60,
7,0,"PRODUCCION",0,,100,"3"
7,1,"&1. Catalogos de Produccion...",1,"8",100,
7,2,"&2. Alimentar la Produccion...",1,"9",100,
7,3,"&3. Consultas de Produccion...",1,"10",100,
7,4,"&4. Notas de Salida...",1,"15",100,
7,5,"&5. Ordenes de Compra...",1,"16",100,
7,6,"&6. Ruta Critica (RT)...",1,"20",100,
7,7,"&7. Control de Calidad (CC)...",1,"22",100,
7,8,"&8. Administracion de Maquileros...",1,"34",100,
8,0,"Catalogos de Produccion",0,,100,"3.1"
8,1,"&1. Habilitacion para produccion",2,"ProdModHab",100,
8,2,"&2. Maquileros",3,"Maquileros",100,
8,3,"&3. Etiquetas de Marca",3,"EtiquetasM",100,
8,4,"&4. Cortadores",3,"Cortadores",100,
8,5,"&5. Estampadores",3,"Estampadores",100,
9,0,"Alimentar la Produccion",0,,100,"3.2"
9,1,"&1. Alimentar el proceso de las ordenes",3,"Proceso",100,
9,2,"&2. Hacer o modificar una Orden de produccion",3,"Ordenes",45,
9,3,"&3. Ver Ordenes Incompletas",3,"OrdsIncompletas",45,
10,0,"Consultas de Produccion",0,,100,"3.3"
10,1,"&1. Lista Completa de ordenes",3,"ListaOrdenes",100,
10,2,"&2. Imprimir varias ordenes con un click",3,"ImprimirVarias",100,
10,3,"&3. Consultar Existencias de Maquileros",3,"MaqExis",100,
10,4,"&4. Consultar Ordenes de Produccion",3,"OrdenVer",100,
10,5,"&5. Lista de ordenes para copiar",3,"ParaCopiar",100,
10,6,"&6. Consulta de Entradas de Maquileros",3,"RecibosSemanalesMaq",100,
10,7,"&7. Ver Programacion a Maquileros",3,"MaquilerosProg",100,
11,0,"INVENTARIO DE TELAS",0,,100,"4.2"
11,1,"&1. Alimentar el Inventario...",1,"12",100,
11,2,"&2. Consultas...",1,"13",100,
12,0,"Alimentar el Inventario",0,,100,"4.2.1"
12,1,"&1. Agregar o Modificar Telas",3,"AgregarTelas",100,
12,2,"&2. Entradas de Tela",3,"QueAlmacenEntrada",100,
12,3,"&3. Salidas de Tela",3,"QueAlmacenSalida",100,
12,4,"&4. Transferencia Entre Almacenes",3,"ITelas_QueAlmTransfer",100,
12,5,"&5. Alta de Nuevos Almacenes",3,"AltaAlmacenes",30,
13,0,"Consultas del Inventario",0,,100,"4.2.2"
13,1,"&1. Existencia de Telas",3,"Existencia",100,
13,2,"&2. Movimientos por Tela y Color",3,"Movimientos",100,
13,3,"&3. Ver Entradas por Facturas",3,"TodosMovEnt",100,
13,4,"&4. Ver Salidas por No. de Corte y Modelo",3,"TodosMovSal",100,
13,5,"&5. Ver Salidas por notas",3,"TodosSalNotas",100,
14,0,"COSTOS",0,,30,"6.1"
14,1,"&1. Agregar o Modificar COSTOS",3,"CostoOrd",30,
14,2,"&2. Ver Costos por Pedidos",3,"CostosPorPedidos",30,
15,0,"Notas de Salida",0,,100,"3.4"
15,1,"&1. Hacer una nota de salida",2,"Notas",100,
15,2,"&2. Consultar e Imprimir Notas de Salida",3,"NotasVer",100,
15,3,"&3. Ver notas de salidas por ordenes de produccion",3,"NotasOrd",100,
16,0,"Ordenes de Compra",0,,100,"3.5"
16,1,"&1. Hacer una orden de compra",2,"OrdCompra",100,
16,2,"&2. Consultar o imprimir ordenes de compra",3,"OrdCompraVer",100,
16,3,"&3. Catalogo de Proveedores",3,"Proveedores",100,
16,4,"&4. Ver Ordenes de Compra por Ordenes de Produccion",3,"OrdCompraOrdenes",100,
17,0,"COSTOS Y EDR",0,,30,"6"
17,1,"&1. COSTOS...",1,"14",30,
17,2,"&2. Estados de Resultados (EDR)...",1,"18",30,
18,0,"Estados de Resultados (EDR)",0,,30,"6.2"
18,1,"&1. Agregar un Nuevo Mes",2,"EdoResult",30,
18,2,"&2. Meter los Costos y Datos del EDR",3,"EdoResultBuscar",30,
18,3,"&3. Consultar EDR Por Mes",3,"EdoResultPorMes",30,
18,4,"&4. Consultar EDR por A¤o",3,"EdoResultPorAno",30,
19,0,"Catalogos de RC",0,,47,"3.6.3"
19,1,"&1. Catalogo de ARTICULOS",3,"CP_Articulos",47,
19,2,"&2. Catalogo de PROCESOS",3,"CP_Procesos",47,
19,3,"&3. Catalogo de FAMILIAS",3,"CP_Familia",47,
19,4,"&4. Agregar PROCESOS o ARTICULOS al Catalogo",3,"CP_CruzarTablas",47,
19,5,"&5. Alimentar el Catalogo de Tiempos",3,"CP_LlenarCat",47,
19,6,"&6. Ver Catalogo de TIEMPOS",3,"CP_Catalogo",100,
19,7,"&7. PROGRAMAR la RC",3,"RC_Programacion",100,
20,0,"Ruta Critica (RC)",0,,100,"3.6"
20,1,"&1. Ingresar el avance de Mis Procesos",3,"RC_MeterFechas",100,
20,2,"&2. Consultas de la RC...",1,"21",100,
20,3,"&3. Catalogos de RC...",1,"19",47,
21,0,"Consultas de la RC",0,,100,"3.6.2"
21,1,"&1. Ver Concentrado de avance de la RC",3,"RC_ConcentradoDif",100,
21,2,"&2. Ver la Ruta Critica por Orden de Produccion",3,"RC_PorOrden",100,
21,3,"&3. Consultar Avances por Usuario",3,"RC_PorUsuario",100,
22,0,"Control de Calidad (CC)",0,,100,"3.7"
22,1,"&1. Auditorias a Maquileros...",1,"23",100,
23,0,"Auditorias a Maquileros",0,,100,"3.7.1"
23,1,"&1. Alta de Auditorias",3,"CC_AltaAuditorias",100,
23,2,"&2. Capturar Auditorias",3,"CC_MeterAuditorias",100,
23,3,"&3. Consultar e Imprimir Auditorias",3,"CC_ConsultaAuditorias",100,
23,4,"&4. Consultar Auditorias Por Maquilero",3,"CC_ConsulAuditMaq",100,
24,0,"INDICADORES",0,,100,"5"
24,1,"&1. Ingenieria del Producto (IP)...",1,"25",100,
24,2,"&2. Almacen...",1,"27",100,
25,0,"Ingenieria del Producto (IP)",0,,100,"5.1"
25,1,"&1. Productividad de IP",3,"IP_Productiv",100,
25,2,"&2. Informacion Confiable de Fichas Tecnicas",3,"IP_InfConfAgregar",100,
25,3,"&3. Muestrarios Pendientes IP...",1,"29",100,
25,4,"&4. Catalogos de IP...",1,"26",47,
26,0,"Catalogos de IP",0,,47,"5.1.3"
26,1,"&1. Personal de IP",3,"IP_Personal",47,
26,2,"&2. Actividades de IP",3,"IP_Actividades",47,
27,0,"Almacen",0,,100,"5.2"
27,1,"&1. Inventarios Ciclicos...",1,"28",100,
27,2,"&2. Productividad del Almacen",3,"Alm_Prd_Diaria",100,
27,3,"&3. Catalogo de Actividades del Almacen",3,"Alm_Prd_Act_Cat",47,
28,0,"Inventarios Ciclicos",0,,100,"5.2.1"
28,1,"&1. Alta de modelos a revisar",2,"Alm_IC_Alta",100,
28,2,"&2. Captura del conteo fisico",3,"Alm_IC_Cont",100,
28,3,"&3. Consulta de IC",3,"Alm_IC_Consulta",100,
