"IdEntradas","Fecha","Factura","Referencia","IdTela"
1,22/07/2005 00:00:00,"Saldo Inicial",,2
2,22/07/2005 00:00:00,"Saldo Inicial",,3
3,22/07/2005 00:00:00,"Saldo Inicial",,4
4,22/07/2005 00:00:00,"Saldo Inicial",,1
5,22/07/2005 00:00:00,"Saldo Inicial",,5
6,22/07/2005 00:00:00,"Saldo Inicial",,6
7,22/07/2005 00:00:00,"Saldo Inicial",,7
8,22/07/2005 00:00:00,"Saldo Inicial",,9
9,22/07/2005 00:00:00,"Saldo Inicial",,10
10,22/07/2005 00:00:00,"Saldo Inicial",,12
11,22/07/2005 00:00:00,"Saldo Inicial",,13
12,22/07/2005 00:00:00,"Saldo Inicial",,14
13,22/07/2005 00:00:00,"Saldo Inicial",,16
14,22/07/2005 00:00:00,"Saldo Inicial",,18
15,22/07/2005 00:00:00,"Saldo Inicial",,21
16,22/07/2005 00:00:00,"Saldo Inicial",,22
17,22/07/2005 00:00:00,"Saldo Inicial",,23
18,29/07/2005 00:00:00,"77276",,25
19,22/07/2005 00:00:00,"Saldo Inicial",,2
20,22/07/2005 00:00:00,"Saldo Inicial",,3
21,22/07/2005 00:00:00,"Saldo Inicial",,4
22,22/07/2005 00:00:00,"Saldo Inicial",,1
23,22/07/2005 00:00:00,"Saldo Inicial",,5
24,22/07/2005 00:00:00,"Saldo Inicial",,7
25,22/07/2005 00:00:00,"Saldo Inicial",,10
26,22/07/2005 00:00:00,"Saldo Inicial",,11
27,22/07/2005 00:00:00,"Saldo Inicial",,13
28,22/07/2005 00:00:00,"Saldo Inicial",,16
29,29/07/2005 00:00:00,"6672",,26
30,11/08/2005 00:00:00,"3529",,3
31,11/08/2005 00:00:00,"3530",,3
32,11/08/2005 00:00:00,"3531",,3
33,16/08/2005 00:00:00,"3555",,3
34,16/08/2005 00:00:00,"3556",,3
35,16/08/2005 00:00:00,"3557",,3
36,16/08/2005 00:00:00,"3558",,3
37,18/08/2005 00:00:00,"3607",,3
38,18/08/2005 00:00:00,"3610",,3
39,18/08/2005 00:00:00,"3612",,3
40,18/08/2005 00:00:00,"3613",,3
41,18/08/2005 00:00:00,"3611",,10
42,22/08/2005 00:00:00,"3605",,3
43,22/08/2005 00:00:00,"3606",,3
44,22/08/2005 00:00:00,"3680",,3
45,05/08/2005 00:00:00,"521",,27
46,26/08/2005 00:00:00,"3786",,3
47,26/08/2005 00:00:00,"3787",,3
48,26/08/2005 00:00:00,"3785",,3
49,31/08/2005 00:00:00,"039",,28
50,07/09/2005 00:00:00,"2030",,30
51,07/09/2005 00:00:00,"2198",,30
52,07/09/2005 00:00:00,"2459",,30
53,07/09/2005 00:00:00,"2462",,30
54,07/09/2005 00:00:00,"2097",,29
55,07/09/2005 00:00:00,"2144",,29
56,07/09/2005 00:00:00,"2142",,29
57,07/09/2005 00:00:00,"2143",,29
58,07/09/2005 00:00:00,"2288",,29
59,07/09/2005 00:00:00,"2463",,29
60,06/09/2005 00:00:00,"Rem 171",,2
61,06/09/2005 00:00:00,"Rem 171",,4
62,06/09/2005 00:00:00,"Rem 171",,7
63,06/09/2005 00:00:00,"Rem 171",,5
64,06/09/2005 00:00:00,"Rem 171",,1
65,06/09/2005 00:00:00,"Rem 171",,10
66,06/09/2005 00:00:00,"Rem 171",,11
67,08/09/2005 00:00:00,"S/N",,28
68,13/09/2005 00:00:00,"30187",,29
69,13/09/2005 00:00:00,"30188",,29
70,14/09/2005 00:00:00,"Nota S/N",,28
71,14/09/2005 00:00:00,"Nota S/N",,30
72,19/09/2005 00:00:00,"Nota S/N",,30
73,19/09/2005 00:00:00,"Nota S/N",,3
