"IdEntradasDet","IdEntradas","IdTelasColAlm","TelaEnt1","TelaEnt2","Peso"
1,1,39,4.65,0.00,0.00
2,1,41,354.46,19.70,0.00
3,1,43,2048.15,0.00,0.00
4,1,45,1096.33,188.51,0.00
5,1,47,44.27,0.00,0.00
6,2,49,0.00,210.35,0.00
7,2,51,384.56,0.00,0.00
8,2,53,18.50,0.00,0.00
9,2,55,25.30,285.44,0.00
10,2,57,216.42,8.75,0.00
11,2,59,0.00,53.31,0.00
12,2,61,716.62,167.89,0.00
13,2,67,14.30,0.00,0.00
14,2,67,0.00,0.00,0.00
15,2,69,631.59,292.20,0.00
16,2,71,202.63,0.00,0.00
17,2,73,133.49,35.10,0.00
18,2,75,22.26,58.23,0.00
19,2,77,57.94,50.45,0.00
21,3,83,65.24,0.00,0.00
22,3,89,89.99,0.00,0.00
23,3,91,1265.30,35.26,0.00
24,3,95,195.77,0.00,0.00
25,3,97,13.69,0.00,0.00
26,3,99,83.09,26.68,0.00
27,3,101,96.30,73.40,0.00
28,3,103,0.00,47.85,0.00
29,3,109,67.70,0.00,0.00
30,3,111,128.70,0.00,0.00
31,4,7,77.00,0.00,0.00
32,4,9,1000.47,48.48,0.00
33,4,13,201.76,118.43,0.00
34,4,1,1454.03,419.84,0.00
35,4,15,102.07,18.50,0.00
36,4,17,162.00,3.89,0.00
37,4,19,33.12,0.00,0.00
38,4,21,25.40,207.13,0.00
39,4,23,42.13,0.00,0.00
40,4,25,185.45,119.34,0.00
41,4,27,0.00,42.06,0.00
42,4,29,0.00,104.70,0.00
43,4,31,24.17,0.00,0.00
44,4,33,214.00,22.21,0.00
45,4,35,142.35,36.46,0.00
46,4,37,57.70,0.00,0.00
47,5,115,14.23,0.00,0.00
48,5,119,56.78,0.00,0.00
49,5,123,322.94,0.00,0.00
50,5,125,139.35,0.00,0.00
51,6,129,103.44,40.38,0.00
52,6,131,244.65,0.00,0.00
53,6,135,49.65,0.00,0.00
54,6,137,0.00,73.15,0.00
55,6,141,17.15,135.49,0.00
56,6,143,15.75,0.00,0.00
57,6,145,212.30,0.00,0.00
58,6,147,67.90,0.00,0.00
59,6,149,33.10,0.00,0.00
60,6,151,41.20,0.00,0.00
61,7,153,21.35,0.00,0.00
62,7,157,20.24,0.00,0.00
63,7,159,93.20,0.00,0.00
64,8,165,57.44,0.00,0.00
65,9,167,630.49,120.99,0.00
66,9,169,55.39,0.00,0.00
67,9,171,2.89,0.00,0.00
68,9,173,388.34,0.00,0.00
69,9,175,567.42,0.00,0.00
70,9,177,12.20,0.00,0.00
71,9,179,214.40,0.00,0.00
72,9,181,825.58,0.00,0.00
73,9,183,35.34,0.00,0.00
74,9,185,126.80,0.00,0.00
75,9,187,138.62,0.00,0.00
76,9,189,326.09,20.65,0.00
77,10,203,37.55,0.00,0.00
78,10,209,153.00,0.00,0.00
79,11,211,338.65,65.60,0.00
80,11,213,258.11,174.50,0.00
81,11,215,166.05,0.00,0.00
82,11,217,202.40,71.40,0.00
83,12,219,467.15,70.77,0.00
84,12,221,6.89,8.47,0.00
85,12,223,190.65,0.00,0.00
86,13,227,682.88,38.72,0.00
87,13,229,166.12,0.00,0.00
88,13,231,1846.65,68.10,0.00
89,13,233,950.05,73.64,0.00
90,13,235,568.28,55.85,0.00
91,14,247,0.00,120.60,0.00
92,14,249,0.00,35.32,0.00
93,14,251,0.00,75.40,0.00
94,14,253,0.00,422.36,0.00
95,14,255,1757.72,0.00,0.00
96,14,257,0.00,348.16,0.00
97,14,259,122.87,14.20,0.00
98,14,261,0.00,290.00,0.00
99,14,263,0.00,33.53,0.00
100,15,301,342.12,0.00,0.00
101,16,303,0.00,56.18,0.00
102,16,305,0.00,33.43,0.00
103,16,307,531.44,144.35,0.00
104,16,309,497.03,0.00,0.00
105,16,311,0.00,150.02,0.00
106,16,313,0.00,159.23,0.00
107,16,315,282.38,0.00,0.00
108,16,317,0.00,176.75,0.00
109,16,319,0.00,175.66,0.00
110,16,321,0.00,89.18,0.00
111,17,323,0.00,148.27,0.00
112,17,325,0.00,152.35,0.00
113,17,327,0.00,192.54,0.00
114,17,329,236.24,18.70,0.00
115,18,499,550.23,61.72,0.26
116,18,502,356.33,76.49,0.26
117,18,505,108.13,0.00,0.25
118,18,508,129.43,43.62,0.25
119,18,511,312.60,44.06,0.27
120,18,514,10.00,0.00,0.26
121,18,517,10.00,0.00,0.26
122,18,520,10.00,0.00,0.26
123,19,355,12.55,140.37,0.00
124,19,356,155.59,0.00,0.00
125,20,358,0.00,2.28,0.00
126,20,363,0.00,48.61,0.00
127,21,375,58.11,0.00,0.00
128,21,383,7.79,0.00,0.00
129,21,385,493.48,114.67,0.00
130,21,386,27.81,0.00,0.00
131,22,342,0.00,6.76,0.00
132,23,392,45.43,0.00,0.00
133,24,410,28.89,0.00,0.00
134,25,417,369.59,0.00,0.00
135,25,420,2.48,0.00,0.00
136,25,424,226.57,33.72,0.00
137,26,429,13.34,0.00,0.00
138,26,430,0.70,0.00,0.00
139,26,431,9.90,0.00,0.00
140,26,432,21.95,0.00,0.00
141,26,433,1.60,0.00,0.00
142,27,439,3.85,0.00,0.00
143,28,448,0.00,2.00,0.00
144,29,523,100.00,0.00,0.00
145,29,526,100.00,0.00,0.00
146,30,61,462.91,71.67,0.25
147,31,61,486.16,71.86,0.25
148,32,61,467.67,68.72,0.26
149,33,55,408.67,27.02,0.22
150,34,55,409.88,24.91,0.22
151,35,55,594.96,48.90,0.22
152,36,61,471.34,70.29,0.00
