"IdEntregas","IdOrdenes","IdMaquileros","Fecha","Cantidad","Observaciones","FechaEntregaM","PrecioPactado","Consecutivo"
1,24,1,05/05/2005 00:00:00,1992,,,,1
2,2,231,12/01/2018 00:00:00,1793,"wsdddwssssaqq",01/01/2018 00:00:00,8.00,1
3,3,2,11/04/2005 00:00:00,1740,,,7.00,1
4,4,2,11/04/2005 00:00:00,1716,,,7.00,1
5,7,2,11/04/2005 00:00:00,1200,,,,1
6,8,2,11/04/2005 00:00:00,1920,,,,1
7,9,2,04/04/2005 00:00:00,1116,,,,1
8,10,2,29/03/2005 00:00:00,780,,,,1
9,11,2,28/03/2005 00:00:00,1116,,,,1
10,12,2,29/03/2005 00:00:00,1116,,,,1
11,13,243,29/03/2005 00:00:00,780,,,7.00,1
12,14,2,29/03/2005 00:00:00,1116,,,,1
13,15,2,15/04/2005 00:00:00,1116,,,,1
14,17,1,29/04/2005 00:00:00,1992,,,,1
15,18,1,29/04/2005 00:00:00,1992,,,,1
16,19,1,03/05/2005 00:00:00,1998,,,,1
17,20,1,02/05/2005 00:00:00,1992,,,,1
18,21,1,29/04/2005 00:00:00,1992,,,,1
19,22,1,05/05/2005 00:00:00,1992,,,,1
20,23,1,05/05/2005 00:00:00,1992,,,,1
21,25,1,05/05/2005 00:00:00,1992,,,,1
22,26,1,05/05/2005 00:00:00,1860,,,,1
23,27,1,28/04/2005 00:00:00,1008,,,,1
24,28,1,28/04/2005 00:00:00,608,,,,1
25,29,1,28/04/2005 00:00:00,608,,,,1
26,30,1,28/04/2005 00:00:00,1008,,,,1
27,31,1,29/04/2005 00:00:00,800,,,,1
28,32,1,29/04/2005 00:00:00,608,,,,1
29,16,2,15/04/2005 00:00:00,1116,,,,1
30,33,1,29/04/2005 00:00:00,832,,,,1
31,36,1,26/05/2005 00:00:00,1704,,,,1
32,39,1,26/05/2005 00:00:00,1440,,,,1
34,37,1,26/05/2005 00:00:00,1200,,,,1
35,35,1,26/05/2005 00:00:00,960,,,,1
37,38,1,09/06/2005 00:00:00,1992,,,,1
38,58,1,20/06/2005 00:00:00,744,,,,1
39,59,1,20/06/2005 00:00:00,1140,,,,1
40,60,1,20/06/2005 00:00:00,744,,,,1
41,61,1,20/06/2005 00:00:00,1140,,,,1
42,40,1,24/06/2005 00:00:00,1440,,,,1
43,43,1,24/06/2005 00:00:00,1440,,,,1
44,44,1,24/06/2005 00:00:00,960,,,,1
45,42,3,07/07/2005 00:00:00,1200,"ENTREGO 8.07  420 PRS. Y  EL 11-07  777 PRS.LE FALTARON 3 A ROS.",,,1
46,48,1,05/07/2005 00:00:00,1200,,,,1
47,46,4,26/07/2005 00:00:00,1200,,,,1
48,49,1,13/07/2005 00:00:00,1200,,,,1
49,51,4,26/07/2005 00:00:00,840,,,,1
51,53,1,13/07/2005 00:00:00,1200,,,,1
53,54,1,05/07/2005 00:00:00,2160,,,,1
54,45,4,26/07/2005 00:00:00,1440,,,,1
55,47,1,27/07/2005 00:00:00,1200,,,,1
56,50,4,26/07/2005 00:00:00,960,,,,1
58,52,1,22/07/2005 00:00:00,1440,,,,1
59,55,1,27/07/2005 00:00:00,1440,,,,1
60,62,1,29/07/2005 00:00:00,852,,,,1
61,63,4,29/07/2005 00:00:00,1176,,,,1
62,67,1,29/07/2005 00:00:00,780,,,,1
63,79,1,29/07/2005 00:00:00,1200,,,,1
64,56,4,26/07/2005 00:00:00,1200,,,,1
65,57,4,26/07/2005 00:00:00,960,,,,1
66,64,1,04/08/2005 00:00:00,858,,,,1
67,68,4,04/08/2005 00:00:00,780,,,,1
68,73,1,08/08/2005 00:00:00,1200,,,,1
69,74,4,09/08/2005 00:00:00,1200,,,,1
70,80,4,09/08/2005 00:00:00,1200,,,,1
71,90,5,08/08/2005 00:00:00,360,,,,1
72,92,5,12/08/2005 00:00:00,360,,,,1
73,93,5,11/08/2005 00:00:00,360,,,,1
74,81,1,10/08/2005 00:00:00,1200,,,,1
75,76,4,29/08/2005 00:00:00,1200,,,,1
76,69,1,08/09/2005 00:00:00,792,,,,1
77,70,4,14/09/2005 00:00:00,792,,,,1
78,83,4,14/09/2005 00:00:00,1200,,,,1
79,75,1,19/08/2005 00:00:00,1200,,,,1
80,82,1,20/09/2005 00:00:00,1200,,,,1
81,84,1,20/09/2005 00:00:00,1200,,,,1
82,97,6,19/09/2005 00:00:00,2904,,,,1
83,99,6,20/09/2005 00:00:00,1538,,,,1
85,111,6,21/09/2005 00:00:00,2520,,,,1
87,98,6,23/09/2005 00:00:00,1260,,,,1
88,65,7,26/09/2005 00:00:00,960,,,,1
89,66,7,27/09/2005 00:00:00,1176,,,,1
90,71,7,28/09/2005 00:00:00,792,,,,1
91,72,7,28/09/2005 00:00:00,792,,,,1
93,87,7,29/09/2005 00:00:00,1200,,,,1
94,88,7,29/09/2005 00:00:00,1200,,,,1
96,98,6,26/09/2005 00:00:00,1260,,,,2
97,100,6,30/07/2005 00:00:00,1934,,,,1
98,97,6,27/09/2005 00:00:00,468,,,,2
99,99,6,23/09/2005 00:00:00,1500,,,,2
100,77,1,07/10/2005 00:00:00,1200,,,,1
101,102,1,07/10/2005 00:00:00,612,,,,1
102,105,1,07/10/2005 00:00:00,612,,,,1
103,112,1,07/10/2005 00:00:00,1440,,,,1
104,113,1,07/10/2005 00:00:00,1440,,,,1
105,85,1,07/10/2005 00:00:00,1200,,,,1
106,114,1,07/10/2005 00:00:00,312,,,,1
107,89,1,09/10/2005 00:00:00,1200,,,,1
109,103,1,13/10/2005 00:00:00,612,,,,1
110,104,1,13/10/2005 00:00:00,612,,,,1
112,108,1,11/10/2005 00:00:00,720,,,,1
113,123,8,30/09/2005 00:00:00,1848,,,,1
114,106,1,17/10/2005 00:00:00,612,,,,1
115,78,4,30/09/2005 00:00:00,1200,,,,1
116,86,4,30/09/2005 00:00:00,1200,,,,1
117,109,4,19/10/2005 00:00:00,720,,,,1
118,115,6,19/10/2005 00:00:00,1440,"jaspe y neg",,,1
119,116,6,24/10/2005 00:00:00,1576,,,,1
120,117,6,21/10/2005 00:00:00,1440,,,,1
121,118,6,18/10/2005 00:00:00,142,,,,1
122,122,6,24/10/2005 00:00:00,480,,,,1
123,101,1,03/11/2005 00:00:00,612,,,,1
124,107,4,03/11/2005 00:00:00,720,,,,1
125,121,6,26/10/2005 00:00:00,3360,,,,1
126,134,6,04/11/2005 00:00:00,2100,,,,1
127,135,6,07/11/2005 00:00:00,2104,,,,1
128,96,8,19/10/2005 00:00:00,360,,,,1
129,94,5,29/09/2005 00:00:00,360,,,,1
130,95,5,29/09/2005 00:00:00,360,,,,1
131,120,6,08/11/2005 00:00:00,3840,,,,1
132,124,6,08/11/2005 00:00:00,1416,,,,1
133,132,6,10/11/2005 00:00:00,675,,,,1
134,128,6,11/11/2005 00:00:00,3244,,,,1
135,119,6,16/11/2005 00:00:00,3128,,,,1
136,125,7,16/11/2005 00:00:00,1032,,,,1
137,127,7,17/11/2005 00:00:00,712,,,,1
138,129,7,18/11/2005 00:00:00,680,,,,1
139,130,7,22/11/2005 00:00:00,623,,,,1
140,126,6,18/11/2005 00:00:00,2548,,,,1
141,131,6,25/11/2005 00:00:00,880,,,,1
142,133,6,28/11/2005 00:00:00,582,,,,1
143,137,6,30/11/2005 00:00:00,3720,,,,1
144,138,6,29/11/2005 00:00:00,3720,,,,1
145,136,6,09/12/2005 00:00:00,3600,,,,1
146,139,6,06/12/2005 00:00:00,4200,,,,1
147,198,6,09/12/2005 00:00:00,3720,,,,1
148,200,6,09/12/2005 00:00:00,4200,,,,1
149,201,6,13/12/2005 00:00:00,4200,,,,1
150,140,6,14/12/2005 00:00:00,3360,,,,1
151,148,11,13/12/2005 00:00:00,672,,,,1
152,147,11,13/12/2005 00:00:00,672,,,,1
153,146,11,14/12/2005 00:00:00,672,,,,1
154,142,11,16/12/2005 00:00:00,672,,,,1
155,141,11,16/12/2005 00:00:00,559,,,,1
156,143,11,19/12/2005 00:00:00,672,,,,1
157,144,11,14/12/2005 00:00:00,672,,,,1
158,145,11,14/12/2005 00:00:00,672,,,,1
159,149,11,02/01/2006 00:00:00,822,,,,1
160,150,11,02/01/2006 00:00:00,804,,,,1
161,151,11,02/01/2006 00:00:00,804,,,,1
162,152,11,02/01/2006 00:00:00,804,,,,1
163,153,11,02/01/2006 00:00:00,804,,,,1
164,154,11,02/01/2006 00:00:00,804,,,,1
165,155,11,02/01/2006 00:00:00,804,,,,1
166,196,6,31/01/2006 00:00:00,2790,,,,1
167,197,6,02/01/2006 00:00:00,3720,,,,1
168,199,6,04/01/2006 00:00:00,3492,,,,1
170,203,6,01/02/2006 00:00:00,4200,,,,1
171,156,11,14/02/2006 00:00:00,672,,,,1
172,157,11,23/01/2006 00:00:00,672,,,,1
173,171,11,02/03/2006 00:00:00,804,,,,1
174,158,11,14/02/2006 00:00:00,672,,,,1
175,159,11,02/02/2006 00:00:00,672,,,,1
176,160,11,25/01/2006 00:00:00,672,,,,1
177,161,11,31/01/2006 00:00:00,672,,,,1
178,162,11,25/01/2006 00:00:00,672,,,,1
179,163,11,30/01/2006 00:00:00,672,,,,1
180,164,11,23/01/2006 00:00:00,804,,,,1
181,165,11,16/02/2006 00:00:00,804,,,,1
182,166,11,10/02/2006 00:00:00,804,,,,1
183,167,11,14/02/2006 00:00:00,804,,,,1
184,168,11,15/02/2006 00:00:00,804,,,,1
185,169,11,13/02/2006 00:00:00,804,,,,1
186,170,11,22/02/2006 00:00:00,804,,,,1
187,199,6,24/01/2006 00:00:00,228,,,,2
188,214,6,20/02/2006 00:00:00,4664,,,,1
189,172,11,13/03/2006 00:00:00,804,,,,1
190,173,11,13/03/2006 00:00:00,677,,,,1
191,174,11,18/03/2006 00:00:00,804,,,,1
192,175,11,14/03/2006 00:00:00,804,,,,1
193,176,11,11/03/2006 00:00:00,804,,,,1
194,177,11,22/03/2006 00:00:00,804,,,,1
195,178,14,02/03/2006 00:00:00,672,"rem.s/n",,,1
196,179,11,02/03/2006 00:00:00,672,,,,1
197,180,11,04/03/2006 00:00:00,672,,,,1
199,182,11,09/03/2006 00:00:00,672,,,,1
200,183,14,07/03/2006 00:00:00,672,"rem.s/n",,,1
201,184,11,13/03/2006 00:00:00,672,,,,1
202,185,11,10/03/2006 00:00:00,672,,,,1
203,186,11,13/03/2006 00:00:00,672,,,,1
204,189,12,06/03/2006 00:00:00,1950,,,,1
205,204,14,15/03/2006 00:00:00,900,,,,1
206,205,13,15/03/2006 00:00:00,1176,,,,1
207,215,6,06/03/2006 00:00:00,4752,,,,1
208,216,6,16/03/2006 00:00:00,4752,,,,1
209,206,13,17/03/2006 00:00:00,276,,,,1
210,207,13,15/03/2006 00:00:00,900,,,,1
211,208,13,17/03/2006 00:00:00,276,,,,1
212,187,14,14/03/2006 00:00:00,906,"se lo entrego Alejandro Huerta",,,1
213,188,13,14/03/2006 00:00:00,1016,"se lo entrego Alejandro Huerta",,,1
214,217,11,13/04/2006 00:00:00,828,,,,1
215,218,11,13/04/2006 00:00:00,828,,,,1
216,219,11,14/04/2006 00:00:00,828,,,,1
217,220,11,,828,,,,1
218,221,11,13/04/2006 00:00:00,918,,,,1
219,222,11,13/04/2006 00:00:00,954,,,,1
220,223,11,13/04/2006 00:00:00,918,,,,1
221,224,11,13/04/2006 00:00:00,972,,,,1
222,210,14,27/03/2006 00:00:00,1152,,,,1
223,211,14,27/03/2006 00:00:00,1176,,,,1
224,225,16,02/05/2006 00:00:00,2560,,,,1
225,226,16,02/05/2006 00:00:00,2560,,,,1
226,227,16,02/05/2006 00:00:00,3488,,,,1
227,228,16,02/05/2006 00:00:00,3488,,,,1
228,229,1,20/04/2006 00:00:00,2576,,,,1
229,230,1,20/04/2006 00:00:00,2720,,,,1
230,209,14,10/04/2006 00:00:00,492,,,,1
231,234,15,02/05/2006 00:00:00,3560,,,,1
232,235,15,28/04/2006 00:00:00,2432,,,,1
233,190,17,21/04/2006 00:00:00,888,,,,1
234,191,17,21/04/2006 00:00:00,1632,,,,1
235,192,13,21/04/2006 00:00:00,1950,,,,1
236,212,13,28/04/2006 00:00:00,876,,,,1
237,213,13,28/04/2006 00:00:00,528,,,,1
238,231,16,25/05/2006 00:00:00,1216,,,,1
239,232,16,24/05/2006 00:00:00,4464,,,,1
240,233,16,25/05/2006 00:00:00,2232,,,,1
241,236,1,26/05/2006 00:00:00,4485,,,,1
242,237,1,25/06/2006 00:00:00,2368,,,,1
243,238,16,17/05/2006 00:00:00,4480,,,,1
244,239,16,25/05/2006 00:00:00,2432,,,,1
245,240,16,25/05/2006 00:00:00,4464,,,,1
246,241,18,17/05/2006 00:00:00,4128,,,,1
247,248,11,22/05/2006 00:00:00,2172,,,,1
248,249,11,22/05/2006 00:00:00,2172,,,,1
249,250,16,29/05/2006 00:00:00,630,,,,1
250,251,11,26/05/2006 00:00:00,1260,,,,1
251,252,13,19/05/2006 00:00:00,1680,,,,1
252,253,13,19/05/2006 00:00:00,780,,,,1
253,254,11,17/05/2006 00:00:00,1216,,,,1
254,255,11,17/05/2006 00:00:00,1264,,,,1
255,256,11,17/05/2006 00:00:00,624,,,,1
256,257,11,17/05/2006 00:00:00,624,,,,1
257,250,19,30/05/2006 00:00:00,630,"PARA EL SR. IGNACIO HEDZ.",,,2
258,234,15,23/05/2006 00:00:00,904,,,,2
259,259,11,02/06/2006 00:00:00,1656,,,,1
260,260,11,01/06/2006 00:00:00,2940,,,,1
261,261,11,01/06/2006 00:00:00,2940,,,,1
262,262,13,16/06/2006 00:00:00,2940,,,,1
263,263,13,20/06/2006 00:00:00,1920,,,,1
264,320,13,05/06/2006 00:00:00,784,,,,1
265,321,13,09/06/2006 00:00:00,936,,,,1
266,242,13,26/06/2006 00:00:00,848,,,,1
267,243,17,08/06/2006 00:00:00,848,,,,1
268,244,17,07/06/2006 00:00:00,848,,,,1
269,231,16,27/05/2006 00:00:00,1216,,,,2
270,233,16,27/05/2006 00:00:00,2232,,,,2
271,315,19,09/07/2006 00:00:00,2336,,,,1
272,317,13,20/06/2006 00:00:00,3024,,,,1
273,318,19,10/07/2006 00:00:00,2336,,,,1
274,319,19,03/07/2006 00:00:00,688,,,,1
275,322,11,03/07/2006 00:00:00,2880,,,,1
276,321,13,12/06/2006 00:00:00,744,,,,2
