"IdEsMa","FechaEsMa","IdMaquileros","ObsEsMa"
1,20/01/2009 00:00:00,21,
3,01/01/2009 00:00:00,13,
4,08/01/2009 00:00:00,13,
5,16/01/2009 00:00:00,13,
6,09/01/2009 00:00:00,13,
7,13/01/2009 00:00:00,21,
8,14/01/2009 00:00:00,21,
9,16/01/2009 00:00:00,21,
10,09/01/2009 00:00:00,42,
11,01/01/2009 00:00:00,42,
12,01/01/2009 00:00:00,54,
13,16/01/2009 00:00:00,54,
15,05/01/2009 00:00:00,52,
16,23/01/2009 00:00:00,54,
17,23/01/2009 00:00:00,13,
18,05/01/2009 00:00:00,56,
19,09/01/2009 00:00:00,56,
20,01/01/2009 00:00:00,56,
21,16/01/2009 00:00:00,56,
22,01/01/2009 00:00:00,47,
23,16/01/2009 00:00:00,47,
24,23/01/2009 00:00:00,47,
25,16/01/2009 00:00:00,52,
26,23/01/2009 00:00:00,52,
28,23/01/2009 00:00:00,42,
29,01/01/2009 00:00:00,46,
30,20/01/2009 00:00:00,46,
31,23/01/2009 00:00:00,46,
32,23/01/2009 00:00:00,46,
33,27/01/2009 00:00:00,56,
34,23/01/2009 00:00:00,21,
35,01/01/2009 00:00:00,45,
36,13/01/2009 00:00:00,45,
37,05/01/2009 00:00:00,45,
38,16/01/2009 00:00:00,45,
39,23/01/2009 00:00:00,45,
41,05/01/2009 00:00:00,60,
42,16/01/2009 00:00:00,60,
45,28/01/2009 00:00:00,21,
46,09/01/2009 00:00:00,54,
48,23/01/2009 00:00:00,46,
49,30/01/2009 00:00:00,56,
50,30/01/2009 00:00:00,13,
52,06/02/2009 00:00:00,49,
54,06/02/2009 00:00:00,21,
56,06/02/2009 00:00:00,46,
58,06/02/2009 00:00:00,13,
60,14/01/2009 00:00:00,49,
61,16/01/2009 00:00:00,49,
62,01/01/2009 00:00:00,49,
63,09/01/2009 00:00:00,49,
64,10/02/2009 00:00:00,52,
65,13/02/2009 00:00:00,13,
66,20/02/2009 00:00:00,13,
67,27/02/2009 00:00:00,13,
68,06/03/2009 00:00:00,13,
69,13/02/2009 00:00:00,54,
71,13/02/2009 00:00:00,42,
73,13/02/2009 00:00:00,49,
75,16/02/2009 00:00:00,64,
77,18/02/2009 00:00:00,21,
79,18/02/2009 00:00:00,13,
80,19/02/2009 00:00:00,56,
81,20/02/2009 00:00:00,13,
82,05/01/2009 00:00:00,63,
84,16/02/2009 00:00:00,63,
85,20/02/2009 00:00:00,56,
86,20/02/2009 00:00:00,73,
88,20/02/2009 00:00:00,42,
90,20/02/2009 00:00:00,63,
92,19/02/2009 00:00:00,52,
94,20/02/2009 00:00:00,45,
96,23/02/2009 00:00:00,64,
98,27/02/2009 00:00:00,56,
99,02/03/2009 00:00:00,64,
101,09/03/2009 00:00:00,63,
102,27/02/2009 00:00:00,63,
103,06/03/2009 00:00:00,56,
104,11/03/2009 00:00:00,52,
105,13/03/2009 00:00:00,13,
107,13/03/2009 00:00:00,56,
109,13/03/2009 00:00:00,64,
111,17/03/2009 00:00:00,63,
112,18/03/2009 00:00:00,13,
114,20/03/2009 00:00:00,64,
117,20/03/2009 00:00:00,13,
119,20/03/2009 00:00:00,63,
121,25/03/2009 00:00:00,63,
123,25/03/2009 00:00:00,13,
125,23/03/2009 00:00:00,60,
127,27/03/2009 00:00:00,63,
129,27/03/2009 00:00:00,55,
131,25/03/2009 00:00:00,13,
132,27/03/2009 00:00:00,13,
133,27/03/2009 00:00:00,13,
135,27/03/2009 00:00:00,64,
138,03/04/2009 00:00:00,13,
139,03/04/2009 00:00:00,64,
142,02/04/2009 00:00:00,13,
143,04/04/2009 00:00:00,13,
144,13/04/2009 00:00:00,13,
145,08/04/2009 00:00:00,13,
147,08/04/2009 00:00:00,56,
149,08/04/2009 00:00:00,64,
152,05/03/2009 00:00:00,46,
153,14/04/2009 00:00:00,56,
154,14/04/2009 00:00:00,13,
156,17/04/2009 00:00:00,13,
157,17/04/2009 00:00:00,56,
159,17/04/2009 00:00:00,55,
161,17/04/2009 00:00:00,64,
163,17/04/2009 00:00:00,46,
166,24/04/2009 00:00:00,63,
168,24/04/2009 00:00:00,56,
170,24/04/2009 00:00:00,13,
