"IdEsMa_Abonos","IdEsMa","AbonoEsMa","ObsAbonos"
1,3,-$30605.40,"Saldo a principio de a¤o (nos debia por lo que le dejamos a cuenta en diciembre)"
2,7,$2000.00,"Transporte a Liborio"
3,10,,
4,11,$496.00,"Saldo anterior"
5,12,$11050.00,"Saldo Anterior"
6,22,$9418.00,"Saldo Anterior"
7,29,$712.00,"Saldo Anterior"
8,35,$5096.00,"Saldo Anterior"
9,62,-$15598.00,"Saldo Anterior"
11,163,$161.40,"Cuadre de cuentas (fletes, descuentos, etc)"
12,77,$68.00,"Saldo de cuentas"
13,203,$563.00,"Ajuste de cuentas"
14,24,-$18.00,"Ajuste de saldo"
15,73,-$60.50,"Ajuste de Saldo"
16,276,$2599.00,"Saldo Anterior"
17,453,$600.00,"Medio Flete 18-09-09"
18,430,$7680.00,"Corte de orden 932 y 933 a 1.25 (6,144 prendas)"
19,437,$6701.10,"IVA de las ordenes 932, 933, 934"
20,549,$3000.00,"Composturas"
21,695,$15000.00,"De las cuentas anteriores de liverpool. (5,000 a la semana)"
22,918,-$7617.00,"Maquina"
23,930,-$6458.00,"Maquina"
24,933,-$8889.00,"Maquina"
25,934,-$3286.00,
26,927,-$15938.00,"Maquina"
27,949,-$4959.00,"Maquina"
28,950,-$4464.00,
29,951,-$3888.00,"Maquina"
30,960,-$3218.00,"Maquina"
31,990,-$7829.00,"Maquina"
32,1005,-$5563.00,"Maquina"
33,1026,-$1294.00,"Maquina"
34,1048,-$4726.00,"Maquina"
35,1050,$1200.00,"Transporte"
36,1051,$23.00,"Ajustes"
37,1082,-$10631.00,"Maquina"
38,1108,-$4296.00,"Maquina"
39,1110,-$2130.00,"Maquina"
40,1111,-$9700.00,"Maquina"
41,1165,-$4441.00,"Maquina"
42,1166,-$8920.00,"Maquina"
43,1196,-$12943.00,"Maquina"
44,1198,-$1814.00,"Maquina"
45,1237,-$3512.00,"Maquina"
46,1195,-$4248.00,"Maquina"
47,1197,-$13255.00,"Maquina"
48,1238,-$6144.00,"Maquina"
49,1240,-$22468.00,"Maquina"
50,1300,-$17369.00,"Maquina"
51,1387,$818139.44,"Saldao de cuentas de FIFA (Falta ver lo quey positivo en Oscar Credimax)"
52,1405,$2500.00,"Transporte tela"
53,1407,$55544.00,"13,886 prendas a 4.00.
1205-2,256 / 1206-3,199 / 1207-5,012 / 1210-3,419"
54,1427,$1000.00,"Transport para recoger tela en San Juan del rio"
55,1417,$2200.00,"Transporte Tela Sportoc"
56,1601,,
57,1598,$2800.00,"Transporte con tela"
58,1649,,"PROVI (VESTIDOS)"
59,1605,$1126.50,"Armado de chamarra"
60,1546,$15840.00,"Provi pantalon. A 15.00"
61,1704,$2640.00,"corte chamarra provi"
62,1629,$3200.00,"4 Transportes para recoger tela de corte"
63,1819,$2500.00,"Viaje a Puebla"
64,1850,,
65,1841,$8375.00,"335 Chamarras ord. 1287 a 25. PROVI"
66,1845,$13702.50,"1015 prendas orden 1288. PROVI"
67,1857,$14872.00,"676 CHAMARRAS ORD 1287 A 22. PROVI"
68,1842,$22418.00,"1019 chamarras ord.  A 22"
69,1891,,
70,1917,$19898.00,"Pellones"
71,1290,$309611.50,"Saldo de cuentas"
72,1910,$50380.00,"Cuenta Saldada"
73,1959,$2691.25,"Corte Bies y Gastos."
74,1940,$1519.00,"IDE"
75,1975,$47779.00,"Falta por entregar"
76,2154,,"Cerre cuentas"
77,2163,$264925.38,"Cerrar cuentas anteriores"
78,2174,$78800.00,"Cerrar cuentas anteriores"
79,2175,$7115.90,"Saldo anterior"
80,2182,$2109.00,"Pantaloncito"
81,2183,$975.00,"Saldo Anterior"
82,2210,$76187.10,"Cuadre de cuentas anteriores"
83,2151,$28194.00,"Pantaloncito 7,620 x 3.7"
84,2450,$16268.00,"Provi Malla"
85,2119,$34714.60,"Ajuste de cuentas"
86,2619,$4700.00,"Robo"
87,2623,$11000.00,"Pago de cuenta anterior"
88,2678,,
89,2687,$0.00,
90,2806,$4156.00,"Cambio de etiqueta ($1.00 x prenda)"
91,2842,$0.00,"Corte Bies"
92,2841,$6880.00,"Cambio de etiquetas Orden 1728"
93,2905,$9673.60,"Pago Corte ordenes 1773,1775,1776,1778 a $0.80 cada una"
94,2906,$58808.00,"Estampado ordenes 1773, 1776, 1778 (la de nino es de 2,912 Piezas)"
95,2940,$6793.20,"CUADRE DE CUENTAS ANTERIORES"
96,2771,$2900.00,"Cuenta Anterior"
97,3193,$400.00,"Viaje"
98,3229,$432.00,"Prendas de Sophia que se cortaron de mas"
99,2862,$1711.00,"Cambio de etiqueta Brasil"
100,3353,$500.00,"Jafra"
101,3199,$31854.00,"Etiquetas"
102,3655,$13000.00,"Bolsitas"
103,3461,$5446.00,"Cierre cuentas"
104,3777,$400.00,"Taxi"
105,3877,$1383.00,"Viaje a puebla"
106,3914,$2331.00,"Cambio de etiqueta"
107,3958,$1050.00,"Cambio de etiqueta"
108,3864,$1310.00,"Cambio de etiqueta 1987"
109,4008,$154.00,"Bies"
110,4141,$2500.00,"Composturas Jova orden 2013"
111,4201,$3300.00,"Reparaciones de Graciela"
112,4607,$1.00,"Compostura legigngs"
113,4608,$2274.00,"Compostura Leggings"
114,4636,$1749.00,"Composturas"
115,3111,$80539.00,"Saldo de cuentas anteriores"
118,4680,$5982.00,"Composturas y cambio de etiqueta"
119,4668,$0.00,
120,4743,$441.00,"Corte Bies"
121,4790,$3864.00,"Composturas CONTROL"
122,4789,$2877.00,"Composturas de la sudadera de Alfredo"
123,4834,$7304.04,"Corte 2194, 2195, 2192, 2197, 2198, 2199"
124,4582,$3500.00,"Finiquito orden dela falda gatubela que cosio mal."
125,4873,$3092.00,"Composturas y transporte"
126,4855,$7460.00,"Composturas"
127,4899,$18031.00,"Corte de ordenes 2200 a 2205"
128,3985,,
129,5108,$12159.00,"Vestido, Playera y Jogger"
130,5259,$8490.00,"Compostura de 566 chamarras a $15"
131,5234,$1120.00,"Composturas chamarras"
132,5275,$6318.00,"Compostura Jogger 486 a $13"
133,5302,$2900.00,"Composturas Chamarra Roja"
134,5441,$5000.00,"Compostura Chamarras"
135,5482,$12342.00,"Composturas Chalecos"
136,5561,$300.00,"Muestras Cklass"
137,5687,$2328.00,"Composturas"
138,5829,$2497.00,"Plancha Cklass"
139,5895,$4033.00,
140,5872,$2464.00,"Cambio de etiqueta"
141,6131,$7150.00,"Compostura de chamarra de Ruben"
142,6233,$670.00,"etiqueta"
143,6206,$5855.00,"Etiquetas y composturas"
144,6302,$2200.00,"Composturas de guillermo"
145,6421,$5241.60,"4368 prendas orden 2468 a 1.20"
146,6442,$1260.00,"252 Chamarras de versatex incompletas"
147,6512,$2400.00,"1,600 sudaderas cklass a 1.50"
148,6572,,
149,6573,$19085.00,"cerre cuentas (no me acuerdo que paso)"
150,6381,$7980.00,"Corte"
151,6646,$5383.00,
152,6467,$8211.00,"CORTE"
153,6947,$3474.00,"Compostura Mangas Jasponesa. 1,158 a $3.00"
154,6976,$8320.00,"Corte y estampado"
155,1292,$24887.00,
156,7223,$2500.00,"Legging 2pack"
157,7255,$2100.00,"Cambio de Etiqueta"
158,7195,$963.00,"cambio de Etiquetas"
159,7400,$4221.00,"Composturas Chamarras Jaspe (Breton)"
160,7586,$1176.00,"cambio de etiquetas"
161,7735,$1000.00,"Viaje"
162,7852,$0.00,
