"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
1,6,$7300.00,"Coche"
2,5,$320.00,"4 prendas ord. 871 a 80"
3,10,$480.00,"6 Prendas, ord. 870 a $80 c/u"
4,1,$480.00,"8 PRENDAS QUE COMPRO DE LA TIENDA"
5,30,$1440.00,"12 prendas ord. 796 a 120 pesos"
6,31,$2480.40,"20% entrega tarde ord. 867"
7,32,$1500.00,"Costureras que se le mandaron"
8,36,$7700.00,"22 conjuntos ord. 799 a $350"
9,37,$6300.00,"18 conjuntos, ord. 795 a $350"
10,38,$15928.00,"20% de descuento por entrega tarde ord. 795 y 799"
11,13,$8000.00,"40 conjuntos ord. 878"
12,21,$800.00,"4 conjuntos ord. 878 a $200"
13,42,$2600.00,"13 conjuntos ord. 878 a $200"
14,15,$3400.00,"17 conjuntos ord. 878"
15,48,$630.00,"7 prendas ord. 867"
16,17,$1996.00,"140 kgs de sportoc oxford a $62 + IVA (en 5 partes)"
17,63,$2000.00,"Transporte de Daniel Gutierres para llevarle la mitad de la ord. 867 a Liborio"
18,60,$1000.00,"Por entrega Tardisimo ord. 867 y por tener que recogerle el corte."
19,61,$800.00,"Por no pegar la etiqueta en el pantalon, Ord. 863"
20,52,$340.00,"Faltante de 2 conjuntos, ord. 863"
21,65,$1996.00,"Tela 2/5"
22,66,$1996.00,"Tela 3/5"
23,67,$1996.00,"Tela 4/5"
24,68,$1996.00,"Tela 5/5"
25,49,$230.00,"100 metros de elastico a $2.00 mas IVA"
26,80,$180.00,"2 Chamarras, ord. 879"
27,79,,
28,81,$6877.00,"Ultimo Pago del coche, para 75,000, falta los intereses"
29,77,$700.00,"Flete para recogerle."
30,85,$400.00,"Penalizacion por no embolsar"
31,154,$2293.00,"139 prendas, ord. 908 a 16.50 cada una"
32,172,$1753.00,"15% DE LA ORD. 893"
33,185,$10290.00,"128.65 Kgs a $80.00. Que se llevo de mas en la ord. 913."
34,189,$1584.00,"Faltante de prendas chamarra"
35,211,$1500.00,"Por mandar varias veces en lugar de que me  conteste el tel."
36,229,,
37,201,$500.00,"Transporte del primer pedido de la playera (miguel)"
38,234,$1190.00,"17 pants, ord. 889"
39,235,$2170.00,"31 prendas, ord. 889"
40,94,$26808.00,"Saldo de cuentas de lo de liverpool. Le pague 7,000 de esta cuenta el 14 de mayo 2010."
41,237,$350.00,"7 prendas ord.891"
42,282,$2640.00,"33 PRENDAS ORDEN 900"
