"IdEsMa_Pagos","IdEsMa","PagoEsMa","ObsPagos","RevisionPendienteP"
463,676,$10000.00,,1
465,678,$5000.00,,0
467,680,$5000.00,,1
469,682,$13000.00,,0
471,684,$4000.00,,0
473,686,$5000.00,,0
475,689,$21000.00,,0
477,691,$5000.00,,1
479,698,$7000.00,,0
481,701,$6000.00,,0
483,705,$5000.00,,0
485,707,$7000.00,,0
487,709,$5000.00,,1
489,711,$5000.00,,1
491,713,$14000.00,,1
493,715,$6000.00,,1
495,721,$5000.00,,0
496,722,$5000.00,,0
497,723,$10000.00,,0
499,725,$10000.00,,0
501,727,$50000.00,,0
502,728,$20000.00,,0
505,731,$5000.00,,0
506,732,$5000.00,,0
508,734,$5000.00,,1
509,735,$7000.00,,1
511,737,$5000.00,,1
512,738,$7000.00,,1
514,746,$0.00,,0
516,748,$10000.00,,0
518,750,$10000.00,,0
520,752,$23700.00,,0
522,754,$15000.00,,0
524,756,$10000.00,,1
526,758,$10000.00,,1
528,766,$8000.00,,0
530,768,$13000.00,,0
532,770,$4000.00,,0
534,772,$5000.00,,0
536,774,$5000.00,,1
538,776,$10000.00,,1
540,778,$7000.00,,1
542,788,$7000.00,,0
544,790,$5000.00,,1
546,792,$1000.00,,1
548,794,$8000.00,,1
550,796,$22000.00,,0
552,798,$5000.00,,0
554,806,$10000.00,,0
556,808,$8000.00,,0
558,810,$17000.00,,0
560,812,$10000.00,,0
562,814,$10000.00,,1
564,820,$38638.00,"Lo que faltaba de la tela que le vendimos",0
565,824,$15000.00,,0
567,826,$0.00,,0
569,828,$27000.00,,0
571,830,$20000.00,,0
573,832,$20000.00,,1
575,834,$5000.00,,1
577,837,$16000.00,,0
579,839,$20000.00,,0
581,841,$5000.00,,0
583,843,$5000.00,,1
585,845,$5000.00,,1
587,863,$2500.00,,1
589,865,$5000.00,,0
591,867,$25000.00,,0
593,869,$20000.00,,1
595,871,$5000.00,,1
597,873,$0.00,,1
598,874,$5000.00,,1
601,881,$50000.00,,0
603,883,$60000.00,,0
605,885,$2000.00,,1
606,886,$6000.00,,0
608,888,$6000.00,,1
610,890,$20000.00,,1
612,892,$30000.00,,0
614,894,$3000.00,,0
616,897,$70000.00,,0
618,899,$35000.00,,0
620,901,$3000.00,,0
622,903,$25000.00,,0
624,905,$15000.00,,1
626,907,$3000.00,,1
628,914,$0.00,,0
630,919,$10000.00,,1
632,921,$10000.00,,0
634,923,$20000.00,,1
636,925,$25000.00,,0
638,927,$0.00,,0
639,928,$30000.00,,0
641,936,$9000.00,,1
643,938,$4000.00,,1
645,940,$10000.00,,1
647,942,$10000.00,,1
649,944,$30000.00,,0
651,946,$5000.00,,1
653,953,$500.00,,0
655,955,$60000.00,,0
657,957,$60000.00,,0
660,962,$45000.00,,0
662,964,$5000.00,,0
664,966,$15000.00,,1
666,968,$39000.00,,0
668,970,$5000.00,,0
671,973,$70000.00,,0
673,975,$15000.00,,1
675,977,$3000.00,,1
676,978,$0.00,,1
677,979,$15000.00,,1
679,981,$15000.00,,1
680,987,$39000.00,,0
682,992,$20000.00,,0
683,993,$2200.00,,1
685,995,$7000.00,,0
687,997,$13000.00,,1
689,999,$14000.00,,1
691,1001,$5000.00,,1
693,1003,$4000.00,,1
695,1006,$11200.00,,1
696,1007,$18000.00,,1
697,1008,$2000.00,,0
699,1010,$5500.00,,1
701,1012,$12000.00,,1
703,1014,$5000.00,,1
705,1016,$10000.00,,1
707,1018,$20000.00,,0
709,1020,$5000.00,,0
711,1022,$34000.00,,1
713,1024,$70000.00,,0
715,1030,$13000.00,,1
717,1032,$12000.00,,0
719,1034,$2000.00,,1
721,1036,$5000.00,,0
723,1038,$25000.00,,1
725,1040,$37672.00,"Facturado (43,700)",0
727,1043,$30000.00,"En efectivo",0
729,1052,$10000.00,,1
731,1054,$17000.00,,1
733,1056,$50000.00,,1
735,1058,$3000.00,,1
737,1060,$4000.00,,1
739,1062,$1500.00,,1
741,1064,$6000.00,,1
743,1066,$450.00,,0
745,1071,$7000.00,,1
747,1073,$3000.00,,0
749,1075,$12000.00,,1
751,1077,$8500.00,,1
753,1080,$12000.00,,0
755,1083,$10000.00,,1
757,1085,$35000.00,"35,000 + IVA = 40,600",0
759,1087,$500.00,,1
761,1091,$4000.00,,1
763,1093,$10500.00,,1
766,1096,$3000.00,,0
768,1098,$18000.00,,1
770,1100,$40000.00,,0
772,1102,$16000.00,,1
774,1112,$8000.00,,1
776,1114,$7000.00,,0
778,1116,$10000.00,,1
780,1118,$10000.00,,1
782,1120,$20000.00,,0
784,1122,$10000.00,,1
786,1124,$103448.00,"Mas IVA (120,000)",0
788,1126,$25000.00,,1
790,1128,$5000.00,,0
792,1131,$15000.00,,1
794,1133,$1600.00,,1
796,1135,$7000.00,,0
798,1137,$2000.00,,1
800,1139,$8000.00,,1
802,1141,$10000.00,,1
804,1143,$7000.00,,1
806,1145,$20000.00,,0
808,1147,$40000.00,,1
810,1149,$120000.00,"Mas IVA (139,200)",0
812,1151,$30000.00,,0
814,1153,$25000.00,,0
816,1155,$17000.00,,0
818,1157,$20000.00,,0
819,1158,$5000.00,,0
821,1175,$8000.00,,0
823,1177,$9000.00,,1
825,1179,$2000.00,,1
827,1181,$3000.00,,1
829,1183,$10000.00,,0
831,1185,$50000.00,,1
833,1187,$172413.79,"200,000 con IVA",0
835,1189,$20000.00,,0
837,1191,$15000.00,,0
839,1193,$18000.00,,0
841,1212,$5000.00,,1
843,1214,$16600.00,,1
845,1216,$17000.00,,0
847,1218,$600.00,,1
848,1219,$8800.00,,1
850,1221,$10000.00,,1
852,1223,$50000.00,,1
854,1225,$270000.00,,0
856,1227,$25000.00,,0
858,1229,$13000.00,,0
859,1230,$4000.00,,0
861,1232,$15000.00,,0
862,1233,$9000.00,,0
864,1251,$7000.00,,1
866,1253,$40000.00,,0
868,1255,$25000.00,,1
870,1257,$15000.00,,1
873,1260,$20000.00,"OJO LA FECHA ES 2010",0
875,1262,$31918.50,,0
877,1264,$21000.00,,0
879,1266,$15000.00,,0
881,1268,$2000.00,,1
883,1270,$50000.00,,1
885,1272,$300000.00,"sin fact",0
886,1273,$135000.00,"sin fact",0
888,1277,$25000.00,,1
889,1278,$25000.00,,1
891,1280,$10000.00,,1
893,1282,$5000.00,,1
895,1284,$50000.00,,1
897,1286,$172413.79,"con factura 200,000",0
899,1288,$15000.00,,0
901,1290,$277693.00,,0
903,1292,$5000.00,,0
905,1327,$25000.00,,1
907,1329,$10000.00,,1
909,1331,$4000.00,,0
911,1333,$25000.00,,1
913,1335,$172413.79,"200,000 con fact",0
915,1337,$470.00,,0
917,1358,$20000.00,,1
919,1360,$4000.00,,1
921,1362,$7000.00,,0
923,1364,$40000.00,,1
925,1366,$68965.51,,0
927,1368,$7100.00,,0
929,1373,$43103.44,"50,000 con IVA",0
930,1375,$1600.00,,0
932,1379,$6000.00,,1
934,1381,$5000.00,,1
936,1383,$3600.00,,1
938,1385,$9300.00,,1
940,1388,$47192.50,"30,000 + 17,192.50",0
942,1390,$4400.00,,0
944,1392,$59200.00,,0
946,1399,$40000.00,,0
949,1402,$10000.00,,0
951,1407,$50000.00,"Transferencia a su cta personal",0
952,1408,$50000.00,"Transferencia a su cta personal",0
953,1410,$13000.00,"S",0
954,1413,$15000.00,,1
956,1415,$15000.00,,1
958,1417,$55000.00,,0
960,1423,$9000.00,,1
962,1425,$40000.00,,0
964,1427,$1000.00,,0
966,1429,$7000.00,,0
968,1431,$9000.00,,0
970,1433,$9000.00,,1
972,1435,$19000.00,,1
974,1437,$0.00,,0
976,1439,$42500.00,,0
979,1442,$30000.00,,0
981,1444,$15000.00,,0
983,1446,$55000.00,,0
985,1448,$100000.00,,0
987,1450,$13000.00,,0
989,1463,$95000.00,,0
991,1466,$7000.00,,1
993,1468,$5000.00,,0
995,1470,$130000.00,,0
997,1479,$6500.00,,1
999,1481,$6500.00,,0
1001,1483,$150000.00,,0
1003,1490,$90000.00,,0
1005,1496,$4000.00,,0
1007,1498,$50000.00,,0
1009,1503,$10000.00,,1
1011,1505,$50000.00,,0
1013,1507,$50000.00,,0
1015,1513,$7000.00,,1
1017,1515,$13000.00,,0
1019,1517,$86206.89,,0
1021,1523,$50000.00,"en efectivo cuando vino a la oficina",0
1023,1525,$16000.00,,0
1025,1527,$8000.00,,0
1027,1529,$15000.00,,1
1029,1531,$25000.00,,0
1031,1533,$0.00,,0
1033,1546,$1000.00,,0
1035,1548,$7000.00,,0
1037,1550,$10000.00,,1
1039,1552,$6000.00,,1
1041,1554,$10000.00,,0
1043,1556,$185185.00,,0
1045,1568,$5000.00,,1
1047,1570,$30000.00,,1
1049,1572,$50000.00,,0
1051,1586,$10000.00,,1
1053,1588,$20000.00,,1
1055,1590,$32407.40,,0
1057,1598,$50000.00,,0
1059,1600,$5000.00,,1
1060,1601,$100000.00,,0
1062,1603,$10000.00,,1
1064,1605,$15000.00,,0
1066,1607,$43000.00,,1
1068,1609,$18000.00,,1
1070,1615,$15000.00,,1
1072,1617,$80000.00,,0
1074,1619,$5000.00,,1
1076,1627,$3000.00,,1
1078,1629,$4000.00,,0
1080,1631,$5000.00,,1
1082,1633,$5000.00,,0
1084,1635,$4000.00,,1
1086,1637,$15000.00,,0
1088,1639,$23000.00,,0
1090,1641,$6000.00,,1
1092,1643,$13000.00,,1
1094,1645,$4000.00,,1
1096,1647,$1300.00,,0
1098,1649,$43000.00,,0
1099,1650,$5000.00,,0
1100,1651,$80000.00,,0
1102,1653,$2800.00,,1
1104,1655,$16000.00,,0
1106,1657,$1500.00,,1
1108,1659,$1500.00,,1
1110,1662,$5000.00,,1
1112,1664,$7000.00,,0
1114,1666,$55000.00,,0
1116,1668,$45000.00,,0
1118,1670,$2000.00,,1
1120,1676,$1000.00,,1
1122,1678,$20000.00,,0
1126,1685,$7500.00,,1
1128,1687,$225.00,,1
1130,1689,$2000.00,,1
1132,1691,$3000.00,,0
1134,1693,$20000.00,,0
1136,1695,$430.00,,1
