"IdEsMa_Recibos","IdEsMa","IdOrdenes","CantRecEsMa","PrecioEsMa","ObsRecibos","RevisionPendiente","EsEstampado"
1,4,819,1776,16.00,,0,0
2,5,820,1776,8.50,,0,0
3,5,822,2492,13.00,,0,0
4,1,816,154,28.00,,0,0
5,10,821,2498,11.00,,0,0
6,10,754,396,25.00,,0,0
7,15,829,1283,57.00,,0,0
8,18,829,996,58.00,,0,0
9,19,818,595,19.00,,0,0
10,19,818,601,16.00,,0,0
11,30,818,689,18.00,,0,0
12,36,749,722,55.00,,0,0
13,37,745,726,55.00,,0,0
14,41,829,487,48.00,,0,0
15,45,817,625,14.00,,0,0
16,50,831,905,16.00,,0,0
17,60,818,599,17.00,,0,0
18,61,814,583,28.50,,0,0
19,58,831,986,16.00,,0,0
20,80,830,1917,18.00,,0,0
21,80,832,2574,8.00,,0,0
22,80,830,2,0.00,"DESCONTADAS",0,0
23,79,831,759,16.00,,0,0
24,79,831,4,0.00,"SEGUNDAS",0,0
25,79,834,774,13.00,,0,0
26,79,834,16,0.00,"SEGUNDAS",0,0
27,65,834,544,13.00,,0,0
28,84,853,120,16.00,,0,0
29,84,854,122,16.00,,0,0
30,84,855,118,16.00,,0,0
31,84,856,120,16.00,,0,0
32,84,857,120,16.00,,0,0
33,84,858,118,16.00,,0,0
34,30,818,7,0.00,"Descontadas",0,0
35,77,815,289,30.00,,0,0
36,77,817,88,10.00,,0,0
37,68,836,1582,16.00,,0,0
39,102,862,67,16.00,,0,0
40,67,860,40,15.00,,0,0
41,67,861,40,20.00,,0,0
42,111,835,4036,10.00,,0,0
43,105,836,1910,16.00,,0,0
44,112,836,535,16.00,,0,0
45,125,833,1701,11.00,,0,0
46,142,859,2628,3.50,,0,0
47,138,859,1290,3.50,,0,0
48,143,859,903,3.50,,0,0
49,144,859,4112,3.50,,0,0
50,138,834,429,13.00,,0,0
51,147,847,1772,13.00,,0,0
52,152,861,15,20.00,,0,0
53,153,847,1177,13.00,,0,0
54,154,859,264,3.50,"Falta ver cantidades por color",0,0
55,172,844,835,14.00,,0,0
56,173,845,343,22.00,,0,0
57,174,846,869,22.00,,0,0
58,176,846,800,22.00,,0,0
59,189,846,200,22.00,,0,0
60,199,864,3032,4.50,,0,0
61,200,864,2240,4.50,,0,0
62,192,864,1279,4.50,,0,0
63,207,841,2511,11.00,,0,0
64,201,864,1592,4.50,,0,0
65,211,864,3727,4.50,,0,0
66,211,864,377,0.00,"Segundas",0,0
67,213,756,370,25.00,,0,0
68,213,841,9,11.00,,0,0
69,214,753,370,25.00,,0,0
70,229,865,153,11.00,,0,0
71,229,866,272,11.00,,0,0
72,229,867,94,17.00,,0,0
73,229,868,163,17.00,,0,0
74,229,869,160,25.00,,0,0
75,234,840,887,11.00,,0,0
76,235,840,871,11.00,,0,0
77,236,842,594,7.00,,0,0
78,237,842,1919,6.50,,0,0
79,238,839,905,19.00,,0,0
80,239,839,730,19.00,,0,0
81,240,839,165,19.00,,0,0
82,252,849,1800,13.00,,0,0
83,282,851,2463,9.00,,0,0
84,283,848,1242,19.00,,0,0
85,284,848,417,19.00,,0,0
86,285,888,40,25.00,,0,0
87,285,889,72,25.00,,0,0
88,285,890,40,25.00,,0,0
89,286,852,2496,6.50,,0,0
90,296,848,116,19.00,,0,0
91,296,848,29,0.00,"Segundas",0,0
92,297,850,2495,11.00,,0,0
93,319,755,372,55.00,,0,0
94,320,872,774,11.00,,0,0
95,320,872,19,0.00,"Segundas",0,0
96,322,871,1482,13.00,,0,0
97,322,871,30,0.00,,0,0
98,322,887,776,8.00,,0,0
99,322,887,30,0.00,,0,0
100,324,873,1613,8.00,,0,0
101,324,873,10,0.00,"Segundas de confeccion",0,0
102,350,874,1630,16.00,,0,0
103,351,879,1661,12.00,,0,0
104,366,897,105,11.00,,0,0
105,366,898,75,11.00,,0,0
106,366,899,149,17.00,,0,0
107,366,900,122,17.00,,0,0
108,380,876,1506,12.50,,0,0
109,383,875,1490,19.00,,0,0
110,383,875,22,0.00,"Segundas",0,0
111,403,942,695,7.00,,0,0
112,403,940,688,7.00,,0,0
113,405,941,684,10.00,,0,0
114,406,870,1490,20.00,,0,0
115,407,881,2802,13.00,,0,0
116,407,880,4303,19.00,,0,0
117,441,939,2569,6.00,,0,0
118,442,877,1506,13.50,,0,0
119,444,878,1476,7.50,,0,0
120,462,878,141,7.50,,0,0
121,465,870,15,20.00,,0,0
122,465,874,16,16.00,,0,0
123,467,925,120,11.00,,0,0
124,467,923,120,18.00,,0,0
125,467,924,120,12.00,,0,0
126,468,943,670,11.00,,0,0
127,468,943,4,0.00,"Segundas",0,0
128,437,886,2792,13.25,,0,0
129,483,904,156,25.00,,0,0
130,483,905,156,55.00,,0,0
131,497,885,497,17.50,,0,0
132,499,882,2869,17.50,,0,0
133,499,882,4,0.00,,0,0
134,515,929,115,16.00,,0,0
135,515,930,119,13.00,,0,0
136,515,931,119,18.00,,0,0
137,515,885,991,17.50,,0,0
138,516,885,1077,17.50,,0,0
139,516,917,539,7.50,,0,0
140,517,927,120,8.50,,0,0
141,517,926,120,8.50,,0,0
143,518,966,104,16.00,"Bermudas",0,0
144,521,914,1951,10.00,,0,0
145,522,916,2415,8.00,,0,0
146,523,915,1932,7.50,,0,0
147,525,885,0,17.50,,0,0
148,526,885,382,17.50,,0,0
149,526,917,1004,7.50,,0,0
150,527,885,890,17.50,,0,0
151,555,913,1936,20.00,,0,0
152,518,966,104,0.00,"Playeras",0,0
153,557,917,896,7.50,,0,0
154,557,885,52,17.50,,0,0
155,559,969,5547,7.50,,0,0
156,563,885,35,17.50,,0,0
157,582,901,2256,8.00,,0,0
158,583,902,2254,8.00,,0,0
159,617,944,1520,7.50,,0,0
160,618,946,1519,7.00,,0,0
161,619,945,1598,8.00,,0,0
162,620,967,317,25.00,"Chamarras",0,0
163,620,967,317,25.00,"Pantalones",0,0
164,620,967,3,0.00,"Pantalones sin chamarra",0,0
165,622,932,120,8.00,,0,0
166,622,928,100,16.00,,0,0
167,622,931,1,18.00,,0,0
168,623,947,1518,7.50,,0,0
169,625,903,2250,7.50,,0,0
170,668,962,810,8.00,,0,0
171,668,963,802,7.00,,0,0
172,669,956,815,16.00,,0,0
173,670,961,726,12.00,,0,0
174,671,957,800,8.50,,0,0
175,669,752,492,29.00,,0,0
176,697,953,809,18.00,,0,0
177,700,955,810,11.00,,0,0
178,700,928,14,20.00,,0,0
179,741,998,1008,17.00,,0,0
180,742,948,1518,7.00,,0,0
181,743,960,798,18.50,,0,0
182,743,998,1004,17.00,,0,0
183,744,998,2007,17.00,,0,0
184,741,1014,608,20.00,,0,0
185,741,1015,200,8.50,,0,0
186,765,997,5040,12.00,,0,0
187,782,954,803,12.00,,0,0
188,783,973,809,12.00,,0,0
189,784,975,810,8.00,,0,0
190,800,979,808,12.50,,0,0
191,801,1002,1160,7.00,,0,0
192,802,981,810,7.00,,0,0
193,803,972,809,12.50,,0,0
194,803,974,815,16.00,,0,0
195,804,1007,2200,14.50,,0,0
196,805,1011,3824,7.00,,0,0
197,816,1008,1904,19.00,,0,0
198,819,1010,1520,8.20,,0,0
199,823,1010,803,8.20,,0,0
200,849,1008,297,19.00,,0,0
201,858,1010,1496,8.20,,0,0
202,859,1006,1735,8.50,,0,0
203,859,1006,3,0.00,"segundas",0,0
204,839,1009,480,8.50,,0,0
205,879,1010,1496,8.20,,0,0
206,909,1002,1241,7.00,,0,0
207,910,1017,2392,8.50,,0,0
208,911,1009,8310,8.50,,0,0
209,912,1009,871,8.50,,0,0
210,912,1042,490,8.50,,0,0
211,917,1042,2276,8.50,,0,0
212,918,1034,4968,8.00,,0,0
213,918,1035,4554,8.00,,0,0
214,930,1020,2392,27.00,"$23.00 + $4.00 DE ESTAMPADO",0,0
215,932,971,803,18.50,,0,0
216,932,980,810,14.00,,0,0
217,933,1033,5055,9.00,,0,0
218,933,1054,4568,9.50,,0,0
219,934,1050,2988,11.00,"8 + 3 de estampado",0,0
220,927,1037,6530,18.00,,0,0
221,927,1036,5093,8.00,,0,0
222,948,1042,2898,8.50,,0,0
223,949,1056,5220,9.50,,0,0
224,950,1047,2976,15.00,"9.00 + 6 de estampado",0,0
225,951,1046,2991,13.00,"9",0,0
226,959,978,793,17.50,,0,0
227,960,1045,3010,8.00,,0,0
228,960,1058,1013,8.00,,0,0
229,983,1041,2197,8.50,,0,0
230,984,1041,2329,8.50,,0,0
231,986,1042,2352,8.50,,0,0
232,986,1041,260,8.50,,0,0
233,990,1043,2999,14.50,,0,0
234,990,1044,2961,9.00,,0,0
235,990,1059,1020,8.00,,0,0
236,1005,1048,3012,8.00,,0,0
237,1005,1049,3012,9.00,,0,0
238,1005,1057,660,9.00,,0,0
239,1026,1053,1618,8.00,,0,0
240,1029,1041,1089,8.50,,0,0
241,1044,1070,1500,9.00,,0,0
242,1048,1055,3007,9.00,,0,0
243,1048,1030,2525,8.00,,0,0
244,1050,918,2247,9.50,,0,0
245,1050,919,2234,9.50,,0,0
246,1082,1144,2317,8.00,,0,0
247,1082,1144,22,0.00,"Segundas",0,0
248,1082,1136,2527,10.00,,0,0
249,1082,1136,25,0.00,"Segundas",0,0
250,1082,1052,2962,10.70,"8  + 2.7 = 10.7",0,0
251,1082,1052,49,0.00,"Segundas",0,0
252,1082,1051,2751,12.00,"9 + 3 = 12.00",0,0
253,1082,1051,10,0.00,"Segundas",0,0
254,1089,1072,1453,9.00,,0,0
255,1105,1152,200,12.00,,0,0
256,1106,1071,726,14.50,,0,0
257,1107,1069,1500,9.00,,0,0
258,1107,1067,1500,10.00,,0,0
259,1107,1068,1500,10.00,,0,0
260,1108,1053,1416,8.00,,0,0
261,1108,1116,1158,8.00,,0,0
262,1108,1115,1156,10.00,,0,0
263,1108,1030,1352,8.00,,0,0
264,1110,1117,1158,8.00,,0,0
265,1110,1114,1147,10.50,,0,0
266,1111,1153,4990,8.50,,0,0
267,1111,1138,3000,9.00,,0,0
268,1111,1079,2425,8.00,,0,0
269,1111,1060,963,12.00,"9 + 3",0,0
270,1162,1023,521,8.00,,0,0
271,1162,1067,72,10.00,,0,0
272,1162,1068,78,10.00,,0,0
273,1165,1077,1908,9.00,,0,0
274,1165,1061,1017,11.00,"8 + 3 de estampado",0,0
275,1165,1108,1784,9.00,,0,0
276,1166,1106,4853,13.00,"9 + 4 estampado",0,0
277,1166,1136,2522,10.00,,0,0
278,1166,1051,100,9.00,,0,0
279,1173,1151,1500,10.00,,0,0
280,1195,1109,4998,8.50,,0,0
281,1196,1109,13403,8.50,,0,0
282,1196,1109,1599,9.70,,0,0
283,1197,1110,13665,9.70,,0,0
284,1198,1078,1910,9.50,,0,0
285,1207,1097,1230,8.00,,0,0
286,1208,1096,1025,9.00,,0,0
287,1209,1095,1213,10.00,,0,0
288,1209,1156,2387,9.00,,0,0
289,1209,1104,3000,8.50,"Falta ver cuanto entrego",1,0
290,1210,1099,1294,9.50,,0,0
291,1237,1129,1195,10.50,,0,0
292,1237,1107,2317,10.50,,0,0
293,1238,1110,3335,9.70,,0,0
294,1240,1111,20000,9.70,,0,0
295,1240,1112,3163,9.70,,0,0
296,1243,1145,4009,10.00,,0,0
297,1294,1158,3427,9.50,,0,0
298,1294,1158,13,0.00,"segundas",0,0
299,1294,1159,3438,9.50,,0,0
300,1294,1159,6,0.00,"segundas",0,0
301,1295,1160,992,14.50,,0,0
302,1295,1160,5,0.00,"segundas",0,0
303,1295,1161,996,14.50,"10.4 + 4 estampado",0,0
304,1295,1161,3,0.00,,0,0
305,1296,1133,1471,8.00,,0,0
306,1296,1133,2,0.00,"segundas",0,0
307,1296,1100,1492,10.00,,0,0
308,1297,1137,4708,9.50,,0,0
309,1297,1137,120,0.00,"segundas",0,0
311,1298,1137,5150,13.50,"10.50 + 3",0,0
312,1299,1107,2569,10.00,,0,0
313,1299,1107,67,0.00,"segundas",0,0
314,1300,1162,3001,9.50,,0,0
315,1301,1112,16837,9.70,,0,0
316,1302,1113,19845,9.70,,0,0
317,1302,1113,838,8.50,"sin estampado",0,0
318,1303,1140,1141,9.50,,0,0
319,1304,1148,897,10.00,,0,0
320,1305,1157,2401,9.50,,0,0
321,1306,1105,1509,8.50,,0,0
322,1307,1102,1494,8.50,,0,0
323,1308,1147,2769,10.00,,0,0
325,1309,1132,1104,9.50,,0,0
326,1310,1118,1077,8.00,,0,0
327,1311,1145,2000,10.00,,0,0
328,1312,1096,205,9.00,,0,0
329,1313,1130,2993,9.00,,0,0
330,1314,1127,1122,9.00,,0,0
331,1314,1121,1160,8.50,,0,0
333,1322,1150,2995,10.00,,0,0
334,1342,1163,2012,10.50,,0,0
335,1348,1147,210,10.00,,0,0
337,1350,1147,210,10.00,,0,0
338,1350,1149,500,10.00,,0,0
339,1352,1145,2000,10.00,,0,0
341,1354,1023,1881,8.00,,0,0
342,1356,1164,3193,8.50,,0,0
343,1356,1165,2608,10.50,,0,0
344,1378,985,807,12.00,,0,0
345,1238,1110,3000,8.50,,0,0
346,1394,1179,4644,5.00,"Pantalones",0,0
347,1394,1179,53,0.00,"Pantalones Segundas",0,0
348,1394,1178,1903,5.00,"Pantalones",0,0
349,1394,1178,65,0.00,"Pantalones Segundas",0,0
350,1394,1175,5124,5.00,"Pantalones",0,0
351,1394,1175,3986,5.00,"Sudaderas",0,0
352,1394,1175,92,0.00,"Sudaderas Segundas",0,0
353,1394,1175,14,0.00,"Pantalones Segundas",0,0
354,1394,1174,1487,5.00,"Pantalones",0,0
355,1394,1174,5,0.00,"Pantalones Segundas",0,0
356,1394,1172,2273,5.00,"Pantalones",0,0
357,1394,1172,23,0.00,"Pantalones Segundas",0,0
358,1395,1179,1101,5.00,"Sudaderas",0,0
359,1395,1175,317,5.00,"Sudaderas",0,0
360,1396,1179,2265,5.00,"Sudaderas",0,0
361,1396,1179,91,0.00,"Sudaderas Segundas",0,0
362,1396,1175,769,5.00,"Sudaderas",0,0
363,1396,1175,37,0.00,"Sudaderas Segundas",0,0
364,1398,1179,1184,5.00,"Sudadera",0,0
365,1398,1179,15,0.00,"Segundas Sudadera",0,0
366,1398,1178,1891,5.00,"Pantalon",0,0
367,1398,1178,4,0.00,"Pantalon Segundas",0,0
368,1398,1176,2016,5.00,"Pantalon",0,0
369,1398,1176,27,0.00,"Segundas Pantalon",0,0
370,1398,1174,2505,5.00,"Pantalon",0,0
371,1398,1174,3971,5.00,"Sudadera",0,0
372,1398,1174,56,0.00,"Segundas Pant/Sud",0,0
373,1398,1173,3219,5.00,"Pantalon",0,0
374,1398,1173,33,0.00,"Segundas pant",0,0
375,1406,1179,12,5.00,"pant y sud, laboratorio",0,0
376,1419,1177,906,5.00,"Sudaderas",0,0
377,1419,1176,2046,5.00,"Sudaderas",0,0
378,1419,1174,998,5.00,"Sudaderas",0,0
379,1420,1177,775,5.00,"Sudaderas",0,0
380,1420,1177,3441,5.00,"Pantalon",0,0
381,1420,1177,18,0.00,"Sudaderas Segundas",0,0
382,1420,1177,2,0.00,"Pantalones Segundas",0,0
383,1420,1174,998,5.00,"Pantalones",0,0
384,1421,1178,1950,5.00,"Sudaderas",0,0
385,1421,1178,12,0.00,"Sudaderas Segundas",0,0
386,1421,1177,458,5.00,"Sudaderas",0,0
387,1421,1173,1600,5.00,"Sudaderas",0,0
388,1421,1172,2261,5.00,"Sudaderas",0,0
389,1421,1172,8,0.00,"Sudaderas Segundas",0,0
390,1422,1178,1874,5.00,"Sudaderas",0,0
391,1422,1177,1262,5.00,"Sudaderas",0,0
392,1422,1173,1546,5.00,"Sudaderas",0,0
393,1422,1173,53,0.00,"Sudaderas Segundas",0,0
394,1452,1192,3748,12.50,,0,0
395,1452,1190,4025,12.50,,0,0
396,1455,1181,2617,11.00,,0,0
397,1455,1180,747,11.00,,0,0
398,1456,1180,2966,11.00,,0,0
399,1457,1180,2112,11.00,,0,0
400,1458,1181,1260,11.00,,0,0
401,1458,1180,1500,11.00,,0,0
402,1459,1181,436,11.00,,0,0
403,1459,1180,2477,11.00,,0,0
404,1460,1181,1499,11.00,,0,0
405,1460,1180,685,11.00,,0,0
406,1462,1181,1874,11.00,,0,0
407,1462,1180,750,11.00,,0,0
408,1456,1180,34,0.00,"Segundas",0,0
409,1458,1181,7,0.00,"Segundas",0,0
410,1472,1181,4680,11.00,,0,0
411,1472,1180,395,11.00,,0,0
412,1472,1202,6,0.00,"Chamarras",0,0
413,1473,1191,2010,23.00,,0,0
414,1473,1189,200,22.50,,0,0
415,1474,1189,1286,22.50,,0,0
417,1475,1189,520,22.50,,0,0
418,1465,1188,1264,5.00,,0,0
419,1465,1184,1200,5.00,,0,0
420,1477,1188,2088,5.00,,0,0
421,1477,1184,2474,5.00,,0,0
422,1478,1188,724,5.00,,0,0
423,1478,1184,128,5.00,,0,0
424,1486,1199,3615,5.00,"Pantalones",0,0
425,1486,1199,1773,16.50,"Chamarra + Estampado (14+2.50)",0,0
426,1486,1199,13,0.00,"Chamarras Segundas",0,0
427,1486,1199,2,0.00,"Pantalones Segundas",0,0
428,1487,1199,1830,16.50,"Chamarra 14+2.50",0,0
429,1487,1198,2313,14.00,"Chamarra 11+3",0,0
430,1487,1198,1407,5.00,"Pantalones",0,0
431,1486,1198,2187,5.00,"Pantalon",0,0
432,1486,1198,21,0.00,"Pantalon Segundas",0,0
433,1486,1198,1240,14.00,"Chamarra 11+3",0,0
434,1486,1198,60,0.00,"Chamarras Segundas",0,0
435,1488,1180,340,11.00,,0,0
436,1488,1180,32,0.00,"Segundas",0,0
437,1489,1202,3596,5.00,"Pantalones",0,0
438,1489,1202,3535,13.50,"Chamarras 11+2.5",0,0
439,1489,1201,3616,13.50,"Chamarras 11+2.5",0,0
440,1489,1202,75,0.00,"Chamarras Segundas",0,0
441,1489,1202,29,0.00,"Pantalones Segundas",0,0
442,1488,1201,3624,5.00,"Pantalones",0,0
443,1492,1200,874,13.50,"Chamarras 11+2.50",0,0
444,1492,1200,2652,5.00,"Pantalones",0,0
445,1492,1200,12,0.00,"Chamarras segundas",0,0
446,1492,1200,10,0.00,"Pantalones Segundas",0,0
447,1502,1200,2666,13.50,"Chamarras",0,0
448,1502,1200,961,5.00,"Pantalones",0,0
449,1502,1200,11,0.00,"Chamarras Segundas",0,0
450,1502,1197,3619,5.00,"Pantalones",0,0
451,1502,1197,3550,13.50,"Chamarras",0,0
452,1502,1197,61,0.00,"Chamarras Segundas",0,0
453,1502,1197,6,0.00,"Pantalones Segundas",0,0
454,1510,1211,910,5.00,"Pantalones",0,0
455,1510,1211,60,7.50,"Playeras",0,0
456,1510,1206,2161,5.00,"Pantalones",0,0
457,1510,1206,1140,8.00,"Playeras",0,0
458,1511,1211,2602,5.00,"Pantalon",0,0
459,1511,1211,600,7.50,"Playeras",0,0
460,1511,1211,4,0.00,"Segundas Pantalon",0,0
461,1511,1206,1482,5.00,"Pantalones",0,0
462,1511,1206,1116,8.00,"Playeras",0,0
463,1511,1206,22,0.00,"Segundas Pantalon",0,0
464,1511,1206,9,0.00,"Pantalon Segundas",0,0
465,1520,1211,2894,7.50,"Playeras",0,0
466,1520,1211,53,0.00,"Playeras Segundas",0,0
467,1520,1211,13,0.00,"Pantalones Segundas",0,0
468,1520,1206,1358,8.00,"Playeras",0,0
469,1521,1203,3070,5.00,"Pantalon",0,0
470,1536,1204,900,8.00,"Sudaderas (5+3)",0,0
471,1536,1203,2340,14.00,"Chamarras",0,0
472,1537,1204,3631,5.00,"Pantalones",0,0
473,1537,1203,1200,14.00,"Chamarra",0,0
474,1537,1203,560,5.00,"Pantalon",0,0
475,1538,1208,1815,5.00,"Pantalon",0,0
476,1538,1204,2729,8.00,"Sudadera",0,0
477,1539,1207,2406,14.00,"Chamarras",0,0
478,1540,1210,1714,5.00,"Playera",0,0
479,1540,1210,1714,5.00,"Pantalon",0,0
480,1540,1205,2244,5.00,"Playera",0,0
481,1540,1205,2244,5.00,"Pantalon",0,0
482,1541,1210,1131,5.00,"Playera",0,0
483,1541,1210,1131,5.00,"Pantalon",0,0
484,1542,1210,688,5.00,"Playera",0,0
485,1542,1210,688,5.00,"Pantalon",0,0
486,1542,1205,517,5.00,"Playeras",0,0
487,1542,1205,524,5.00,"Pantalon",0,0
488,1541,1205,850,5.00,"Playera",0,0
489,1541,1205,850,5.00,"Pantalon",0,0
490,1543,1208,1796,9.00,"Chamarra",0,0
491,1543,1208,1796,5.00,"Pantalon",0,0
492,1559,1093,808,8.50,,0,0
493,1559,1091,258,8.00,,0,0
494,1560,1209,3609,9.00,,0,0
495,1563,1214,3630,5.00,"Bermuda",0,0
496,1563,1214,2402,8.00,"Playera",0,0
497,1564,1209,3836,5.00,"Pantalones",0,0
498,1576,1218,3630,5.00,"Bermuda",0,0
499,1576,1216,3630,8.00,"Playera",0,0
