"IdEtiquetasM","EtiquetaM","Regalias","Activa"
1,"X-TEND",0.00,0
2,"Cherokee",0.00,0
3,"Szass",0.00,0
4,"York",0.00,0
5,"Winds",0.00,0
6,"Casual Isle",0.00,0
7,"Fox",0.10,0
8,"Fubu",0.10,0
9,"Athletic Works",0.00,0
10,"725",0.00,0
11,"George",0.00,0
12,"Head",0.10,1
13,"Global Sport",0.00,0
14,"PENDIENTE",0.00,1
15,"Simply Basic",0.00,0
16,"Pro Fitness",0.00,0
17,"IXSPA",0.00,0
18,"Beijing",0.20,0
19,"UsPolo",0.10,0
20,"Sport Line",0.00,0
21,"New Balance",0.00,1
22,"Nike",0.00,0
23,"Athletica",0.00,0
24,"Zara",0.00,0
25,"OP",0.00,0
26,"North Creek",0.00,0
27,"Free Ride",0.00,0
28,"Pemex",0.00,0
29,"Disney",0.00,0
30,"Pull & Bear",0.00,0
31,"FIFA",0.00,0
32,"BEEP",0.00,0
33,"New Wade",0.00,0
34,"EXXHIST",0.00,1
35,"Free Ride",0.00,0
36,"Chocolat Soda",0.00,1
37,"mossimo",0.00,0
38,"Marilyn",0.00,1
39,"Aerojazz",0.00,0
40,"Van Hausen",0.10,0
41,"Donatella",0.00,0
42,"Cklass",0.00,1
43,"Kaleida",0.00,1
44,"Activewear",0.00,0
45,"Pro Kennex",0.00,1
46,"XEXE Fitness",0.00,1
47,"Cityco",0.00,1
48,"Aditivo",0.00,1
49,"Kebo",0.00,1
50,"We Style",0.00,1
51,"Kappa",0.00,1
52,"Jafra",0.00,1
53,"Lob Man",0.00,1
54,"In Earth",0.00,1
55,"K-Swiss",0.00,1
56,"Get-It",0.00,1
57,"C&A",0.00,1
58,"Ecko",0.00,1
59,"Optima",0.00,1
60,"Sin Etiqueta",0.00,1
61,"Gnomos(Control)",0.00,1
62,"Cozzi (Control)",0.00,1
63,"Red Sky(Control",0.00,1
64,"Hummo",0.00,1
65,"Andre Badi",0.00,1
66,"Aramare",0.00,1
67,"City Co",0.00,1
68,"CCP Basics",0.00,1
69,"CCP Kids",0.00,1
70,"Baby Essentials",0.00,1
71,"CCP",0.00,1
72,"LOL",0.00,1
73,"Aeropostale",0.00,1
74,"Confort",0.00,1
75,"Nitro Sport",0.00,1
76,"LOB",0.00,1
77,"Champions",0.00,1
79,"Hang Ten",0.00,1
80,"Oggi",0.00,1
81,"Planet Fitness",0.00,1
82,"IUSA",0.00,1
