"IdHabilitacion","Clave","Descripcion","Proveedor","Precio","Favorito","CantFav","Desactivado"
1,"E01","Etiqueta de lavado",,$0.14,1,1.00,0
2,"B08",,,,0,1.00,0
3,"E03","Etiqueta de Mca. Cherokee","GMB",$0.24,1,1.00,0
4,"EH02","ETIQUETA HANG TAN CCP",,,0,1.00,0
5,"G01","Gancho 18""",,$0.88,0,1.00,0
6,"G02","Gancho 16""",,$1.07,0,1.00,0
7,"G03","Gancho Pinza 12""",,$1.55,0,1.00,0
8,"G04","Gancho Pinza 10""",,$1.46,0,1.00,0
9,"G05","Gancho Conector 12""  Conj.",,$1.82,0,1.00,0
10,"G06","Gancho Conector 10"" Conj.",,$1.20,0,1.00,0
11,"G07","Gancho 14""",,$0.73,0,1.00,0
13,"A01","Elastico 1 1/2"" con Jareta",,$2.50,0,,0
14,"A02","Elastico 1 1/2"" ref. liso",,$2.45,0,0.00,0
15,"A03","Elastico 2""","CHINCONCUAC",$1.98,0,0.90,0
16,"A04","Elastico 1""  liso",,$1.12,0,0.00,0
17,"J01","Jareta Poliester",,$0.60,0,0.00,0
18,"J02","Jareta algod¢n",,$0.50,0,0.00,0
19,"C01","Cierre Nycast sep. 30 cm",,$3.77,0,1.00,0
20,"C02","Cierre Nycast sep. 35 cm",,$3.97,0,1.00,0
21,"C03","Cierre Nycast sep. 40 cm",,$2.10,0,1.00,0
22,"C04","Cierre Nycast sep. 45 cm",,$2.30,0,1.00,0
23,"C05","Cierre Nycast sep 50 cm",,$2.50,0,1.00,0
24,"C06","Cierre Nycast sep. 55 cm",,$2.70,0,1.00,0
25,"C07","Cierre Nycast sep. 60 cm",,$2.90,0,1.00,0
26,"C08","Cierre Nycast sep. 65 cm",,$3.10,0,1.00,0
27,"C08","Cierre Nycast sep. 70 cm",,$3.69,0,1.00,0
28,"C08","Cierre Nycast sep. 75 cm",,$3.50,0,1.00,0
29,"C09","Cierre Nycast sep. 80 cm",,$7.07,0,1.00,0
30,"C10","Cierre Nycast Fijo 15 cm",,$2.01,0,1.00,0
31,"C11","Cierre Nycast Fijo  18 cm",,$2.33,0,1.00,0
32,"C12","Cierre Nycast Fijo 20 cm",,$2.50,0,1.00,0
33,"C13","Cierre Nycast Fijo 25 cm",,$1.85,0,1.00,0
34,"C14","Cierre Nycast Fijo 30 cm",,$3.19,0,1.00,0
35,"C15","Cierre Venus sep. 30 cm",,$2.00,0,1.00,0
36,"C16","Cierre Venus sep. 35 cm",,$1.85,0,1.00,0
37,"C17","Cierre Venus sep. 40 cm",,$1.91,0,1.00,0
38,"C18","Cierre Venus sep. 45 cm",,$2.30,0,1.00,0
39,"C19","Cierre Venus sep. 50 cm",,$1.55,0,1.00,0
40,"C20","Cierre Venus sep. 55 cm",,$3.05,0,1.00,0
41,"C21","Cierre Venus sep. 60 cm",,$3.13,0,1.00,0
42,"C22","Cierre Venus sep. 65 cm",,$1.90,0,1.00,0
43,"C23","Cierre Venus sep. 70 cm",,$3.69,0,1.00,0
44,"C24","Cierre Venus sep. 75 cm",,$2.00,0,1.00,0
45,"C25","Cierre Venu sep. 80 cm",,$3.70,0,1.00,0
47,"C26","Cierre Venus F. 20 cm.",,$2.10,0,0.00,0
48,"C27","Cierre  Venus F. 15 cm.",,$1.92,0,0.00,0
49,"C28","Cierre Venus F. 18 cm.",,$2.22,0,0.00,0
50,"C29","Cierre Venus F. 25 cm.",,$2.20,0,0.00,0
51,"C30","Cierre Venus F. 30 cm.",,$3.04,0,0.00,0
52,"C31","Cierre Venus F. 35 cm.",,$1.85,0,0.00,0
53,"C32","Cierre Venus F. 40 cm.",,$1.91,0,0.00,0
54,"EP02","ETIQUETA DE PRECIO",,,0,0.00,0
55,"P01","Piola",,$0.00,0,0.00,0
56,"CAJN5","CIERRE ALUM. CAL.5 JN 20CM","CIERRES TECH",,0,0.00,0
57,"E06","Etiqueta de Mca. Szass","Disart",$0.00,0,0.00,0
58,"MNC&A","MONARCH LAVADO C&A",,,0,0.00,0
59,"E08","Etiqueta de carton Cherokee","GMB",$0.19,0,0.00,0
60,"EPG","ETIQUETA DE PRECIO GOSSIP GIR",,,0,0.00,0
61,"E10","Etiqueta de carton X-tend","Global",$0.19,0,0.00,0
