"IdIPT_Mod_Alm","IdIPT_Modelos","IdIPT_Almacenes","Existencia"
1,1,1,1160
2,2,1,817
3,3,1,513
4,4,1,88
5,5,1,5
6,6,1,16
7,7,1,149
8,8,1,28
9,9,1,315
10,10,1,5821
11,11,1,4842
12,12,1,1414
13,13,1,1065
14,14,1,1644
15,15,1,85
16,16,1,234
17,17,1,358
18,18,1,60
19,19,1,57
20,20,1,122
21,21,1,221
22,22,1,108
23,23,1,72
24,24,1,355
25,25,1,88
26,26,1,15
27,27,1,68
28,28,1,17
29,29,1,421
30,30,1,26
31,31,1,195
32,32,1,26
33,33,1,795
34,34,1,2
35,35,1,253
36,36,1,8
37,37,1,1005
38,38,1,84
39,39,1,38
40,40,1,104
41,41,1,517
42,42,1,416
43,43,1,697
44,44,1,71
45,45,1,70
46,46,1,101
47,47,1,98
48,48,1,1856
49,49,1,180
50,50,1,191
51,51,1,34
52,52,1,476
53,53,1,38
54,54,1,0
55,55,1,57
56,56,1,1
57,57,1,1
58,58,1,0
59,59,1,1020
60,60,1,0
61,61,1,1025
62,62,1,125
63,63,1,142
64,64,1,92
65,65,1,270
66,66,1,68
67,67,1,272
68,68,1,15
69,69,1,62
70,70,1,118
71,71,1,302
72,72,1,25
73,73,1,287
74,74,1,233
75,75,1,232
76,76,1,243
77,77,1,551
78,78,1,570
79,79,1,137
80,80,1,348
81,81,1,218
82,82,1,148
83,83,1,67
84,84,1,612
85,85,1,364
86,86,1,56
87,87,1,30
88,88,1,10
89,89,1,81
90,90,1,200
91,91,1,415
92,92,1,2
93,93,1,150
94,94,1,257
95,95,1,791
96,96,1,470
97,97,1,164
98,98,1,27
99,99,1,27
100,100,1,119
101,101,1,225
102,102,1,6
103,103,1,0
104,104,1,1
105,105,1,0
106,106,1,1
107,107,1,156
108,108,1,0
109,109,1,1
110,110,1,394
111,111,1,30
112,112,1,90
113,113,1,33
114,114,1,0
115,115,1,55
116,116,1,1196
117,117,1,469
118,118,1,186
119,119,1,62
120,120,1,83
121,121,1,308
122,122,1,63
123,123,1,96
124,124,1,99
125,125,1,79
126,126,1,282
127,127,1,200
128,128,1,82
129,129,1,173
130,130,1,495
131,131,1,750
132,132,1,2
133,133,1,220
134,134,1,0
135,135,1,28
136,136,1,649
137,137,1,139
138,138,1,271
139,139,1,1403
140,140,1,1492
141,141,1,359
142,142,1,223
143,143,1,1198
144,144,1,0
145,145,1,33
146,146,1,30
147,147,1,5
148,148,1,45
149,149,1,891
150,150,1,77
151,151,1,245
152,152,1,26
153,153,1,184
154,154,1,619
155,155,1,43
156,156,1,789
157,157,1,13
158,158,1,60
159,159,1,104
160,160,1,0
161,161,1,6
162,162,1,19
163,163,1,164
164,164,1,75
165,165,1,490
166,166,1,34
167,167,1,5
168,168,1,565
169,169,1,189
170,170,1,324
171,171,1,31
172,172,1,23
173,173,1,51
174,174,1,27
175,175,1,2
176,176,1,64
177,177,1,209
178,178,1,12
179,179,1,46
180,180,1,54
181,181,1,120
182,182,1,61
183,183,1,112
184,1,2,0
185,2,2,0
186,3,2,0
187,4,2,0
188,5,2,0
189,6,2,0
190,7,2,0
191,8,2,0
192,9,2,0
193,10,2,0
194,11,2,0
195,12,2,0
196,13,2,0
197,14,2,0
198,15,2,3
199,16,2,0
200,17,2,437
201,18,2,0
202,19,2,0
203,20,2,0
204,21,2,0
205,22,2,0
206,23,2,0
207,24,2,0
208,25,2,0
209,26,2,0
210,27,2,0
211,28,2,0
212,29,2,0
213,30,2,0
214,31,2,62
215,32,2,0
216,33,2,10
217,34,2,0
218,35,2,4
219,36,2,0
220,37,2,0
221,38,2,0
222,39,2,177
223,40,2,0
224,41,2,0
225,42,2,0
226,43,2,0
227,44,2,28
228,45,2,0
229,46,2,65
230,47,2,0
231,48,2,0
232,49,2,0
233,50,2,0
234,51,2,0
235,52,2,403
236,53,2,27
237,54,2,0
238,55,2,0
239,56,2,0
240,57,2,0
241,58,2,0
242,59,2,0
243,60,2,6
244,61,2,0
245,62,2,78
246,63,2,0
247,64,2,0
248,65,2,26
249,66,2,0
250,67,2,316
251,68,2,0
252,69,2,0
253,70,2,0
254,71,2,0
255,72,2,0
256,73,2,0
257,74,2,116
258,75,2,0
259,76,2,0
260,77,2,0
261,78,2,0
262,79,2,0
263,80,2,0
264,81,2,0
265,82,2,0
266,83,2,0
267,84,2,84
268,85,2,0
269,86,2,0
270,87,2,0
271,88,2,0
272,89,2,0
