"IdIPT_Modelos","NumMod","IdOrdenes","Ubicacion","IdEmpresas","IdIPT_Generos","IdEtiquetasM","IdIPT_TipoProd","IdIPT_TipoPiezas","MarcaImpresa","IdClientes"
1,"62132",3372,,7,2,42,1,1,0,75
2,"62069",2088,,7,2,57,1,1,0,80
3,"62027",2910,,7,2,57,1,1,0,80
4,"62011E",0,,7,2,57,1,1,0,80
5,"62012E",0,,7,2,57,1,1,0,80
6,"62013E",0,,7,2,57,1,1,0,80
7,"62540",3061,,7,2,61,1,1,0,101
8,"62129",3036,,7,2,61,1,1,0,101
9,"62015E",0,,7,2,39,1,1,0,28
10,"52002",1971,,7,2,39,5,1,0,98
11,"52001",1970,,7,2,39,5,1,0,98
12,"52003",1972,,7,2,39,5,1,0,98
13,"52025",2188,,7,2,57,5,1,0,80
14,"52147",0,,7,2,18,5,1,0,28
15,"52010E",0,,7,2,39,5,1,0,28
16,"52020E",0,,7,2,39,5,1,0,28
17,"52021E",0,,7,2,39,5,1,0,28
18,"52022E",0,,7,2,39,5,1,0,28
19,"52694",0,,7,2,18,5,1,0,56
20,"5051",1591,,7,2,39,5,1,0,56
21,"5006",1375,,7,2,39,5,1,0,56
22,"5024",1446,,7,2,39,5,1,0,56
23,"72406",1679,,7,2,39,19,1,0,34
24,"72107",2956,,7,2,59,19,1,0,105
25,"72845E",0,,7,2,57,19,1,0,80
26,"72987",2788,,7,2,61,19,1,0,101
27,"72664",1887,,7,2,39,19,1,0,97
28,"72010E",0,,7,2,39,22,1,0,97
29,"72011E",0,,7,2,39,22,1,0,97
30,"72012E",0,,7,2,51,22,1,0,90
31,"72013E",0,,7,2,57,19,1,0,80
32,"22010E",0,,7,2,42,17,1,0,75
33,"32061",1934,,7,2,65,11,1,0,94
34,"22213",2610,,7,2,42,17,1,0,75
35,"42010E",0,,7,2,39,20,1,0,97
36,"82988",2785,,7,2,57,12,1,0,80
37,"61026",2395,,7,1,57,1,1,0,80
38,"61413",3202,,7,1,57,1,1,0,80
39,"61010E",0,,7,1,57,1,1,0,80
40,"81010E",0,,7,1,57,12,1,0,80
41,"81095",3197,,7,1,57,3,1,0,80
42,"81037",3266,,7,1,57,3,1,0,80
43,"81038",3267,,7,1,57,3,1,0,80
44,"71010E",0,,7,1,51,22,1,0,90
45,"31042",3247,,7,1,57,4,1,0,80
46,"31010E",0,,7,1,57,4,1,0,80
47,"31047",3313,,7,1,57,4,1,0,80
48,"51012E",0,,7,1,31,5,1,0,56
49,"51007",0,,7,1,31,5,1,0,56
50,"51191",3373,,7,1,42,5,1,0,75
51,"51194",3580,,7,1,42,5,1,0,75
52,"51010E",0,,7,1,34,5,1,0,28
53,"64010E",0,,7,3,57,1,1,0,80
54,"64021",3184,,7,3,57,1,1,0,80
55,"64022",3185,,7,3,57,1,1,0,80
56,"64214",2322,,7,6,36,1,1,0,101
57,"84030",2246,,7,6,57,12,1,0,80
58,"84080",2397,,7,3,57,1,1,0,80
59,"84025",3186,,7,3,57,3,1,0,80
60,"84032",2248,,7,3,57,12,1,0,80
