"IdIPT_Movs","Fecha","Referencia","IdIPT_TipoMov","EnSa","IdMaquileros","ObsMovs","IdIPT_Almacenes","IdUsuarios","TieneModelos","IdRecibos"
1,28/07/2020 00:00:00,"Inv Inicial",1,1,0,"Inventario Inicial",1,1,1,
2,28/07/2020 00:00:00,"Inv Inicial",1,1,0,"Inventario Inicial",2,1,1,
63,12/08/2020 00:00:00,,1,1,0,,1,71,1,0
64,12/08/2020 00:00:00,,1,1,0,,1,71,1,0
65,12/08/2020 00:00:00,,1,1,0,,2,71,1,0
66,08/07/2020 00:00:00,,2,1,251,,1,71,1,8255
67,08/07/2020 00:00:00,,2,1,251,,2,71,1,8257
68,08/07/2020 00:00:00,,2,1,251,,2,71,1,8257
69,18/08/2020 00:00:00,,2,1,16,,1,71,1,8260
70,19/08/2020 00:00:00,,2,1,16,,1,71,1,8262
71,21/08/2020 00:00:00,,2,1,16,,1,71,1,8266
72,18/08/2020 00:00:00,,2,1,16,,2,71,1,8261
73,19/08/2020 00:00:00,,2,1,16,,2,71,1,8263
74,19/08/2020 00:00:00,,2,1,16,,2,71,1,8263
75,24/08/2020 00:00:00,,2,1,251,,1,71,1,0
76,24/08/2020 00:00:00,,2,1,251,,2,71,1,0
77,24/08/2020 00:00:00,,2,1,226,,1,71,1,0
78,24/08/2020 00:00:00,,2,1,16,,1,71,1,8267
79,24/08/2020 00:00:00,,2,1,16,,2,71,1,8268
80,26/08/2020 00:00:00,,13,2,0,,1,71,1,0
81,27/08/2020 00:00:00,,2,1,16,,1,71,1,8273
82,27/08/2020 00:00:00,,2,1,16,,2,71,1,8274
83,24/08/2020 00:00:00,,2,1,16,,2,71,1,8268
84,19/08/2020 00:00:00,,2,1,16,,2,71,1,8263
85,19/08/2020 00:00:00,,2,1,16,,2,71,1,8263
86,27/08/2020 00:00:00,,11,2,0,,2,71,1,0
87,09/01/2020 00:00:00,,2,1,158,,1,71,1,8296
89,02/09/2020 00:00:00,,1,1,0,,1,71,1,0
90,02/09/2020 00:00:00,,13,2,0,,1,71,1,0
91,09/01/2020 00:00:00,,2,1,158,,1,71,1,8296
92,09/04/2020 00:00:00,,2,1,404,,1,71,1,8304
