"IdIPT_TiposMov","TipoMov","TipoEnSa"
1,"Inventario Inicial",1
2,"Entrada de Maquila",1
3,"Entrada de Aplicaci¢n",1
4,"Devolucion / Notas de Credito",1
5,"Entrega a Cliente",2
6,"Salida a Aplicaci¢n",2
7,"Muestrario Ventas",2
8,"Salida a Maquilero",2
9,"Transferencia entre almacenes",3
10,"Recibo de Muestrario",1
11,"Error de Entrada",2
12,"Error de Salida",1
13,"Venta de Mostrador",2
14,"Ajuste de Inventario (Entrada)",1
15,"Ajuste de Inventario (Salida)",2
16,"Salida a Laboratorio",2
17,"Salida a Composturas",2
18,"Otras Salidas",2
19,"Otras Entradas",1
