"IdIP_Actividades","Actividad","PorcentajeD"
1,"Atenci¢n Maquilero",0.05
2,"Autorizaci¢n Est.",0.01
3,"Bords",0.10
4,"Corte",0.07
5,"Corte de Moldes",2.777778e-03
6,"Digitalizaci¢n",0.05
7,"Dise¤o",0.12
8,"F. Tecnica",8.0e-03
9,"Graduar",0.10
10,"Imagen Control",7.4074e-03
11,"Logotipos",0.10
12,"Muestra",0.33
13,"P. Modelo",6.2e-03
14,"P.Estampado",0.02
15,"Planchado Muestrario",5.555556e-03
16,"Prep. Muestrario",0.11
17,"Revisi¢n Graduaci¢n",0.22
18,"Tomar Medidas",0.01
19,"Transform.",0.20
20,"Trazo P",0.14
21,"Trazo ploter",0.02
22,"Trazo V",0.07
23,"1 Etiqueta",2.0e-03
24,"2 Etiquetas",2.5e-03
25,"3 Etiquetas",3.3e-03
