"IdIP_InfConf","IdUsuarios","FechaRevision","IdOrdenes","InfGeneral","InfTela","InfHab","Medidas","Dibujo","Observ","InfEtiqueta","EspCostura","MedidasPrendas"
1,25,06/11/2008 00:00:00,720,1,1,0,0,1,0,1,1,0
2,25,06/11/2008 00:00:00,656,1,1,0,0,1,0,1,0,0
3,25,06/11/2008 00:00:00,659,1,1,0,0,1,0,1,0,0
4,25,07/11/2008 00:00:00,722,1,1,0,0,1,0,1,0,0
5,25,07/11/2008 00:00:00,749,1,0,0,0,1,0,0,0,0
6,25,07/11/2008 00:00:00,751,1,0,0,0,1,0,0,0,0
7,25,07/11/2008 00:00:00,704,1,0,0,0,1,1,0,0,0
8,25,07/11/2008 00:00:00,653,0,1,1,0,1,1,1,1,0
9,25,07/11/2008 00:00:00,650,0,1,1,0,1,1,1,1,0
10,25,10/11/2008 00:00:00,824,1,0,0,1,1,0,0,0,0
11,25,10/11/2008 00:00:00,825,1,0,0,1,1,0,0,0,0
12,25,10/11/2008 00:00:00,826,1,0,0,1,0,0,0,0,0
13,25,11/11/2008 00:00:00,753,1,1,1,1,1,0,0,0,0
14,25,11/11/2008 00:00:00,755,1,1,1,0,1,0,0,0,0
15,25,13/11/2008 00:00:00,718,1,1,1,1,1,1,0,0,0
16,25,13/11/2008 00:00:00,813,1,1,0,0,0,0,0,0,0
17,25,18/11/2008 00:00:00,820,1,1,1,1,1,1,0,1,0
18,25,18/11/2008 00:00:00,719,1,1,1,1,1,1,0,1,0
19,25,19/11/2008 00:00:00,822,1,1,1,1,1,0,0,0,1
20,25,19/11/2008 00:00:00,818,1,1,1,1,1,1,0,1,1
21,25,21/11/2008 00:00:00,819,1,1,1,1,1,1,1,1,1
22,25,21/11/2008 00:00:00,832,1,1,1,1,1,1,1,1,1
23,25,25/11/2008 00:00:00,831,1,1,1,1,1,0,0,1,1
24,25,29/10/2008 00:00:00,752,0,0,0,0,1,0,0,0,0
25,25,29/10/2008 00:00:00,754,0,0,0,0,1,0,0,0,0
26,25,29/10/2008 00:00:00,756,0,0,0,0,1,0,0,0,0
27,25,29/10/2008 00:00:00,828,1,0,0,0,1,0,0,0,0
28,25,05/11/2008 00:00:00,827,1,0,0,0,1,0,0,0,0
29,25,05/11/2008 00:00:00,702,0,0,0,0,1,0,0,0,0
30,25,05/11/2008 00:00:00,757,0,0,0,1,0,0,1,1,0
33,25,27/11/2008 00:00:00,830,1,1,1,1,1,0,1,0,0
34,31,27/11/2008 00:00:00,750,1,0,0,1,1,0,1,1,0
35,31,28/11/2008 00:00:00,783,1,1,1,1,1,0,1,0,0
37,31,01/12/2008 00:00:00,836,1,1,1,1,1,1,1,1,1
38,31,01/12/2008 00:00:00,829,1,1,0,0,1,0,1,1,1
39,31,28/11/2008 00:00:00,765,1,1,0,0,1,0,1,1,0
40,31,08/12/2008 00:00:00,838,1,1,1,1,1,0,1,1,1
41,31,08/12/2008 00:00:00,837,1,1,1,1,1,1,1,1,1
42,31,08/12/2008 00:00:00,835,1,1,0,1,1,1,1,1,0
43,31,08/12/2008 00:00:00,833,1,1,1,1,1,1,1,1,1
44,31,08/12/2008 00:00:00,821,1,1,1,1,1,1,1,1,1
45,31,10/12/2008 00:00:00,841,1,1,1,1,1,1,1,1,1
46,31,10/12/2008 00:00:00,842,1,1,1,1,1,1,1,1,0
47,31,12/12/2008 00:00:00,840,1,1,1,1,1,1,1,1,1
48,31,12/12/2008 00:00:00,839,1,1,1,1,1,1,1,1,1
49,31,12/12/2008 00:00:00,843,1,1,1,1,1,1,1,1,1
50,31,28/01/2009 00:00:00,851,1,1,1,1,1,1,1,1,1
51,31,28/01/2009 00:00:00,849,1,1,1,1,1,1,1,1,1
52,31,28/01/2009 00:00:00,852,0,1,1,1,1,1,1,0,1
53,31,28/01/2009 00:00:00,848,1,1,1,1,0,0,1,1,1
54,31,28/01/2009 00:00:00,850,1,1,1,1,0,0,1,1,0
56,31,06/02/2009 00:00:00,855,1,1,1,0,1,0,1,1,1
57,31,09/02/2009 00:00:00,845,1,1,1,0,1,0,1,1,1
58,31,17/02/2009 00:00:00,856,1,1,0,1,1,0,1,1,1
59,31,24/02/2009 00:00:00,861,1,1,0,0,0,0,1,1,1
60,31,24/02/2009 00:00:00,862,1,1,0,0,1,0,1,0,0
61,31,18/03/2009 00:00:00,859,1,1,0,1,1,0,1,0,1
62,31,06/04/2009 00:00:00,864,1,1,1,1,1,1,1,1,1
63,31,17/04/2009 00:00:00,865,1,1,1,1,1,0,1,1,0
64,31,17/04/2009 00:00:00,867,1,1,1,1,1,0,1,1,0
65,31,17/04/2009 00:00:00,868,1,1,1,1,1,1,1,1,1
66,31,17/04/2009 00:00:00,866,1,1,1,1,1,1,1,1,1
67,31,28/04/2009 00:00:00,869,1,1,1,1,1,0,1,1,1
