"IdIP_MuesPend","Cliente","Categoria","Temporada","CantBoards","CantMuestras","FechaSolicitado","FechaRequerida","FechaEntregado","BoardsOK","MuestrasOK","IdUsuarioSolicitante","Cancelado"
1,"Varios","Ni¤os","Primavera Verano",5,10,09/12/2008 13:25:51,10/11/2008 00:00:00,17/02/2009 00:00:00,1,1,27,0
2,"Varios","Ni¤as","Primavera Verano",5,10,09/12/2008 13:27:40,10/11/2008 00:00:00,17/02/2009 00:00:00,1,1,27,0
3,"Varios","Bebes","Primavera Verano",5,10,09/12/2008 13:28:23,10/11/2008 00:00:00,17/02/2009 00:00:00,1,1,27,0
4,"Sams","Dama","Primavera Verano",8,8,16/12/2008 11:59:26,15/01/2009 00:00:00,22/01/2009 00:00:00,1,1,27,0
5,"Sams","Caballero","Primavera Verano",8,8,16/12/2008 12:04:01,15/01/2009 00:00:00,22/01/2009 00:00:00,1,1,27,0
6,"Liverpool","Dama","Oto¤o/Invierno",10,10,16/12/2008 12:04:56,15/02/2009 00:00:00,24/03/2009 00:00:00,1,1,27,0
7,"Liverpool","Caballero","Oto¤o/Invierno",10,10,16/12/2008 12:05:52,15/02/2009 00:00:00,24/03/2009 00:00:00,1,1,27,0
8,"Walmart","Caballero","Oto¤o/Invierno",24,0,16/12/2008 12:06:53,30/01/2009 00:00:00,03/02/2009 00:00:00,1,0,27,0
9,"Walmart","Dama","Oto¤o/Invierno",24,0,16/12/2008 12:08:12,30/01/2009 00:00:00,03/02/2009 00:00:00,1,0,27,0
10,"New Balance","Caballero","Oto¤o/Invierno",4,4,15/01/2009 13:47:17,13/01/2009 00:00:00,23/01/2009 00:00:00,1,1,12,0
11,"CHMD","Ni¤os","Oto¤o/Invierno",5,5,26/01/2009 12:25:57,03/02/2009 00:00:00,03/02/2009 00:00:00,1,1,1,0
12,"Milano","Caballero","Primavera Verano",20,0,06/02/2009 16:42:47,11/02/2009 00:00:00,11/02/2009 00:00:00,0,1,12,0
13,"CHMD","Ni¤os","Oto¤o/Invierno",0,12,09/02/2009 12:37:51,15/02/2009 00:00:00,18/02/2009 00:00:00,1,1,2,0
14,"Soriana","Caballero","Oto¤o/Invierno",30,30,23/03/2009 15:20:14,23/03/2009 00:00:00,23/03/2009 00:00:00,1,1,12,0
15,"coppel","Caballero","Oto¤o/Invierno",40,40,01/04/2009 13:01:22,09/04/2020 00:00:00,11/05/2009 00:00:00,1,1,3,0
16,"Walmart","Caballero","Oto¤o/Invierno",30,20,03/04/2009 12:47:49,16/04/2009 00:00:00,15/04/2009 00:00:00,1,1,11,0
17,"Walmart","Dama","Oto¤o/Invierno",20,10,03/04/2009 12:48:43,15/04/2009 00:00:00,15/04/2009 00:00:00,1,1,11,0
18,"Pavio","Caballero","Oto¤o/Invierno",0,13,27/05/2009 16:46:06,29/05/2009 00:00:00,29/05/2009 00:00:00,0,1,12,0
19,"Pavio","Dama","Oto¤o/Invierno",0,3,27/05/2009 16:47:44,28/05/2009 00:00:00,29/05/2009 00:00:00,0,1,12,0
20,"PEMEX","Caballero","Oto¤o/Invierno",0,8,10/06/2009 12:35:47,11/06/2009 00:00:00,11/06/2009 00:00:00,1,1,12,0
21,"coppel","Caballero","Primavera Verano",20,10,24/11/2022 14:35:01,15/12/2022 00:00:00,,0,0,90,0
