"IdIP_Productiv","Fecha","IdIp_Personal","IdIp_Actividades","CantidadAct","HorasTrabajadas"
392,04/02/2009 00:00:00,4,19,3,9
393,05/02/2009 00:00:00,1,12,3,9
394,05/02/2009 00:00:00,6,3,5,9
395,05/02/2009 00:00:00,6,8,6,9
396,05/02/2009 00:00:00,6,10,6,9
397,05/02/2009 00:00:00,5,5,10,9
398,05/02/2009 00:00:00,5,17,2,9
399,05/02/2009 00:00:00,5,19,3,9
400,05/02/2009 00:00:00,4,6,9,9
401,05/02/2009 00:00:00,4,8,2,9
402,05/02/2009 00:00:00,4,18,1,9
403,05/02/2009 00:00:00,4,19,3,9
404,05/02/2009 00:00:00,3,4,12,9
405,06/02/2009 00:00:00,6,2,9,9
406,06/02/2009 00:00:00,6,3,8,9
407,06/02/2009 00:00:00,6,7,2,9
408,06/02/2009 00:00:00,1,12,3,9
409,06/02/2009 00:00:00,4,4,2,9
410,06/02/2009 00:00:00,4,8,2,9
411,06/02/2009 00:00:00,4,13,4,9
412,06/02/2009 00:00:00,4,18,2,9
413,06/02/2009 00:00:00,4,19,2,9
414,06/02/2009 00:00:00,4,1,2,9
415,06/02/2009 00:00:00,3,4,11,9
416,06/02/2009 00:00:00,5,4,2,9
417,06/02/2009 00:00:00,5,5,6,9
418,06/02/2009 00:00:00,5,9,3,9
419,06/02/2009 00:00:00,5,19,1,9
420,09/02/2009 00:00:00,1,12,3,9
421,09/02/2009 00:00:00,3,4,9,9
422,09/02/2009 00:00:00,3,15,8,9
423,09/02/2009 00:00:00,5,5,6,9
424,09/02/2009 00:00:00,5,9,2,9
425,09/02/2009 00:00:00,5,17,1,9
426,09/02/2009 00:00:00,5,19,3,9
427,09/02/2009 00:00:00,6,3,10,9
428,09/02/2009 00:00:00,6,7,4,9
429,09/02/2009 00:00:00,4,8,3,9
430,09/02/2009 00:00:00,4,18,5,9
431,09/02/2009 00:00:00,4,19,4,9
432,10/02/2009 00:00:00,1,12,3,9
433,10/02/2009 00:00:00,3,12,3,9
434,10/02/2009 00:00:00,5,4,3,9
435,10/02/2009 00:00:00,5,9,2,9
436,10/02/2009 00:00:00,5,19,3,9
437,10/02/2009 00:00:00,6,3,10,9
438,10/02/2009 00:00:00,6,7,4,9
439,10/02/2009 00:00:00,6,8,16,9
440,10/02/2009 00:00:00,4,1,2,9
441,10/02/2009 00:00:00,4,4,2,9
442,10/02/2009 00:00:00,4,18,4,9
443,10/02/2009 00:00:00,4,19,4,9
444,11/02/2009 00:00:00,1,12,3,9
445,11/02/2009 00:00:00,3,12,3,9
446,11/02/2009 00:00:00,3,15,4,9
447,11/02/2009 00:00:00,5,4,14,9
448,11/02/2009 00:00:00,4,8,1,9
449,11/02/2009 00:00:00,4,18,1,9
450,11/02/2009 00:00:00,4,19,5,9
451,11/02/2009 00:00:00,6,2,1,9
452,11/02/2009 00:00:00,6,7,7,9
453,11/02/2009 00:00:00,6,8,2,9
455,11/02/2009 00:00:00,1,12,3,9
456,11/02/2009 00:00:00,3,12,3,9
457,11/02/2009 00:00:00,3,15,4,9
458,11/02/2009 00:00:00,5,4,14,9
459,11/02/2009 00:00:00,4,8,1,9
460,11/02/2009 00:00:00,4,18,1,9
461,11/02/2009 00:00:00,4,19,5,9
462,11/02/2009 00:00:00,6,2,1,9
463,11/02/2009 00:00:00,6,7,7,9
464,11/02/2009 00:00:00,6,8,2,9
465,12/02/2009 00:00:00,1,12,3,9
466,12/02/2009 00:00:00,4,1,1,9
467,12/02/2009 00:00:00,4,19,5,9
468,12/02/2009 00:00:00,6,3,7,9
469,12/02/2009 00:00:00,6,5,42,9
470,12/02/2009 00:00:00,6,7,2,9
1,26/11/2008 00:00:00,1,0,0,0
2,26/11/2008 00:00:00,2,0,0,0
3,26/11/2008 00:00:00,3,0,0,0
4,26/11/2008 00:00:00,4,0,0,0
5,26/11/2008 00:00:00,5,0,0,0
6,26/11/2008 00:00:00,6,0,0,0
7,26/11/2008 00:00:00,1,12,2,9
8,26/11/2008 00:00:00,2,12,1,8
9,26/11/2008 00:00:00,2,15,10,8
10,26/11/2008 00:00:00,1,15,16,9
11,26/11/2008 00:00:00,3,16,12,9
12,26/11/2008 00:00:00,3,4,4,9
13,26/11/2008 00:00:00,6,3,14,9
14,26/11/2008 00:00:00,6,11,2,9
15,26/11/2008 00:00:00,5,7,8,9
16,26/11/2008 00:00:00,5,9,2,9
17,26/11/2008 00:00:00,4,8,1,9
18,26/11/2008 00:00:00,4,16,12,9
19,26/11/2008 00:00:00,4,18,5,9
20,26/11/2008 00:00:00,4,21,1,9
21,27/11/2008 00:00:00,1,12,2,9
22,27/11/2008 00:00:00,5,6,1,9
23,27/11/2008 00:00:00,5,7,2,9
24,27/11/2008 00:00:00,4,7,8,9
25,27/11/2008 00:00:00,4,21,2,9
26,27/11/2008 00:00:00,4,19,1,9
27,27/11/2008 00:00:00,5,19,1,9
28,27/11/2008 00:00:00,2,5,15,9
29,27/11/2008 00:00:00,3,12,2,9
30,27/11/2008 00:00:00,2,12,2,9
31,27/11/2008 00:00:00,6,3,4,9
32,27/11/2008 00:00:00,6,8,3,9
33,28/11/2008 00:00:00,2,5,23,9
34,28/11/2008 00:00:00,2,12,2,9
35,28/11/2008 00:00:00,3,12,1,9
36,28/11/2008 00:00:00,3,4,3,9
37,28/11/2008 00:00:00,1,12,3,9
38,28/11/2008 00:00:00,4,7,6,9
39,28/11/2008 00:00:00,4,13,4,9
40,28/11/2008 00:00:00,4,18,3,9
41,28/11/2008 00:00:00,4,1,3,9
42,28/11/2008 00:00:00,6,2,1,9
43,28/11/2008 00:00:00,6,3,4,9
44,28/11/2008 00:00:00,5,9,4,9
45,28/11/2008 00:00:00,5,7,1,9
46,28/11/2008 00:00:00,5,19,1,9
47,01/12/2008 00:00:00,2,12,3,9
48,01/12/2008 00:00:00,3,4,5,9
49,01/12/2008 00:00:00,3,5,10,9
50,01/12/2008 00:00:00,1,12,3,9
51,01/12/2008 00:00:00,4,1,1,9
52,01/12/2008 00:00:00,4,18,1,9
53,01/12/2008 00:00:00,4,19,2,9
54,01/12/2008 00:00:00,4,21,1,9
55,01/12/2008 00:00:00,4,13,2,9
56,01/12/2008 00:00:00,6,3,9,9
57,01/12/2008 00:00:00,6,11,3,9
58,02/12/2008 00:00:00,2,12,3,9
59,02/12/2008 00:00:00,1,12,3,9
60,02/12/2008 00:00:00,3,4,8,9
61,02/12/2008 00:00:00,5,19,5,9
62,02/12/2008 00:00:00,6,2,2,9
63,02/12/2008 00:00:00,6,3,3,9
64,02/12/2008 00:00:00,6,8,7,9
65,02/12/2008 00:00:00,6,11,1,9
66,02/12/2008 00:00:00,6,14,13,9
67,02/12/2008 00:00:00,4,8,1,9
68,02/12/2008 00:00:00,4,18,3,9
69,02/12/2008 00:00:00,4,19,3,9
70,03/12/2008 00:00:00,2,12,1,9
71,03/12/2008 00:00:00,1,12,2,9
72,03/12/2008 00:00:00,3,4,3,9
73,03/12/2008 00:00:00,5,4,2,9
74,03/12/2008 00:00:00,5,9,1,9
75,03/12/2008 00:00:00,5,19,2,9
76,03/12/2008 00:00:00,6,3,6,9
77,03/12/2008 00:00:00,4,1,1,9
78,03/12/2008 00:00:00,4,4,4,9
79,03/12/2008 00:00:00,4,8,1,9
80,03/12/2008 00:00:00,4,18,1,9
81,03/12/2008 00:00:00,4,19,2,9
82,04/12/2008 00:00:00,2,12,3,9
83,04/12/2008 00:00:00,1,12,3,9
84,04/12/2008 00:00:00,3,12,3,9
85,04/12/2008 00:00:00,5,4,2,9
86,04/12/2008 00:00:00,5,6,2,9
87,04/12/2008 00:00:00,5,19,1,9
88,04/12/2008 00:00:00,5,19,1,9
89,04/12/2008 00:00:00,4,1,1,9
90,04/12/2008 00:00:00,4,4,4,9
91,04/12/2008 00:00:00,4,8,1,9
92,04/12/2008 00:00:00,4,18,1,9
93,04/12/2008 00:00:00,4,19,1,9
94,04/12/2008 00:00:00,6,3,9,9
95,04/12/2008 00:00:00,6,10,5,9
96,05/12/2008 00:00:00,1,12,2,9
97,05/12/2008 00:00:00,5,4,1,9
98,05/12/2008 00:00:00,5,9,2,9
99,05/12/2008 00:00:00,4,4,1,9
100,05/12/2008 00:00:00,4,4,1,9
101,05/12/2008 00:00:00,4,9,2,9
102,05/12/2008 00:00:00,4,16,1,9
103,05/12/2008 00:00:00,4,22,2,9
104,05/12/2008 00:00:00,4,21,1,9
105,05/12/2008 00:00:00,6,3,8,9
106,05/12/2008 00:00:00,6,14,10,9
107,09/12/2008 00:00:00,2,12,4,9
108,09/12/2008 00:00:00,1,12,3,9
109,09/12/2008 00:00:00,5,1,2,9
110,09/12/2008 00:00:00,5,4,6,9
111,09/12/2008 00:00:00,4,4,5,9
112,09/12/2008 00:00:00,4,20,2,9
113,09/12/2008 00:00:00,4,1,1,9
114,09/12/2008 00:00:00,5,19,1,9
115,09/12/2008 00:00:00,4,18,1,9
116,09/12/2008 00:00:00,6,3,10,9
117,09/12/2008 00:00:00,6,11,4,9
118,09/12/2008 00:00:00,3,12,1,9
119,09/12/2008 00:00:00,3,4,1,9
120,10/12/2008 00:00:00,1,12,4,9
121,10/12/2008 00:00:00,2,12,3,9
122,10/12/2008 00:00:00,5,4,1,9
123,10/12/2008 00:00:00,5,13,5,9
124,10/12/2008 00:00:00,5,19,1,9
125,10/12/2008 00:00:00,5,17,3,9
126,10/12/2008 00:00:00,5,1,3,9
127,10/12/2008 00:00:00,6,3,1,9
128,10/12/2008 00:00:00,6,11,6,9
129,10/12/2008 00:00:00,4,1,1,9
