"IdModelos","Modelo","Descripcion","Maquila","IdTemporadas","Foto1","Foto2","Activo"
1,"61714","playera cuello redondo",$0.00,0,"61714",,1
2,"51714","Playera cuello redondo",$0.00,0,"51714","51714-P",1
3,"51715","Tank Top",$0.00,0,"51715",,1
4,"71714","pantalon clasico",$0.00,0,"71714",,1
5,"31714","Short con vivos en costado",$0.00,0,"31714",,1
6,"61730","Playera cuello redondo",$0.00,0,"61730",,1
7,"51730","Tank Top",$0.00,0,"51730",,1
8,"71740","Pantalon clasico con vivo en costado",$0.00,0,"71740",,1
9,"51740","Tank Top",$0.00,0,"51740",,1
10,"51731","Playera cuello redondo",$0.00,0,"51731",,1
11,"31740","Short con pretina cardigan",$0.00,0,"31740",,1
12,"31730","Short con vivo al costado",$0.00,0,"31730",,1
13,"61740","Playera cuello redondo",$0.00,0,"61740",,1
14,"51741","Playera cuello redondo",$0.00,0,"51741",,1
15,"71730","Pantalon clasico",$0.00,0,"71730",,1
16,"81770","chamarra con capucha",$0.00,0,"81770",,1
17,"51771","playera cuello redondo",$0.00,0,"51771",,1
18,"71770","pantalon clasico",$0.00,0,"71770",,1
19,"31770","short clasico",$0.00,0,"31770",,1
20,"51770","Tank top",$0.00,0,"51770",,1
21,"81808","Chamarra con cuello",$0.00,0,"81808",,1
22,"61807",,$0.00,0,"61806",,1
23,"71807","Pantalon clasico",$0.00,0,"71807",,1
24,"31807","Short clasico",$0.00,0,"31807",,1
25,"31803","Short clasico",$0.00,0,"31803",,1
26,"71803","Pantalon clasico",$0.00,0,"71803",,1
27,"81801","Chamarra con cuello",$0.00,0,"81801",,1
28,"81803","Chamarra manga rangla",$0.00,0,"81803",,1
29,"71109","pantalon con jareta integrada",$0.00,0,"71109",,1
30,"81109","chamarra con capucha",$0.00,0,"81109",,1
31,"61110","Sudadera camisola cuello redondo",$0.00,0,"61110",,1
32,"71110",,$0.00,0,"71110",,1
33,"61103",,$0.00,0,"61103",,1
34,"51101",,$0.00,0,"51101 D","51101 T",1
35,"51305",,$0.00,0,"51102 D","51102 T",1
36,"82101",,$0.00,0,"82101",,1
37,"6",,$0.00,0,"6",,1
38,"54005",,$0.00,0,"54005",,1
39,"54006",,$0.00,0,"54006",,1
40,"54007","playera de cuello redondo",$0.00,0,"54007",,1
41,"64002",,$0.00,0,"64002",,1
42,"84002",,$0.00,0,"84002",,1
43,"74002",,$0.00,0,"74002",,1
44,"54001","Playera cuello redondo",$0.00,0,"54001",,1
45,"64901","Sudadera medio cierre",$0.00,0,"64901",,1
46,"74900","Pantalon con vivos en costado",$0.00,0,"74900",,1
47,"74980","Pantalon con franja en costado",$0.00,0,"74980",,1
48,"84980","Chamarra con cortes en manga",$0.00,0,"84980",,1
49,"34980","Short con franja en costado",$0.00,0,"34980",,1
50,"54980","Playera ni¤o cuello redondo",$0.00,0,"54980",,1
51,"M-18",,$0.00,0,"M-18",,1
52,"M-19",,$0.00,0,"M-19",,1
53,"M-20",,$0.00,0,"M-20",,1
54,"M-21",,$0.00,0,"M-21",,1
55,"M-22",,$0.00,0,"M-22",,1
56,"M-23",,$0.00,0,"M-23",,1
58,"61040","Sudadera medio cierre",$0.00,0,"61040",,1
59,"71040","Pantalon clasico",$0.00,0,"71040",,1
60,"81050","Chamarra con capucha.",$0.00,0,"81050",,1
61,"61010","Sudadera medio cierre.",$0.00,0,"61010",,1
62,"71010","Pantalon clasico",$0.00,0,"71010",,1
63,"81030","Chamarra con cuello",$0.00,0,"81030",,1
64,"71030","Pantalon con pretina en cintura.",$0.00,0,"71030",,1
65,"61060","Sudadera de polar medio cierre",$0.00,0,"61060",,1
66,"71020","Pantalon clasico.",$0.00,0,"71020",,1
67,"81020","Chamarra con cuello.",$0.00,0,"81020",,1
68,"791",,$0.00,0,"791",,1
69,"790",,$0.00,0,"790",,1
70,"792",,$0.00,0,"792",,1
72,"793",,$0.00,0,"793",,1
73,"890",,$0.00,0,"890",,1
74,"891",,$0.00,0,"891",,1
75,"892",,$0.00,0,"892",,1
76,"893",,$0.00,0,"893",,1
77,"894",,$0.00,0,"894",,1
78,"895",,$0.00,0,"895",,1
79,"896",,$0.00,0,"896",,1
80,"897",,$0.00,0,"897",,1
81,"898",,$0.00,0,"898",,1
82,"993",,$0.00,0,"993",,1
