"IdModelosBor","IdModelos","IdBordados"
1541,0,1883
2,1,2
1,2,1
5,4,6
23,5,3
7,6,15
8,7,12
20,8,11
10,9,7
9,10,13
6,11,9
4,12,4
19,13,10
11,14,7
21,15,16
22,16,25
27,17,26
25,18,28
24,19,29
26,20,27
1314,23,1556
272,29,288
276,30,287
76,31,76
160,40,157
12,44,24
13,45,19
14,46,17
15,47,23
16,48,22
17,49,22
18,50,21
48,58,50
47,60,49
45,61,47
46,63,48
49,67,51
28,86,30
31,87,33
30,88,32
29,89,31
32,90,34
39,91,41
33,92,35
38,93,40
34,94,36
35,95,37
40,96,42
36,97,72
37,98,39
42,99,44
43,100,45
41,101,43
44,102,46
55,107,64
52,108,65
50,109,60
51,110,61
56,111,57
71,112,71
58,113,53
59,114,62
61,114,69
62,115,63
65,118,55
66,119,59
64,120,58
60,121,66
63,123,68
54,124,67
68,125,52
69,127,54
67,129,56
82,130,86
84,131,88
81,132,85
83,133,87
70,135,70
95,138,73
96,139,74
125,140,73
88,146,92
86,147,90
87,147,91
89,148,93
85,149,89
90,150,94
91,151,95
92,151,96
93,152,97
97,154,98
98,155,99
99,156,100
100,157,101
75,158,80
78,158,81
73,159,75
74,160,77
80,161,83
79,162,82
101,163,84
77,164,79
114,167,104
113,168,103
102,172,78
275,173,286
103,174,102
107,175,102
106,176,102
104,177,102
105,178,102
108,179,102
111,180,102
112,181,102
109,182,102
110,183,102
115,184,105
123,185,106
116,186,107
117,187,108
124,188,112
118,189,109
119,190,110
120,191,111
121,193,113
122,194,114
131,195,119
132,196,120
134,197,121
135,198,122
126,199,115
127,200,116
128,200,128
129,201,117
130,202,118
142,203,123
143,203,161
144,204,124
145,206,125
146,207,126
147,208,127
169,211,130
170,212,131
171,213,132
172,214,133
176,215,134
173,216,135
174,217,136
139,220,142
140,221,140
141,223,139
149,224,144
150,225,145
151,226,146
152,227,143
163,228,149
164,229,148
165,230,147
137,231,151
136,232,150
138,233,152
153,234,156
154,235,154
155,236,155
166,237,158
167,238,159
156,239,153
162,240,170
161,241,169
157,242,160
159,243,164
158,244,165
168,245,171
177,246,173
178,247,172
199,248,166
200,250,167
179,251,174
180,252,175
182,253,177
181,254,176
183,255,178
184,256,179
187,257,182
185,258,180
188,259,183
186,260,181
189,264,184
190,264,185
198,265,186
196,265,191
193,266,199
235,267,238
209,268,209
214,269,213
212,270,212
210,271,210
211,272,211
217,275,221
216,276,220
218,277,222
219,278,223
221,282,216
220,283,215
222,284,217
215,285,219
223,286,211
201,287,200
202,288,201
203,289,202
204,295,203
205,296,207
208,296,208
206,297,206
207,298,204
191,299,224
225,299,225
194,300,188
224,300,231
229,301,229
228,302,228
236,304,239
237,305,240
238,307,242
239,307,243
240,308,241
274,310,285
268,311,284
242,312,251
244,313,253
245,314,254
246,316,255
247,317,245
248,317,246
249,318,247
250,319,248
251,320,250
252,321,249
296,322,361
297,323,358
294,324,302
293,325,301
292,326,300
291,327,335
290,328,298
289,329,333
288,330,274
287,331,295
286,332,330
284,334,292
283,335,291
282,336,305
226,338,226
227,338,227
241,339,244
230,341,233
231,341,234
232,342,235
233,344,236
234,344,237
261,346,265
260,347,264
259,348,263
257,349,261
301,350,391
303,351,365
299,352,365
304,354,373
315,355,387
314,356,386
313,357,385
312,358,384
311,359,389
305,362,382
285,363,293
255,365,257
254,366,257
253,367,256
267,370,272
266,371,271
265,372,270
264,375,267
263,376,266
273,377,379
309,377,380
277,378,319
281,379,318
280,380,346
279,381,280
278,383,314
271,384,313
310,385,381
270,386,277
269,388,276
262,389,275
321,392,395
322,396,396
316,403,122
319,404,393
323,405,397
324,405,398
320,406,394
318,407,392
328,410,399
329,411,400
330,412,401
331,413,402
332,414,403
333,415,404
334,416,405
335,417,406
336,418,407
337,419,408
325,420,395
326,421,396
345,424,442
344,425,441
343,426,438
342,427,437
341,428,440
340,429,439
339,430,432
338,431,409
346,437,390
347,438,448
348,438,452
350,440,451
358,441,461
362,442,477
363,442,478
351,443,464
354,444,446
352,446,444
364,448,479
365,451,480
367,452,482
368,453,483
369,454,484
370,455,485
371,456,486
372,457,487
373,457,488
374,458,489
375,458,490
376,459,491
377,460,493
378,461,494
379,461,495
383,462,499
384,463,500
385,464,502
360,465,473
355,466,455
356,467,455
359,468,470
366,469,481
386,470,503
380,473,496
381,474,497
382,475,498
387,476,402
393,476,509
388,477,402
389,478,402
395,480,399
394,480,511
397,481,399
396,481,509
399,482,401
398,482,509
405,483,401
401,484,399
400,484,509
403,485,586
402,485,1553
404,486,401
390,501,505
391,502,507
406,503,532
408,504,506
407,504,545
410,506,540
412,507,518
411,507,546
409,508,539
413,509,548
414,510,550
415,511,552
416,512,554
417,514,558
418,515,560
419,516,562
420,517,564
421,518,566
431,519,585
432,520,587
440,521,607
433,522,589
434,523,591
422,524,568
423,525,570
424,526,572
425,527,574
427,529,576
426,531,576
429,532,580
430,533,582
439,534,603
438,535,599
437,536,597
436,537,595
435,538,593
1100,544,1258
444,555,615
445,555,698
443,556,624
442,556,696
447,557,696
446,557,699
513,558,553
448,558,699
450,559,696
449,559,704
452,560,569
451,560,703
454,561,696
453,561,700
456,562,696
455,562,701
461,563,629
462,564,631
463,565,632
464,566,633
465,567,634
482,568,655
481,569,654
480,570,652
479,571,651
478,572,649
487,573,660
486,574,659
485,575,658
484,576,657
483,577,640
467,578,635
468,579,637
470,581,639
457,583,623
458,584,625
459,585,627
519,586,716
522,587,719
521,588,718
520,589,717
472,590,642
473,591,644
476,592,646
477,593,647
494,595,661
493,595,668
495,595,670
491,596,406
492,596,667
488,597,661
489,597,662
490,598,663
502,598,678
507,603,684
508,603,685
505,606,682
506,606,683
471,607,656
504,608,669
503,608,679
496,610,695
498,611,624
497,611,695
553,612,747
554,612,748
501,613,622
500,613,694
509,614,667
527,624,726
528,624,727
529,625,727
594,625,813
530,626,728
531,626,729
532,627,511
533,627,730
534,628,729
543,629,737
544,629,738
545,630,739
546,630,740
549,631,743
550,631,744
537,642,732
540,642,735
538,645,733
539,645,734
541,647,736
548,647,742
499,654,694
551,655,745
552,655,746
510,662,689
511,663,691
512,664,693
514,665,706
516,666,706
517,667,712
518,668,714
515,669,708
523,677,721
525,678,724
524,679,723
526,680,725
535,681,731
536,681,732
547,681,741
542,682,571
556,684,751
557,685,753
558,686,755
559,687,757
560,688,759
561,689,761
562,690,763
555,691,765
563,692,767
564,693,769
565,694,771
566,695,773
568,696,777
567,697,775
570,698,795
571,699,783
572,700,787
569,701,791
573,702,789
626,710,837
627,710,838
635,713,848
630,716,841
631,717,840
632,719,845
633,720,846
629,723,837
628,724,562
634,725,847
574,728,797
575,729,798
576,730,799
578,732,801
577,733,800
579,734,521
622,737,833
624,738,834
623,739,835
621,740,836
625,741,835
636,742,849
637,743,850
638,744,851
641,745,850
640,746,850
580,747,802
581,747,803
582,748,804
583,748,805
584,749,805
585,749,808
587,750,805
586,750,809
589,751,804
588,751,810
595,752,814
596,752,815
598,753,815
597,753,816
600,754,815
599,754,817
601,755,814
602,755,815
604,756,815
603,756,816
608,757,821
609,757,822
610,758,823
611,758,824
612,759,825
613,759,826
614,760,827
615,760,828
617,761,827
616,761,829
644,762,854
645,762,855
646,763,856
647,763,857
649,764,856
648,764,857
650,765,859
651,765,860
653,766,856
652,766,861
655,767,857
654,767,862
661,768,867
662,768,868
663,769,869
664,769,870
665,770,868
666,770,871
667,771,868
668,771,872
642,772,868
643,772,873
591,773,810
590,773,811
593,774,810
592,774,812
605,775,818
606,775,819
607,776,820
618,777,830
619,777,831
620,778,832
656,779,863
657,780,865
658,781,864
660,782,866
659,783,864
687,784,887
686,785,887
685,786,887
684,787,887
683,788,887
669,790,874
677,790,885
670,791,875
678,791,885
675,792,880
681,792,885
672,793,877
671,794,875
679,794,885
673,795,878
674,796,875
680,796,885
676,797,881
682,797,886
688,801,888
689,802,888
690,803,890
691,804,890
718,805,917
692,806,893
693,806,894
696,807,897
697,807,898
699,808,900
700,808,901
701,809,902
702,809,903
703,810,904
704,810,906
705,811,907
706,811,908
708,812,908
707,812,924
713,813,914
714,813,915
709,814,910
710,814,911
715,815,907
716,815,908
717,816,916
719,817,918
720,818,919
750,819,946
751,820,465
752,821,948
753,822,949
694,823,895
695,823,896
711,825,880
712,825,885
698,826,896
725,828,874
726,829,874
721,830,920
722,831,921
723,832,922
724,833,923
795,839,504
793,839,970
794,840,968
796,841,972
797,842,972
792,843,975
798,844,976
737,846,936
738,846,937
739,847,938
740,847,939
741,848,940
742,848,941
744,849,940
743,849,941
746,850,940
745,850,941
736,851,933
735,851,935
733,852,933
734,852,934
731,853,931
732,853,932
759,854,511
758,854,950
761,855,511
760,855,950
763,856,524
762,856,950
728,857,927
727,858,871
729,859,871
749,860,933
747,861,942
748,861,943
754,862,399
776,863,950
755,864,399
778,865,399
774,866,399
775,867,942
779,868,399
756,869,399
777,870,950
757,875,399
781,881,509
780,881,950
789,886,509
788,886,950
730,895,930
765,896,682
764,896,683
767,897,669
766,897,675
768,898,824
770,899,823
769,899,824
771,900,910
772,900,911
773,901,824
782,902,960
783,903,961
784,904,962
785,905,963
786,906,964
787,907,965
799,908,950
806,909,399
807,910,399
809,911,399
808,911,669
800,912,978
821,913,996
822,914,997
823,915,998
824,915,999
801,916,399
839,917,596
838,917,1009
837,918,900
836,918,980
835,919,823
834,919,824
802,920,980
851,921,675
852,921,686
853,922,675
854,922,676
849,923,804
850,923,1015
803,928,981
804,929,399
805,929,672
811,930,669
810,930,804
819,931,994
820,931,995
825,932,1000
