"IdModelosHab","IdModelos","IdHabilitacion","CantHab","bPreCosto","bProduccion","bCosto"
6,1,1,1.00,1,1,1
7,1,2,1.00,1,1,1
10,1,5,1.00,1,1,1
578,1,12,1.00,1,1,1
8,1,61,1.00,1,1,1
9,1,62,1.00,1,1,1
1,2,1,1.00,1,1,1
2,2,2,1.00,1,1,1
5,2,5,1.00,1,1,1
581,2,12,1.00,1,1,1
3,2,61,1.00,1,1,1
4,2,62,1.00,1,1,1
35,3,1,1.00,1,1,1
36,3,2,1.00,1,1,1
579,3,5,1.00,1,1,1
580,3,12,1.00,1,1,1
37,3,61,1.00,1,1,1
38,3,62,1.00,1,1,1
11,4,1,1.00,1,1,1
12,4,2,1.00,1,1,1
16,4,7,1.00,1,1,1
582,4,12,1.00,1,1,1
15,4,13,0.76,1,1,1
13,4,61,1.00,1,1,1
14,4,62,1.00,1,1,1
17,5,1,1.00,1,1,1
18,5,2,1.00,1,1,1
21,5,7,1.00,1,1,1
583,5,12,1.00,1,1,1
22,5,13,0.76,1,1,1
19,5,61,1.00,1,1,1
20,5,62,1.00,1,1,1
95,6,1,1.00,1,1,1
96,6,2,1.00,1,1,1
121,6,5,1.00,1,1,1
122,6,12,1.00,1,1,1
98,6,61,1.00,1,1,1
97,6,62,1.00,1,1,1
39,7,1,1.00,1,1,1
40,7,2,1.00,1,1,1
125,7,5,1.00,1,1,1
126,7,12,1.00,1,1,1
42,7,61,1.00,1,1,1
41,7,62,1.00,1,1,1
63,8,1,1.00,1,1,1
64,8,2,1.00,1,1,1
119,8,7,1.00,1,1,1
120,8,12,1.00,1,1,1
118,8,13,0.76,1,1,1
66,8,61,1.00,1,1,1
65,8,62,1.00,1,1,1
47,9,1,1.00,1,1,1
48,9,2,1.00,1,1,1
131,9,5,1.00,1,1,1
132,9,12,1.00,1,1,1
50,9,61,1.00,1,1,1
49,9,62,1.00,1,1,1
43,10,1,1.00,1,1,1
44,10,2,1.00,1,1,1
127,10,5,1.00,1,1,1
128,10,12,1.00,1,1,1
46,10,61,1.00,1,1,1
45,10,62,1.00,1,1,1
23,11,1,1.00,1,1,1
24,11,2,1.00,1,1,1
28,11,7,1.00,1,1,1
114,11,12,1.00,1,1,1
27,11,16,0.76,1,1,1
113,11,17,1.70,1,1,1
26,11,61,1.00,1,1,1
25,11,62,1.00,1,1,1
29,12,1,1.00,1,1,1
30,12,2,1.00,1,1,1
33,12,7,1.00,1,1,1
112,12,12,1.00,1,1,1
34,12,16,0.75,1,1,1
111,12,17,1.70,1,1,1
32,12,61,1.00,1,1,1
31,12,62,1.00,1,1,1
59,13,1,1.00,1,1,1
60,13,2,1.00,1,1,1
123,13,5,1.00,1,1,1
124,13,12,1.00,1,1,1
62,13,61,1.00,1,1,1
61,13,62,1.00,1,1,1
51,14,1,1.00,1,1,1
52,14,2,1.00,1,1,1
