"IdModelosTela","IdModelos","IdTelasDis","CantTela","bPreCosto","bProduccion","bCosto"
3,1,8,0.25,1,1,1
2,2,8,0.30,1,1,1
4,4,7,0.30,1,1,1
6,5,7,0.30,1,1,1
10,6,8,0.30,1,1,1
12,7,8,0.20,1,1,1
9,8,7,0.30,1,1,1
14,9,8,0.20,1,1,1
13,10,8,0.30,1,1,1
5,11,7,0.30,1,1,1
7,12,7,0.30,1,1,1
11,13,8,0.30,1,1,1
15,14,8,0.30,1,1,1
8,15,7,0.50,1,1,1
23,16,3,0.50,1,1,1
25,17,5,0.28,1,1,1
26,18,3,0.48,1,1,1
27,19,3,0.30,1,1,1
24,20,5,0.20,1,1,1
282,29,2,0.40,1,1,1
284,30,2,0.50,1,1,1
86,31,1,0.50,1,1,1
1,34,8,0.30,1,1,1
174,40,4,0.20,1,1,1
17,44,8,0.00,1,1,1
18,45,1,0.00,1,1,1
19,46,1,0.00,1,1,1
20,47,1,0.00,1,1,1
21,48,1,0.00,1,1,1
22,49,1,0.00,1,1,1
16,50,8,0.20,1,1,1
49,58,7,0.60,1,1,1
50,59,7,0.50,1,1,1
48,60,7,0.60,1,1,1
44,61,7,0.60,1,1,1
45,62,7,0.50,1,1,1
46,63,7,0.60,1,1,1
47,64,7,0.50,1,1,1
53,65,7,0.60,1,1,1
52,66,7,0.50,1,1,1
51,67,7,0.60,1,1,1
28,86,5,0.30,1,1,1
31,87,7,0.40,1,1,1
30,88,7,0.50,1,1,1
29,89,7,0.50,1,1,1
32,90,7,0.50,1,1,1
39,91,7,0.50,1,1,1
33,92,5,0.30,1,1,1
38,93,5,0.30,1,1,1
34,94,5,0.40,1,1,1
35,95,7,0.40,1,1,1
40,96,7,0.40,1,1,1
36,97,7,0.60,1,1,1
37,98,7,0.55,1,1,1
42,99,7,0.60,1,1,1
41,101,7,0.50,1,1,1
43,102,7,0.40,1,1,1
58,107,7,0.50,1,1,1
55,108,7,0.30,1,1,1
59,109,7,0.50,1,1,1
54,110,7,0.30,1,1,1
60,111,7,0.50,1,1,1
61,112,7,0.30,1,1,1
62,113,7,0.40,1,1,1
63,114,2,0.30,1,1,1
64,115,2,0.30,1,1,1
67,116,2,0.30,1,1,1
68,117,2,0.30,1,1,1
70,118,2,0.30,1,1,1
71,119,2,0.30,1,1,1
69,120,2,0.30,1,1,1
65,121,2,0.35,1,1,1
56,122,2,0.30,1,1,1
66,123,2,0.30,1,1,1
57,124,2,0.30,1,1,1
73,125,2,0.30,1,1,1
74,126,2,0.30,1,1,1
75,127,2,0.30,1,1,1
76,128,2,0.30,1,1,1
72,129,7,0.30,1,1,1
98,130,1,0.50,1,1,1
100,131,1,0.35,1,1,1
97,132,8,0.40,1,1,1
99,133,1,0.50,1,1,1
78,135,12,0.50,1,1,1
79,136,12,0.50,1,1,1
80,136,13,0.05,1,1,1
81,137,12,0.50,1,1,1
82,138,12,0.50,1,1,1
83,139,12,0.50,1,1,1
84,140,12,0.30,1,1,1
103,146,1,0.50,1,1,1
102,147,8,0.40,1,1,1
104,148,1,0.50,1,1,1
101,149,1,0.50,1,1,1
105,150,1,0.40,1,1,1
106,151,8,0.50,1,1,1
107,152,1,0.40,1,1,1
108,153,1,0.35,1,1,1
88,154,8,0.40,1,1,1
89,155,8,0.40,1,1,1
90,156,8,0.40,1,1,1
91,157,8,0.40,1,1,1
94,158,1,0.50,1,1,1
85,159,1,0.50,1,1,1
92,160,1,0.50,1,1,1
95,161,1,0.50,1,1,1
87,162,1,0.50,1,1,1
96,163,1,0.50,1,1,1
93,164,1,0.50,1,1,1
120,167,14,0.30,1,1,1
121,168,14,0.30,1,1,1
109,172,1,0.50,1,1,1
285,173,2,0.40,1,1,1
110,174,16,0.40,1,1,1
114,175,16,0.40,1,1,1
113,176,16,0.40,1,1,1
111,177,16,0.50,1,1,1
112,178,16,0.40,1,1,1
115,179,16,0.30,1,1,1
119,180,16,0.30,1,1,1
117,181,16,0.30,1,1,1
116,182,16,0.40,1,1,1
118,183,16,0.30,1,1,1
122,184,4,0.35,1,1,1
131,185,5,0.30,1,1,1
123,186,5,0.30,1,1,1
124,187,4,0.30,1,1,1
132,188,2,0.50,1,1,1
125,189,4,0.35,1,1,1
126,190,4,0.35,1,1,1
127,191,5,0.30,1,1,1
128,192,4,0.30,1,1,1
129,193,5,0.25,1,1,1
130,194,5,0.30,1,1,1
137,195,4,0.50,1,1,1
138,196,4,0.40,1,1,1
139,197,4,0.35,1,1,1
140,198,4,0.30,1,1,1
133,199,4,0.40,1,1,1
134,200,4,0.40,1,1,1
135,201,4,0.30,1,1,1
136,202,4,0.28,1,1,1
151,203,4,0.50,1,1,1
152,204,4,0.40,1,1,1
153,205,11,0.40,1,1,1
154,206,4,0.35,1,1,1
155,207,2,0.40,1,1,1
156,208,4,0.40,1,1,1
157,209,4,0.35,1,1,1
158,210,4,0.30,1,1,1
183,211,4,0.60,1,1,1
180,212,4,0.50,1,1,1
181,213,4,0.50,1,1,1
182,214,4,0.40,1,1,1
179,215,4,0.40,1,1,1
184,216,4,0.50,1,1,1
185,217,4,0.50,1,1,1
198,218,4,0.40,1,1,1
199,219,4,0.35,1,1,1
