"IdNotasDet","IdNotas","IdOrdenes","Descripcion"
1,4,28,"Cierre Nycast Rojo de 15cm fijo  620 pzas.
Trazos 64901C1, C2, CA, CA1,F Y F1"
2,4,27,"Elastico de 1 1/2""  15 Rollos ( 750 mts)
Jareta Poliester Rojo 7 Rollos ( 1400 MTS.)
Trazos 74900CA, CA1, F Y F1"
3,4,30,"Elastico de 1 1/2"" con jareta  15 rollos ( 750 mts)
Trazo 74980C Y F."
4,4,29,"Cierre Venus  de 50 cm.  42 pzas. Rojo y 42 Bco. 
Cierre Venus de 55 cm. 82 pzas. Rojo y 82 Bco. 
Cierre Venus de 60 cm 42 pzas. Rojo y 42 Bco.
Cierre Venus de 65 cm 122 pzas. Rojo y 122 Bco."
5,4,29,"Cierre Venus de 70 cm 42 pzas. En Bco.
Trazos 84980C, C1,F Y F1"
6,4,32,"Elastico de 1 1/2"" con jareta  9 rollos ( 450 mts.)"
7,5,31,"trazos  54980C,CA,CA1 Y F UNA COPIA DE CADA UNO"
8,5,32,"TRAZOS 34980C,C1 Y F  UNA COPIA DE CADA UNO"
9,5,33,"TRAZOS 54001CA,CA1 Y F   UNA COPIA DE CADA UNO"
10,6,29,"CIERRE VENUS 70CM  COLOR ROJO  42 PZAS."
11,6,18,"ELASTICO DE 1""  1550 MTS. (31 ROLLOS)
JARETA POLIESTER BCO.  3400 MTS. ( 17 ROLLOS)"
12,6,23,"ELASTICO DE 1"" 1550 MTS.  (31 ROLLOS)
JARETA POLIESTER BCO.  3400 MTS.  ( 17 ROLLOS)"
13,6,17,"TRAZOS 61730 F,F1, C Y CA  UNCA COPIA DE CADA UNO"
14,6,18,"TRAZOS 31730 F Y CA   UNA COPIA DE CADA UNO."
15,6,20,"TRAZOS 51730F Y CA   UNA COPIA DE CADA UNO"
16,6,21,"TRAZOS  51731 F,F1, C1  Y CA.   UNA COPIA DE CADA UNO."
17,7,22,"TRAZO 61740F, F1, C Y CA  UNA COPIA DE CADA UNO."
18,8,23,"TRAZO 31740 F Y CA  UNA COPIA DE CADA UNO"
19,8,24,"TRAZO 71740F  UNA COPIA"
20,8,25,"TRAZO 51740 UNA COPIA"
21,8,19,"TRAZO 71730  UNA COPIA"
22,9,27,"TRAZO 74900F2  UNA COPIA"
23,9,26,"TRAZO 51741F  UNA COPIA"
24,9,18,"TRAZO 31730 F1  UNA COPIA"
25,9,33,"TRAZO 54001F1  2  COPIAS"
26,9,21,"51731C2  DOS COPIAS"
27,10,17,
28,10,27,
29,11,17,"SE ENVIAN ETIQUETAS BORDADAS MCA. X-TEND  10000 PZAS.
PARA ORD. 114 A 123"
30,12,37,"ELASTICO DE 1 1/2""  CON JARETA  ( 950 MTS)  19 ROLLOS
ETIQUETAS MONARCH, MARCA BORDADA, MCA. CARTON Y TALLA
MCA. X-TEND"
31,12,38,"ELASTICO DE 1 1/2"" CON JARETA (1550 MTS)  31 ROLLOS
ETIQUETAS MONARCH, MARCA X-TEND BORDADA, CARTON Y TALLA"
32,12,36,"ETIQUETAS MONARCH,  MARCA X-TEND BORDADA, CARTON Y TALLA"
33,12,39,"ETIQUETAS MONARCH,  MARCA X-TEND BORDADA, CARTON Y TALLA."
34,12,35,"ETIQUETAS MONARCH,  MARCA X-TEND BORDADA, CARTON Y TALLA."
35,13,35,"contramuestra chamarra en color oxford-blanco t-ch"
36,13,36,"contramuestra playera color marino t-ch"
37,13,39,"contramuestra tank-top color blanco con rojo t-ch"
38,13,37,"contramuestra pantalon color oxford t-ch"
39,13,38,"contramuestra short color marino t-ch"
40,14,35,"CIERRES VENUS COLOR ROJO 
483 PZAS. DE 55 CM. PARA TALLAS CH Y M
483 PZAS. DE 60 CM. PARA TALLAS G Y EX"
41,15,35,"TRAZOS 81770 F Y C  DOS DE CADA UNO.
BODEGA"
