"IdOrdCompraExcel","IdOrdCompra","Excel"
1,2,
3,3,
4,4,
5,8,
6,9,
7,1,
8,10,
9,11,
10,12,
11,13,
12,14,
13,0,
14,16,
15,17,
16,18,
18,22,
19,23,
20,26,
21,28,
22,31,
23,33,
24,37,
25,39,
26,44,
27,45,
28,46,
29,50,
30,51,
31,53,
32,55,
35,57,
37,58,
38,63,
39,64,
40,65,
41,66,
42,67,
43,70,
44,73,
45,77,
46,84,
47,86,
48,87,
49,89,
50,93,
51,94,
52,95,
53,97,
54,98,
55,104,
56,107,
57,108,
58,111,
59,114,
60,115,
61,117,
62,119,
63,120,
64,99,
65,123,
66,130,
67,131,
68,136,
70,122,
71,146,
72,147,
73,150,
74,151,
75,153,
77,158,
78,165,
79,168,
80,133,
81,169,
82,172,
83,173,
84,181,
85,182,
86,184,
87,180,
88,189,
89,190,
90,161,
91,192,
92,196,
93,198,
94,202,
95,203,
96,204,
98,208,
99,209,
100,212,
102,213,
103,214,
104,227,
105,229,
106,234,
107,235,
108,240,
110,245,
111,252,
112,253,
113,257,
114,258,
115,261,
116,262,
117,265,
118,269,
119,270,
120,272,
121,276,
122,277,
123,285,
124,286,
125,288,
126,290,
127,293,
128,296,
129,299,
130,300,
131,302,
132,303,
133,304,
134,307,
135,308,
136,310,
137,311,
138,312,
139,316,
140,317,
141,323,
142,324,
143,326,
144,327,
145,331,
146,335,
147,343,
148,345,
149,346,
150,349,
151,351,
152,356,
153,358,
154,362,
155,366,
156,367,
157,368,
158,369,
159,370,
160,371,
161,374,
162,375,
163,378,
164,379,
165,392,
166,395,
167,400,
168,403,
169,414,
170,420,
171,424,
172,425,
173,428,
174,436,
175,440,
176,442,
177,443,
178,444,
179,446,
180,452,
181,453,
182,457,
183,458,
184,464,
185,467,
186,468,
187,473,
188,476,
189,477,
190,478,
191,479,
192,484,
193,486,
194,488,
195,489,
196,495,
197,498,
198,506,
199,507,
200,518,
201,521,
202,525,
205,529,
206,532,
207,533,
208,534,
209,536,
210,537,
211,541,
212,545,
213,548,
214,549,
215,550,
217,553,
218,558,
219,559,
220,564,
221,563,
222,566,
223,573,
224,575,
225,576,
226,577,
227,589,
228,593,
229,594,
230,595,
231,596,
232,598,
233,600,
234,601,
235,603,
236,604,
237,608,
238,609,
239,619,
240,630,
241,631,
242,637,
243,638,
244,639,
245,640,
246,641,
247,644,
248,646,
249,652,
250,654,
251,655,
252,661,
253,665,
254,687,
255,695,
256,705,
257,707,
258,709,
259,714,
260,718,
261,720,
263,724,
264,725,
265,730,
266,737,
267,738,
268,741,
269,748,
270,752,
272,790,
273,791,
274,792,
275,820,
276,822,
277,823,
278,824,
279,825,
281,833,
282,834,
283,840,
284,841,
285,852,
286,857,
287,864,
288,865,
290,869,
291,877,
292,882,
293,883,
294,890,
295,891,
296,898,
297,902,
298,903,
299,904,
300,910,
301,911,
302,912,
303,922,
304,923,
305,925,
306,939,
307,942,
308,943,
309,944,
310,946,
311,951,
312,952,
313,955,
314,956,
315,957,
316,958,
317,974,
318,980,
320,1004,
321,1009,
322,1011,
323,1012,
324,1016,
325,1020,
326,1021,
327,1025,
328,1026,
329,1031,
330,1032,
331,1037,
332,1041,
333,1042,
334,1046,
335,1047,
336,1053,
337,1054,
338,1056,
339,1057,
340,1059,
341,1066,
342,1067,
343,1068,
344,1075,
345,1090,
346,1108,
347,1109,
348,1110,
349,1115,
350,1116,
351,1117,
352,1118,
353,1127,
354,1131,
355,1133,
356,1148,
357,1154,
358,1155,
359,1158,
360,1160,
361,1162,
362,1165,
363,1166,
365,1181,
366,1184,
367,1185,
368,1197,
369,1198,
370,1211,
371,1214,
372,1216,
373,1220,
374,1223,
375,1229,
376,1231,
377,1232,
378,1241,
379,1242,
380,1248,
381,1254,
382,1268,
383,1269,
384,1274,
385,1278,
386,1283,
387,1284,
389,1307,
390,1311,
391,1316,
392,1317,
393,1318,
394,1325,
395,1332,
396,1343,
397,1357,
398,1358,
399,1360,
400,1384,
401,1385,
402,1387,
403,1388,
404,1389,
405,1393,
406,1402,
407,1403,
408,1410,
409,1437,
411,1453,
412,1455,
413,1457,
414,1461,
415,1462,
416,1470,
417,1471,
