"IdOrdenesDet","IdOrdenes","Color","T1","T2","T3","T4","T5","T6","T7","T8"
1,2,"Rojo / Marino / Blanco",200,400,400,200,0,0,0,0
2,4,"Rojo / Marino",284,568,568,284,0,0,0,0
3,3,"Blanco",240,480,480,240,0,0,0,0
4,7,"Marino / Rojo / Blanco",200,400,400,200,0,0,0,0
5,8,"Rojo / Marino / Blanco",320,640,640,320,0,0,0,0
6,9,"Jaspe / Rojo",93,186,186,93,0,0,0,0
7,9,"Marino / Jaspe",93,186,186,93,0,0,0,0
8,10,"Marino",65,130,130,65,0,0,0,0
9,10,"Jaspe",65,130,130,65,0,0,0,0
10,11,"Marino",93,186,186,93,0,0,0,0
11,11,"Jaspe",93,186,186,93,0,0,0,0
12,12,"Marino / Jaspe",93,186,186,93,0,0,0,0
13,12,"Cobalto / Marino",93,186,186,93,0,0,0,0
14,13,"Negro",65,130,130,65,0,0,0,0
15,13,"Rey",65,130,130,65,0,0,0,0
16,14,"Negro",93,186,186,93,0,0,0,0
17,14,"Rey",93,186,186,93,0,0,0,0
18,15,"Negro / Blanco / Rojo",93,186,186,93,0,0,0,0
19,15,"Rey / Blanco / Negro",93,186,186,93,0,0,0,0
20,16,"Rey / Marino",93,186,186,93,0,0,0,0
21,16,"Negro / Blanco",93,186,186,93,0,0,0,0
22,17,"Blanco / Cielo",332,664,664,332,0,0,0,0
23,18,"Marino / Blanco",332,664,664,332,0,0,0,0
24,19,"Marino",332,664,664,332,0,0,0,0
25,20,"Marino / Blanco",332,664,664,332,0,0,0,0
26,21,"Blanco / Cielo",332,664,664,332,0,0,0,0
27,22,"Blanco / Cemento",332,664,664,332,0,0,0,0
28,23,"Cobalto / Blanco",332,664,664,332,0,0,0,0
29,24,"Cobalto / Blanco",332,664,664,332,0,0,0,0
30,25,"Blanco / Cobalto",332,664,664,332,0,0,0,0
31,26,"Cobalto / Blanco",332,664,664,332,0,0,0,0
32,27,"Marino / Blanco / Rojo",63,63,63,63,63,63,63,63
33,27,"Jaspe / Cielo / Rojo",63,63,63,63,63,63,63,63
34,28,"Marino / Blanco / Rojo",38,38,38,38,38,38,38,38
35,28,"Jaspe / Cielo / Rojo",38,38,38,38,38,38,38,38
36,29,"Marino / Naranja",38,38,38,38,38,38,38,38
37,29,"Acero / Marino",38,38,38,38,38,38,38,38
38,30,"Marino / Blanco",63,63,63,63,63,63,63,63
