"IdOrdenesDetEntA","IdEntregasEst","IdOrdenesDet","TC1","TC2","TC3","TC4","TC5","TC6","TC7","TC8"
5,2,1,1207,0,0,0,0,0,0,0
6,4,3,1420,1,0,0,0,0,0,0
7,5,2,1668,0,0,0,0,0,0,0
8,6,4,1201,0,0,0,0,0,0,0
9,7,5,1861,0,0,0,0,0,0,0
10,8,12,1113,0,0,0,0,0,0,0
11,9,19,1115,0,0,0,0,0,0,0
12,10,22,1992,0,0,0,0,0,0,0
13,11,25,1992,0,0,0,0,0,0,0
14,12,26,1992,0,0,0,0,0,0,0
15,14,27,1992,0,0,0,0,0,0,0
16,15,34,608,0,0,0,0,0,0,0
17,16,36,607,0,0,0,0,0,0,0
18,17,38,1008,0,0,0,0,0,0,0
19,18,40,800,0,0,0,0,0,0,0
20,19,42,608,0,0,0,0,0,0,0
21,20,20,1112,0,0,0,0,0,0,0
22,21,32,952,0,0,0,0,0,0,0
23,22,23,1992,0,0,0,0,0,0,0
24,23,30,1967,0,0,0,0,0,0,0
28,27,45,832,0,0,0,0,0,0,0
29,28,6,1117,0,0,0,0,0,0,0
30,29,47,1704,0,0,0,0,0,0,0
31,31,50,1440,0,0,0,0,0,0,0
32,33,46,959,0,0,0,0,0,0,0
33,35,48,932,0,0,0,0,0,0,0
34,36,49,1992,0,0,0,0,0,0,0
35,37,69,371,0,0,0,0,0,0,0
36,38,72,739,0,0,0,0,0,0,0
37,39,69,1,0,0,0,0,0,0,0
38,40,69,371,0,0,0,0,0,0,0
39,41,51,1440,0,0,0,0,0,0,0
40,42,53,1440,0,0,0,0,0,0,0
41,43,54,960,0,0,0,0,0,0,0
42,44,52,420,0,0,0,0,0,0,0
43,45,52,777,0,0,0,0,0,0,0
44,46,58,1200,0,0,0,0,0,0,0
45,47,64,2159,0,0,0,0,0,0,0
46,48,63,1200,0,0,0,0,0,0,0
47,49,56,1200,0,0,0,0,0,0,0
48,50,59,1199,0,0,0,0,0,0,0
49,51,61,840,0,0,0,0,0,0,0
50,52,62,1440,0,0,0,0,0,0,0
51,54,55,1440,0,0,0,0,0,0,0
52,55,60,960,0,0,0,0,0,0,0
53,56,57,1200,0,0,0,0,0,0,0
54,57,65,1436,0,0,0,0,0,0,0
55,58,65,4,0,0,0,0,0,0,0
56,59,66,1200,0,0,0,0,0,0,0
57,60,67,180,0,0,0,0,0,0,0
58,61,67,780,0,0,0,0,0,0,0
59,62,88,778,0,0,0,0,0,0,0
60,63,98,1200,0,0,0,0,0,0,0
61,64,77,852,0,0,0,0,0,0,0
62,65,80,852,0,0,0,0,0,0,0
63,66,100,340,0,0,0,0,0,0,0
64,67,112,898,0,0,0,0,0,0,0
65,68,86,652,0,0,0,0,0,0,0
66,69,86,127,0,0,0,0,0,0,0
67,70,110,1200,0,0,0,0,0,0,0
68,71,115,1200,0,0,0,0,0,0,0
