"IdOrdenesRecA","IdRecibosEst","IdOrdenesDet","TC1","TC2","TC3","TC4","TC5","TC6","TC7","TC8"
1,1,69,371,0,0,0,0,0,0,0
2,2,69,372,0,0,0,0,0,0,0
3,3,72,739,0,0,0,0,0,0,0
4,4,51,1440,0,0,0,0,0,0,0
5,5,52,420,0,0,0,0,0,0,0
6,6,53,1438,0,0,0,0,0,0,0
7,7,54,960,0,0,0,0,0,0,0
8,8,52,776,0,0,0,0,0,0,0
9,9,58,1182,0,0,0,0,0,0,0
10,10,56,1200,0,0,0,0,0,0,0
11,12,61,840,0,0,0,0,0,0,0
12,13,59,1199,0,0,0,0,0,0,0
13,14,64,2159,0,0,0,0,0,0,0
14,15,55,1440,0,0,0,0,0,0,0
15,16,60,960,0,0,0,0,0,0,0
16,17,63,1190,0,0,0,0,0,0,0
17,18,63,10,0,0,0,0,0,0,0
18,19,62,1440,0,0,0,0,0,0,0
19,20,57,1199,0,0,0,0,0,0,0
20,21,65,1435,0,0,0,0,0,0,0
21,22,88,778,0,0,0,0,0,0,0
22,26,98,1200,0,0,0,0,0,0,0
23,27,66,1200,0,0,0,0,0,0,0
24,28,67,959,0,0,0,0,0,0,0
25,29,77,852,0,0,0,0,0,0,0
26,30,86,779,0,0,0,0,0,0,0
27,31,100,1199,0,0,0,0,0,0,0
28,32,112,1195,0,0,0,0,0,0,0
29,33,115,1200,0,0,0,0,0,0,0
30,34,110,1196,0,0,0,0,0,0,0
31,35,80,852,0,0,0,0,0,0,0
32,36,46,959,0,0,0,0,0,0,0
33,37,47,1704,0,0,0,0,0,0,0
34,38,48,932,0,0,0,0,0,0,0
35,39,49,1992,0,0,0,0,0,0,0
36,40,50,1440,0,0,0,0,0,0,0
37,41,133,354,0,0,0,0,0,0,0
38,42,32,943,0,0,0,0,0,0,0
39,43,32,55,0,0,0,0,0,0,0
40,44,45,832,0,0,0,0,0,0,0
41,45,36,607,0,0,0,0,0,0,0
42,46,38,1008,0,0,0,0,0,0,0
43,47,40,800,0,0,0,0,0,0,0
44,48,22,1992,0,0,0,0,0,0,0
45,49,42,608,0,0,0,0,0,0,0
46,50,34,608,0,0,0,0,0,0,0
47,51,25,1968,0,0,0,0,0,0,0
48,52,90,792,0,0,0,0,0,0,0
49,53,65,4,0,0,0,0,0,0,0
50,54,118,1200,0,0,0,0,0,0,0
51,55,92,792,0,0,0,0,0,0,0
52,57,116,1200,0,0,0,0,0,0,0
53,58,121,1200,0,0,0,0,0,0,0
54,60,144,1145,0,0,0,0,0,0,0
55,61,144,300,0,0,0,0,0,0,0
56,62,148,3029,0,0,0,0,0,0,0
57,64,147,1259,0,0,0,0,0,0,0
58,65,147,790,0,0,0,0,0,0,0
59,66,179,1258,0,0,0,0,0,0,0
60,67,179,1260,0,0,0,0,0,0,0
61,68,150,926,0,0,0,0,0,0,0
62,69,150,1006,0,0,0,0,0,0,0
63,70,147,467,0,0,0,0,0,0,0
64,71,184,1434,0,0,0,0,0,0,0
65,72,181,1439,0,0,0,0,0,0,0
66,73,185,312,0,0,0,0,0,0,0
67,74,144,1446,0,0,0,0,0,0,0
68,75,82,940,0,0,0,0,0,0,0
69,76,144,468,0,0,0,0,0,0,0
70,77,108,1200,0,0,0,0,0,0,0
71,78,95,790,0,0,0,0,0,0,0
72,79,123,1199,0,0,0,0,0,0,0
73,81,106,1198,0,0,0,0,0,0,0
74,82,126,600,0,0,0,0,0,0,0
75,83,126,598,0,0,0,0,0,0,0
76,84,130,1196,0,0,0,0,0,0,0
77,85,173,720,0,0,0,0,0,0,0
78,87,184,4,0,0,0,0,0,0,0
79,88,176,720,0,0,0,0,0,0,0
80,89,164,599,0,0,0,0,0,0,0
81,90,157,609,0,0,0,0,0,0,0
82,91,159,607,0,0,0,0,0,0,0
83,92,152,611,0,0,0,0,0,0,0
84,93,161,609,0,0,0,0,0,0,0
85,94,192,1440,0,0,0,0,0,0,0
86,95,187,1440,0,0,0,0,0,0,0
87,96,167,610,0,0,0,0,0,0,0
88,97,199,4,0,0,0,0,0,0,0
89,98,198,3840,0,0,0,0,0,0,0
90,99,198,4,0,0,0,0,0,0,0
91,100,195,4,0,0,0,0,0,0,0
92,101,269,672,0,0,0,0,0,0,0
93,102,265,672,0,0,0,0,0,0,0
94,103,195,1678,0,0,0,0,0,0,0
95,104,258,3720,0,0,0,0,0,0,0
96,105,256,1860,0,0,0,0,0,0,0
97,106,256,1860,0,0,0,0,0,0,0
98,108,211,1032,0,0,0,0,0,0,0
99,109,245,579,0,0,0,0,0,0,0
100,110,236,876,0,0,0,0,0,0,0
101,111,243,665,0,0,0,0,0,0,0
102,112,228,680,0,0,0,0,0,0,0
103,113,232,622,0,0,0,0,0,0,0
104,114,198,1913,0,0,0,0,0,0,0
105,115,270,672,0,0,0,0,0,0,0
106,116,271,672,0,0,0,0,0,0,0
107,117,254,980,0,0,0,0,0,0,0
108,118,262,320,0,0,0,0,0,0,0
109,119,262,560,0,0,0,0,0,0,0
110,120,254,1353,0,0,0,0,0,0,0
111,121,254,4,0,0,0,0,0,0,0
112,122,264,559,0,0,0,0,0,0,0
113,123,266,672,0,0,0,0,0,0,0
114,124,268,672,0,0,0,0,0,0,0
115,125,262,1458,0,0,0,0,0,0,0
116,126,260,4,0,0,0,0,0,0,0
117,127,260,594,0,0,0,0,0,0,0
118,128,267,672,0,0,0,0,0,0,0
119,129,254,600,0,0,0,0,0,0,0
120,130,262,700,0,0,0,0,0,0,0
121,131,262,8,0,0,0,0,0,0,0
122,132,262,306,0,0,0,0,0,0,0
123,133,254,643,0,0,0,0,0,0,0
124,134,260,1216,0,0,0,0,0,0,0
125,135,260,600,0,0,0,0,0,0,0
126,136,260,533,0,0,0,0,0,0,0
127,137,260,659,0,0,0,0,0,0,0
128,138,260,576,0,0,0,0,0,0,0
129,139,274,804,0,0,0,0,0,0,0
