"IdOrdenesDetRecM","IdRecibos","IdOrdenesDet","TC1","TC2","TC3","TC4","TC5","TC6","TC7","TC8"
1,1,5,1861,0,0,0,0,0,0,0
2,2,1,1207,0,2,0,0,0,0,0
3,3,1,,0,0,0,0,0,0,0
4,4,3,1420,0,0,0,0,0,0,0
5,5,2,1668,0,0,0,0,0,0,0
6,6,4,1201,0,0,0,0,0,0,0
7,7,8,777,0,0,0,0,0,0,0
8,8,12,1113,0,0,0,0,0,0,0
9,9,14,760,0,0,0,0,0,0,0
10,10,14,,0,0,0,0,0,0,0
11,11,19,1115,0,0,0,0,0,0,0
12,12,11,1112,0,0,0,0,0,0,0
13,13,51,840,0,0,0,0,0,0,0
14,14,53,588,0,0,0,0,0,0,0
15,15,54,168,0,0,0,0,0,0,0
16,16,52,396,0,0,0,0,0,0,0
17,17,52,792,0,0,0,0,0,0,0
18,18,51,588,0,0,0,0,0,0,0
19,19,53,840,0,0,0,0,0,0,0
20,20,54,792,0,0,0,0,0,0,0
21,21,54,,0,0,0,0,0,0,0
22,22,58,18,0,0,0,0,0,0,0
23,23,64,4,0,0,0,0,0,0,0
24,24,22,780,0,0,0,0,0,0,0
25,25,22,1212,0,0,0,0,0,0,0
26,26,23,840,0,0,0,0,0,0,0
27,27,23,1152,0,0,0,0,0,0,0
28,28,24,864,0,0,0,0,0,0,0
29,29,24,1104,0,0,0,0,0,0,0
30,30,25,840,0,0,0,0,0,0,0
31,31,25,1116,0,0,0,0,0,0,0
32,32,25,3,0,0,0,0,0,0,0
33,33,26,780,0,0,0,0,0,0,0
34,34,26,1188,0,0,0,0,0,0,0
35,35,27,780,0,0,0,0,0,0,0
36,36,27,1188,0,0,0,0,0,0,0
37,37,28,840,0,0,0,0,0,0,0
38,38,28,1140,0,0,0,0,0,0,0
39,39,29,864,0,0,0,0,0,0,0
40,40,29,1116,0,0,0,0,0,0,0
41,41,30,840,0,0,0,0,0,0,0
42,42,30,1116,0,0,0,0,0,0,0
43,43,31,780,0,0,0,0,0,0,0
44,44,31,1056,0,0,0,0,0,0,0
45,45,32,994,0,0,0,0,0,0,0
