"IdOrdenesHab","IdOrdenes","IdHabilitacion","CantHabOrd","PrecioHabOrd"
1,2,1,1.00,0.15
2,2,2,1.00,0.28
3,2,5,1.00,0.85
4,2,12,1.00,0.05
5,2,61,1.00,0.19
6,2,62,1.00,0.05
7,3,62,1.00,0.05
8,3,61,1.00,0.19
9,3,12,1.00,0.05
10,3,5,1.00,0.85
11,3,2,1.00,0.28
12,3,1,1.00,0.15
13,4,61,1.00,0.19
14,4,1,1.00,0.15
15,4,2,1.00,0.28
16,4,12,1.00,0.05
17,4,62,1.00,0.05
18,4,5,1.00,0.85
19,7,7,1.00,1.18
20,7,1,1.00,0.15
21,7,62,1.00,0.05
22,7,2,1.00,0.28
23,7,12,1.00,0.05
24,7,13,0.76,2.50
25,7,61,1.00,0.19
26,8,7,1.00,1.18
27,8,12,1.00,0.05
28,8,62,1.00,0.05
29,8,61,1.00,0.19
30,8,1,1.00,0.15
31,8,13,0.76,2.50
32,8,2,1.00,0.28
33,9,3,1.00,0.24
34,9,1,1.00,0.15
35,9,5,1.00,0.85
36,9,12,1.00,0.05
37,9,44,1.00,2.00
39,9,62,1.00,0.05
40,9,59,1.00,0.19
41,10,59,1.00,0.19
42,10,62,1.00,0.05
43,10,12,1.00,0.05
44,10,13,0.76,2.50
45,10,7,1.00,1.18
46,10,1,1.00,0.15
47,10,3,1.00,0.24
48,11,3,1.00,0.24
49,11,59,1.00,0.19
50,11,13,0.76,2.50
51,11,12,1.00,0.05
52,11,1,1.00,0.15
53,11,7,1.00,1.18
54,11,62,1.00,0.05
55,12,1,1.00,0.15
56,12,3,1.00,0.24
57,12,5,1.00,0.85
58,12,62,1.00,0.05
59,12,12,1.00,0.05
60,12,59,1.00,0.19
61,13,59,1.00,0.19
62,13,5,1.00,0.85
63,13,3,1.00,0.24
64,13,62,1.00,0.05
65,13,1,1.00,0.15
66,13,12,1.00,0.05
67,14,3,1.00,0.24
68,14,16,0.79,0.97
69,14,17,1.70,0.48
70,14,59,1.00,0.19
71,14,62,1.00,0.05
72,14,1,1.00,0.15
73,15,5,1.00,0.85
74,15,62,1.00,0.05
75,15,59,1.00,0.19
76,15,3,1.00,0.24
77,15,12,1.00,0.05
78,15,42,1.00,1.90
79,15,55,4.40,0.00
80,15,1,1.00,0.15
81,16,3,1.00,0.24
82,16,5,1.00,0.85
83,16,1,1.00,0.15
84,16,12,1.00,0.05
85,16,44,1.00,2.00
86,16,59,1.00,0.19
87,16,62,1.00,0.05
88,16,70,4.84,1.00
89,17,1,1.00,0.15
90,17,2,1.00,0.28
91,17,5,1.00,0.85
92,17,12,1.00,0.05
93,17,61,1.00,0.19
94,17,62,1.00,0.05
95,18,1,1.00,0.15
96,18,2,1.00,0.28
97,18,7,1.00,1.18
98,18,12,1.00,0.05
99,18,16,0.75,0.97
100,18,17,1.70,0.48
101,18,61,1.00,0.19
102,18,62,1.00,0.05
103,19,7,1.00,1.18
104,19,12,1.00,0.05
105,19,61,1.00,0.19
106,19,62,1.00,0.05
107,19,13,0.75,2.50
108,19,2,1.00,0.28
109,19,1,1.00,0.15
110,20,62,1.00,0.05
111,20,5,1.00,0.85
112,20,2,1.00,0.28
113,20,12,1.00,0.05
114,20,61,1.00,0.19
115,20,1,1.00,0.15
116,21,1,1.00,0.15
117,21,2,1.00,0.28
118,21,5,1.00,0.85
119,21,12,1.00,0.05
120,21,61,1.00,0.19
121,21,62,1.00,0.05
122,22,2,1.00,0.28
123,22,62,1.00,0.05
124,22,61,1.00,0.19
125,22,5,1.00,0.85
126,22,1,1.00,0.15
127,22,12,1.00,0.05
128,23,17,1.70,0.48
129,23,12,1.00,0.05
130,23,61,1.00,0.19
131,23,16,0.76,0.97
132,23,2,1.00,0.28
133,23,1,1.00,0.15
134,23,62,1.00,0.05
135,23,7,1.00,1.18
136,24,2,1.00,0.28
137,24,7,1.00,1.18
138,24,12,1.00,0.05
139,24,13,0.76,2.50
140,24,1,1.00,0.15
141,24,61,1.00,0.19
142,24,62,1.00,0.05
143,25,5,1.00,0.85
144,25,62,1.00,0.05
145,25,12,1.00,0.05
146,25,2,1.00,0.28
147,25,1,1.00,0.15
148,25,61,1.00,0.19
149,26,1,1.00,0.15
150,26,2,1.00,0.28
151,26,12,1.00,0.05
152,26,61,1.00,0.19
153,26,62,1.00,0.05
154,26,5,1.00,0.85
155,27,17,1.25,0.48
156,27,62,1.00,0.05
157,27,57,1.00,0.00
158,27,14,0.62,1.47
159,27,12,1.00,0.05
160,27,8,1.00,1.46
161,27,58,1.00,0.14
162,27,1,1.00,0.15
163,28,1,1.00,0.15
164,28,6,1.00,1.09
165,28,30,1.00,2.01
166,28,12,1.00,0.05
167,28,58,1.00,0.14
168,28,62,1.00,0.05
169,28,57,1.00,0.00
170,29,42,0.00,1.90
171,29,41,0.00,3.29
172,29,40,0.00,3.05
173,29,12,1.00,0.05
174,29,58,1.00,0.14
175,29,62,1.00,0.05
176,29,39,0.00,1.55
177,29,43,1.00,3.69
178,29,1,1.00,0.15
179,29,57,1.00,0.00
180,29,6,1.00,1.09
181,30,1,1.00,0.15
182,30,62,1.00,0.05
183,30,58,1.00,0.14
184,30,57,1.00,0.00
185,30,13,0.62,2.50
186,30,12,1.00,0.05
187,30,8,1.00,1.46
188,31,6,1.00,1.09
189,31,1,1.00,0.15
190,31,12,1.00,0.05
191,31,58,1.00,0.14
192,31,62,1.00,0.05
193,31,57,1.00,0.00
194,32,1,1.00,0.15
195,32,62,1.00,0.05
196,32,58,1.00,0.14
197,32,57,1.00,0.00
198,32,13,0.62,2.50
