"IdPedidosDet","IdPedidos","IdModelos","CantPed","Precio","EntregadoParcial","CantFalt"
1,1,1,1200,$65.00,0,1200
2,1,3,1440,$51.00,0,1440
3,1,2,1692,$65.00,0,1692
4,1,4,1200,$71.00,0,1200
5,1,5,1908,$58.00,0,1908
6,2,6,1992,$65.00,0,1992
7,2,7,1992,$51.00,0,1992
8,2,8,1992,$71.00,0,1992
9,2,9,1992,$51.00,0,1992
10,2,10,1992,$65.00,0,1992
11,2,11,1992,$58.00,0,1992
12,2,12,1992,$58.00,0,1992
13,2,13,1992,$65.00,0,1992
14,2,14,1992,$65.00,0,1992
15,2,15,1992,$71.00,0,1992
16,3,16,960,$87.00,0,960
17,3,17,1704,$65.00,0,1704
18,3,18,1200,$71.00,0,1200
19,3,19,1992,$58.00,0,1992
20,3,20,1440,$51.00,0,1440
21,4,21,1116,$125.00,0,1116
22,4,22,1116,$97.00,0,1116
23,4,23,1116,$97.00,0,1116
24,4,24,780,$70.00,0,780
25,5,25,780,$70.00,0,780
26,5,26,1116,$97.00,0,1116
27,5,27,1116,$125.00,0,1116
28,5,28,1116,$125.00,0,1116
29,6,29,4000,$100.00,0,4000
30,6,30,6000,$160.00,0,6000
31,7,31,3840,$89.00,0,3840
32,7,32,4584,$89.00,0,4584
33,8,33,1000,$109.00,0,1000
34,8,34,500,$86.00,0,500
35,8,35,500,$86.00,0,500
36,8,36,500,$145.00,0,500
37,8,37,1000,$75.00,0,1000
38,8,38,2000,$65.00,0,2000
39,8,39,2000,$75.00,0,2000
40,8,40,2000,$67.00,0,2000
41,8,41,2000,$90.00,0,2000
42,8,42,2000,$130.00,0,2000
43,8,43,2000,$90.00,0,2000
44,9,33,1000,$109.00,0,1000
45,9,34,500,$86.00,0,500
46,9,35,500,$86.00,0,500
47,9,36,500,$145.00,0,500
48,9,37,1000,$75.00,0,1000
49,9,38,2000,$65.00,0,2000
50,9,39,2000,$65.00,0,2000
51,9,40,2000,$67.00,0,2000
52,9,41,2000,$90.00,0,2000
53,9,42,2000,$130.00,0,2000
54,9,43,2000,$90.00,0,2000
55,10,46,1000,$55.00,0,1000
56,10,45,600,$63.00,0,600
57,10,48,600,$67.00,0,600
58,10,47,1000,$55.00,0,1000
59,10,50,800,$49.00,0,800
60,10,49,600,$49.00,0,600
61,10,44,800,$49.00,0,800
62,11,51,2400,$55.00,0,2400
63,11,52,1320,$55.00,0,1320
64,11,53,1920,$55.00,0,1920
65,11,54,2400,$55.00,0,2400
66,11,55,2400,$71.00,0,2400
67,11,56,1920,$71.00,0,1920
68,14,58,852,$104.00,0,852
69,14,59,1176,$97.00,0,1176
70,14,60,852,$125.00,0,852
71,15,61,744,$104.00,0,744
72,15,62,1140,$97.00,0,1140
73,15,63,744,$125.00,0,744
74,15,64,1140,$97.00,0,1140
75,16,65,1764,$104.00,0,1764
76,16,66,1176,$97.00,0,1176
77,16,67,948,$125.00,0,948
78,17,89,1440,$78.00,0,1440
79,17,86,1200,$55.00,0,1200
80,17,88,1440,$73.00,0,1440
81,17,87,960,$55.00,0,960
82,18,90,1440,$73.00,0,1440
83,18,91,1200,$73.00,0,1200
84,18,92,1200,$55.00,0,1200
85,18,93,1200,$55.00,0,1200
86,18,94,1200,$60.00,0,1200
87,18,95,960,$55.00,0,960
88,18,96,840,$55.00,0,840
89,18,97,1440,$78.00,0,1440
90,18,98,1200,$78.00,0,1200
91,19,100,2160,$78.00,0,2160
92,19,99,1440,$78.00,0,1440
93,19,101,1200,$73.00,0,1200
94,19,102,960,$55.00,0,960
95,20,107,780,$117.00,0,780
96,20,108,780,$86.00,0,780
97,21,114,780,$104.00,0,780
98,21,115,780,$78.00,0,780
99,22,121,780,$117.00,0,780
100,22,122,780,$86.00,0,780
101,23,109,1200,$83.00,0,1200
102,23,110,1200,$73.00,0,1200
103,24,116,1200,$99.00,0,1200
104,24,117,1200,$73.00,0,1200
105,25,123,1200,$83.00,0,1200
106,25,124,1200,$73.00,0,1200
107,26,111,1200,$99.00,0,1200
108,26,112,1200,$73.00,0,1200
109,26,113,1200,$73.00,0,1200
110,27,118,1200,$73.00,0,1200
111,27,119,1200,$73.00,0,1200
112,27,120,1200,$73.00,0,1200
113,28,125,1200,$83.00,0,1200
114,28,126,1200,$73.00,0,1200
115,28,127,1200,$99.00,0,1200
