"IdPedidosReales","IdPedidos","FechaPedPR","FechaInicioPR","FechaFinPR","NumPedReal","Cedis","FechaEntregadaReal","IdUsuarios","FechaUsuario","Apertura"
1,229,02/07/2008 00:00:00,10/07/2008 00:00:00,17/07/2008 00:00:00,"2250139393","7465",,2,02/07/2008 19:37:33,0
2,229,02/07/2008 00:00:00,10/07/2008 00:00:00,17/07/2008 00:00:00,"2250139394","7463",,2,02/07/2008 19:38:31,0
3,229,02/07/2008 00:00:00,07/07/2008 00:00:00,09/07/2008 00:00:00,"2250139395","7463",,2,02/07/2008 19:39:28,0
4,229,02/07/2008 00:00:00,07/07/2008 00:00:00,09/07/2008 00:00:00,"2250139396","7464",,2,02/07/2008 19:40:51,0
5,229,02/07/2008 00:00:00,07/07/2008 00:00:00,09/07/2008 00:00:00,"2250139397","7465",,2,02/07/2008 19:41:22,0
6,229,02/07/2008 00:00:00,07/07/2008 00:00:00,09/07/2008 00:00:00,"2250139398","7471",,2,02/07/2008 19:41:51,0
7,229,02/07/2008 00:00:00,07/07/2008 00:00:00,09/07/2008 00:00:00,"2250139399","7486",,2,02/07/2008 19:42:23,0
8,215,17/06/2008 00:00:00,17/07/2008 00:00:00,24/07/2008 00:00:00,"9050170565","7465",,2,02/07/2008 19:45:15,0
9,215,17/06/2008 00:00:00,12/07/2008 00:00:00,15/07/2008 00:00:00,"9050170566","1120",,2,02/07/2008 19:47:26,0
10,215,17/06/2008 00:00:00,12/07/2008 00:00:00,15/07/2008 00:00:00,"9050170567","7464",,2,02/07/2008 19:48:26,0
11,215,17/06/2008 00:00:00,12/07/2008 00:00:00,15/07/2008 00:00:00,"9050170568","7465",,2,02/07/2008 19:48:53,0
12,215,17/06/2008 00:00:00,12/07/2008 00:00:00,15/07/2008 00:00:00,"9050170569","7471",,2,02/07/2008 19:49:19,0
13,215,17/06/2008 00:00:00,12/07/2008 00:00:00,15/07/2008 00:00:00,"9050170570","7486",,2,02/07/2008 19:49:48,0
14,191,11/06/2008 00:00:00,10/07/2008 00:00:00,17/07/2008 00:00:00,"2250139141","7465",,2,02/07/2008 19:51:13,0
15,191,11/06/2008 00:00:00,17/07/2008 00:00:00,24/07/2008 00:00:00,"2250139142","7465",,2,02/07/2008 19:52:00,0
16,191,11/06/2008 00:00:00,10/07/2008 00:00:00,17/07/2008 00:00:00,"2250139143","7463",,2,02/07/2008 19:52:36,0
17,191,11/06/2008 00:00:00,04/07/2008 00:00:00,07/07/2008 00:00:00,"2250139144","7463",,2,02/07/2008 19:53:08,0
18,191,11/06/2008 00:00:00,04/07/2008 00:00:00,07/07/2008 00:00:00,"2250139145","7464",,2,02/07/2008 19:54:18,0
19,191,11/06/2008 00:00:00,04/07/2008 00:00:00,07/07/2008 00:00:00,"2250139146","7465",,2,02/07/2008 19:54:57,0
20,191,11/06/2008 00:00:00,04/07/2008 00:00:00,07/07/2008 00:00:00,"2250139147","7471",,2,02/07/2008 19:55:54,0
28,233,18/12/2008 00:00:00,05/01/2009 00:00:00,07/01/2009 00:00:00,"5750192164","7471",,2,15/01/2009 14:13:35,0
29,233,18/12/2008 00:00:00,05/01/2009 00:00:00,07/01/2009 00:00:00,"5750192165","7486",,10,15/01/2009 15:15:05,0
30,233,18/12/2008 00:00:00,05/01/2009 00:00:00,07/01/2009 00:00:00,"5750192166","7464",,10,15/01/2009 15:18:43,0
31,233,18/12/2008 00:00:00,05/01/2009 00:00:00,07/01/2009 00:00:00,"5750192167","7464",,10,15/01/2009 15:22:19,0
32,233,18/12/2008 00:00:00,05/01/2009 00:00:00,07/01/2009 00:00:00,"5750192168","7471",,10,15/01/2009 15:27:16,0
33,233,18/12/2008 00:00:00,05/01/2009 00:00:00,07/01/2009 00:00:00,"5750192169","7486",,10,15/01/2009 15:29:46,0
37,218,07/02/2009 00:00:00,06/03/2009 00:00:00,12/03/2009 00:00:00,"15526574","090",06/03/2009 00:00:00,10,11/02/2009 16:45:37,0
39,226,10/02/2009 00:00:00,09/02/2009 00:00:00,12/02/2009 00:00:00,"15514545","090",17/02/2009 00:00:00,10,11/02/2009 17:14:49,0
55,234,07/04/2009 00:00:00,07/04/2009 00:00:00,09/04/2009 00:00:00,"5750193174","7471",09/04/2009 00:00:00,10,21/04/2009 13:08:04,0
56,234,07/04/2009 00:00:00,07/04/2009 00:00:00,09/04/2009 00:00:00,"5750193173","7464",08/04/2009 00:00:00,10,21/04/2009 13:13:09,0
57,244,10/03/2009 00:00:00,13/04/2009 00:00:00,13/04/2009 00:00:00,"B1716A","1",08/04/2009 00:00:00,10,21/04/2009 14:20:15,0
58,247,16/01/2009 00:00:00,16/01/2009 00:00:00,14/04/2009 00:00:00,"MJD57227","1",15/04/2009 00:00:00,10,21/04/2009 14:48:19,0
59,249,25/03/2009 00:00:00,25/03/2009 00:00:00,05/05/2009 00:00:00,"MJD57228","1",02/06/2009 00:00:00,10,21/04/2009 15:12:05,0
60,245,16/02/2009 00:00:00,16/02/2009 00:00:00,15/03/2009 00:00:00,"465477","1",24/04/2009 00:00:00,10,21/04/2009 16:32:50,0
61,245,16/02/2009 00:00:00,16/02/2009 00:00:00,15/04/2009 00:00:00,"465477-A","1",28/04/2009 00:00:00,10,21/04/2009 16:35:18,0
62,244,13/04/2009 00:00:00,11/05/2009 00:00:00,11/05/2009 00:00:00,"B7138A","1",,10,04/05/2009 12:08:26,0
63,218,07/05/2009 00:00:00,06/05/2009 00:00:00,13/05/2009 00:00:00,"15682877","90",11/05/2009 00:00:00,10,07/05/2009 16:47:58,0
65,235,27/05/2009 00:00:00,11/06/2009 00:00:00,16/06/2009 00:00:00,"5750193936","7471",12/06/2009 00:00:00,10,06/07/2009 13:22:03,0
66,235,27/05/2009 00:00:00,01/06/2009 00:00:00,04/06/2009 00:00:00,"5750193937","7464",13/06/2009 00:00:00,10,06/07/2009 13:23:56,0
67,235,27/05/2009 00:00:00,01/06/2009 00:00:00,04/06/2009 00:00:00,"5750193938","7471",12/06/2009 00:00:00,10,06/07/2009 13:25:52,0
71,250,06/04/2009 00:00:00,26/06/2009 00:00:00,26/06/2009 00:00:00,"1","1",,10,06/07/2009 14:55:49,0
73,256,,,,,,,10,06/07/2009 15:01:34,0
77,248,,,,,,,10,06/07/2009 17:10:13,0
78,256,,,,,,,10,07/07/2009 12:08:14,0
80,255,11/06/2009 00:00:00,28/06/2009 00:00:00,30/06/2009 00:00:00,"236","1",,1,13/07/2009 15:19:56,0
