"IdPedidosRealesDet","IdPedidosReales","IdPedidosDet","CantidadPR","CantidadEnviada","CantidadEntregadaReal","Empaques"
1,1,940,64,,0,0
2,2,940,64,,0,0
3,3,940,2064,,0,0
4,4,940,1248,,0,0
5,5,940,2048,,0,0
6,6,940,1648,,0,0
7,7,940,2368,,0,0
8,8,877,64,,0,0
9,9,877,1120,,0,0
10,10,877,640,,0,0
11,11,877,1088,,0,0
12,12,877,896,,0,0
13,13,877,1216,,0,0
14,14,809,16,,0,0
15,14,810,16,,0,0
16,14,811,0,,0,0
17,14,812,16,,0,0
18,14,813,0,,0,0
19,15,809,16,,0,0
20,15,810,16,,0,0
21,15,811,0,,0,0
22,15,812,0,,0,0
23,15,813,0,,0,0
24,16,809,16,,0,0
25,16,810,16,,0,0
26,16,811,16,,0,0
27,16,812,0,,0,0
28,16,813,0,,0,0
29,17,809,512,,0,0
30,17,810,512,,0,0
31,17,811,416,,0,0
32,17,812,368,,0,0
33,17,813,80,,0,0
34,18,809,320,,0,0
35,18,810,320,,0,0
36,18,811,256,,0,0
37,18,812,272,,0,0
38,18,813,144,,0,0
39,19,809,496,,0,0
40,19,810,496,,0,0
41,19,811,352,,0,0
42,19,812,416,,0,0
43,19,813,16,,0,0
44,20,809,416,,0,0
45,20,810,416,,0,0
46,20,811,368,,0,0
47,20,812,176,,0,0
48,20,813,112,,0,0
84,28,958,0,,,0
85,28,959,112,112,112,0
86,28,960,112,112,112,0
87,28,961,128,128,128,0
88,28,983,0,,0,0
89,29,958,0,,0,0
90,29,959,48,48,48,0
91,29,960,48,48,48,0
92,29,961,64,64,64,0
93,29,983,0,,0,0
94,30,958,32,32,32,0
95,30,959,16,16,16,0
96,30,960,16,16,16,0
97,30,961,16,16,16,0
98,30,983,16,16,16,0
99,31,958,1104,1104,1104,0
100,31,959,784,784,784,0
101,31,960,800,800,800,0
102,31,961,1296,1296,1296,0
103,31,983,1568,1568,1568,0
104,32,958,208,208,208,0
105,32,959,256,256,256,0
106,32,960,256,256,256,0
107,32,961,272,272,272,0
108,32,983,160,160,160,0
109,33,958,1136,1008,1008,0
110,33,959,416,416,416,0
111,33,960,368,368,368,0
112,33,961,544,544,544,0
113,33,983,720,720,720,0
134,37,892,648,648,648,0
135,37,893,0,0,0,0
136,37,894,0,0,0,0
137,37,895,324,324,324,0
138,37,896,324,324,324,0
139,37,897,0,0,0,0
146,39,925,0,0,0,0
147,39,926,0,0,0,0
148,39,927,0,0,0,0
149,39,928,318,318,318,0
150,39,929,0,0,0,0
221,55,962,240,240,240,0
222,55,963,528,528,528,0
223,55,964,528,528,528,0
224,55,965,528,528,448,0
225,55,984,240,240,208,0
226,56,962,1520,1520,1520,0
227,56,963,1936,1936,1936,0
228,56,964,1936,1936,1936,0
229,56,965,1936,1936,1936,0
230,56,984,1520,1520,1520,0
231,57,994,3117,3117,3117,0
232,57,995,3123,3123,3123,0
233,57,996,0,0,0,0
234,57,997,0,0,0,0
235,58,1014,9120,9120,9162,0
236,59,1019,11940,12102,12102,0
237,60,998,660,660,660,0
238,60,999,301,301,301,0
239,60,1000,1621,1621,1621,0
240,60,1001,2462,2462,2462,0
241,61,998,173,173,173,0
242,61,999,37,37,37,0
243,61,1000,262,262,262,0
244,61,1001,472,472,472,0
245,62,994,942,942,703,0
246,62,995,946,942,704,0
247,62,996,0,0,0,0
248,62,997,0,0,0,0
249,63,892,0,0,0,0
250,63,893,342,330,330,0
251,63,894,684,653,653,0
252,63,895,0,0,0,0
253,63,896,0,0,,0
254,63,897,684,646,646,0
261,65,966,32,32,32,0
262,65,967,32,32,32,0
263,65,968,32,32,32,0
264,65,969,32,32,32,0
265,65,985,32,32,32,0
266,66,966,1392,1392,1392,0
267,66,967,1952,,,0
