"IdProm_Codigos","ModeloProm","CodigoProm","Proveedor","IdPrenda","IdGenero","Consecutivo","IdPartida","Precio","Precio2","Foto1","Foto2","CostoUS","CantidadRec","IdUsuarios"
1,"C4301","738C430101199","738","C",4,301,1,169,199.00,"C4301a","C4301b",19.50,297,
2,"C4001","738C400101199","738","C",4,1,1,169,199.00,"C4001a","C4001b",19.50,46,
3,"C4302","738C430201169","738","C",4,302,1,149,169.00,"C4302a","C4302b",15.50,412,
4,"L4301","738L430101319","738","L",4,301,1,269,319.00,"L4301a","L4301b",32.50,118,
5,"L4302","738L430201199","738","L",4,302,1,169,199.00,"L4302a","L4302b",19.50,21,
6,"F4001","738F400101349","738","F",4,1,1,299,349.00,"F4001a","F4001b",34.50,53,
7,"W4301","738W430101319","738","W",4,301,1,269,319.00,"W4301a","W4301b",32.50,185,
8,"W4001","738W400101249","738","W",4,1,1,209,249.00,"W4001a","W4001b",24.50,31,
9,"S4301","738S430101349","738","S",4,301,1,299,349.00,"S4301a","S4301b",36.50,27,
10,"C6303","738C630301199","738","C",6,303,1,,199.00,"C6303a","C6303b",19.50,87,
11,"C6304","738C630401169","738","C",6,304,1,149,169.00,"C6304a","C6304b",17.50,142,
12,"C6305","738C630501149","738","C",6,305,1,129,149.00,"C6305a","C6305b",15.50,223,
13,"L6001","738L600101249","738","L",6,1,1,209,249.00,"L6001a","L6001b",24.50,14,
14,"L6303","738L630301199","738","L",6,303,1,169,199.00,"L6303a","L6303b",19.50,91,
15,"L6304","738L630401169","738","L",6,304,1,149,169.00,"L6304a","L6304b",17.50,248,
16,"W6302","738W630201249","738","W",6,302,1,209,249.00,"W6302a","W6302b",24.50,168,
17,"S6001","738S600101349","738","S",6,1,1,299,349.00,"S6001a","S6001b",36.50,7,
18,"C6306","73802149C6306","738","C",6,306,2,129,149.00,"C6306a","C6306b",15.50,2000,2
19,"C4002","73802149C4002","738","C",4,2,2,129,149.00,"C4002a","C4002b",15.50,3700,2
20,"C4003","73802149C4003","738","C",4,3,2,129,149.00,"C4003a","C4003b",15.50,1750,2
21,"C4307","73802149C4307","738","C",4,307,2,129,149.00,"C4307a","C4307b",15.50,1000,2
22,"L6305","73802249L6305","738","L",6,305,2,209,249.00,"L6305a","L6305b",24.50,65,1
23,"L4305","73802199L4305","738","L",4,305,2,,199.00,"L4305a","L4305b",19.50,500,1
24,"C4308","73802199C4308","738","C",4,308,2,169,199.00,"C4308a","C4308b",19.50,500,1
25,"L4307","73802249L4307","738","L",4,307,2,209,249.00,"L4307a","L4307b",24.50,300,1
26,"S4302","73802399S4302","738","S",4,302,2,349,399.00,"S4302a","S4302b",36.50,300,1
27,"S4303","73802399S4303","738","S",4,303,2,349,399.00,"S4303a","S4303b",36.50,200,1
28,"L4308","73802299L4308","738","L",4,308,2,249,299.00,"L4308a","L4308b",29.50,100,1
29,"S6304","73802349S6304","738","S",6,304,2,289,349.00,"S6304a","S6304b",32.50,100,1
30,"C6309","73802199C6309","738","C",6,309,2,169,199.00,"C6309a","C6309b",19.50,100,1
