"IdProm_Entregas","Fecha","NumeroEntrega"
1,19/12/2012 00:00:00,2
2,20/12/2012 00:00:00,3
3,07/01/2013 00:00:00,4
4,10/12/2012 00:00:00,1
5,09/01/2013 00:00:00,5
6,15/01/2013 00:00:00,6
7,16/01/2013 00:00:00,7
8,22/01/2013 00:00:00,8
9,23/01/2013 00:00:00,9
10,30/01/2013 00:00:00,10
11,05/02/2013 00:00:00,11
12,06/02/2013 00:00:00,12
13,20/02/2013 00:00:00,13
14,06/03/2013 00:00:00,14
15,26/03/2013 00:00:00,15
16,10/04/2013 00:00:00,16
17,15/04/2013 00:00:00,17
18,02/10/2013 00:00:00,18
19,23/10/2013 00:00:00,19
20,08/11/2013 00:00:00,20
21,25/11/2013 00:00:00,21
22,27/11/2013 00:00:00,22
