"IdProm_ExisFecha","CodigoExis","Tienda","CantExis"
1,"73802149C6314",21,67
1,"73802149C6314",33,48
1,"73802149C6314",22,19
1,"73802169C4320",12,13
1,"73802169C4320",34,50
1,"73802169C4320",2,10
1,"73802169C4320",5,38
1,"73802169C4320",16,21
1,"73802169C4320",18,1
1,"73802169C4320",29,108
1,"73802169C4320",4,3
1,"73802169C4320",31,48
1,"73802169C4320",11,13
1,"73802169C4320",17,60
1,"73802169C4320",43,24
1,"73802169C4320",21,45
1,"73802169C4320",28,9
1,"73802169C4320",48,20
1,"73802169C4320",36,25
1,"73802169C4320",70,60
1,"73802169C4320",22,126
1,"73802169C4320",33,20
1,"73802169C4320",46,12
1,"73802169C4320",30,48
1,"73802169C6004",24,61
1,"73802169C6004",2,60
1,"73802169C6004",36,81
1,"73802169C6004",35,49
1,"73802169C6004",5,34
1,"73802169C6004",40,52
1,"73802169C6004",17,61
1,"73802169C6004",30,50
1,"73802169C6004",20,54
1,"73802169C6004",26,60
1,"73802169C6004",50,42
1,"73802169C6004",19,70
1,"73802169C6004",1,64
1,"73802169C6004",47,51
1,"73802169C6004",15,49
1,"73802169C6004",37,48
1,"73802169C6004",29,50
1,"73802169C6004",3,61
1,"73802169C6004",7,24
1,"73802169C6004",33,47
1,"73802169C6004",14,60
1,"73802169C6004",31,51
1,"73802169C6004",22,100
1,"73802169C6004",48,124
1,"73802169C6004",32,47
1,"73802169C6004",70,17
1,"73802169C6004",28,47
1,"73802169C6004",46,73
1,"73802169C6004",11,54
1,"73802169C6004",42,60
1,"73802169C6004",44,47
1,"73802169C6004",21,109
1,"73802169C6004",49,48
1,"73802169C6004",18,28
1,"73802169C6004",45,99
1,"73802169C6004",27,60
1,"73802169C6004",4,58
1,"73802169C6004",25,47
1,"73802169C6004",34,100
1,"73802169C6004",39,48
1,"73802169C6004",23,50
1,"73802169C6004",12,48
1,"73802169C6004",41,48
1,"73802169C6004",10,62
1,"73802169C6004",16,58
1,"73802169C6004",43,50
1,"73802169C6005",23,19
1,"73802169C6005",16,5
1,"73802169C6005",10,25
1,"73802169C6005",5,50
1,"73802169C6005",22,16
1,"73802169C6005",48,24
1,"73802169C6005",43,24
1,"73802169C6005",25,20
1,"73802169C6005",41,40
1,"73802169C6005",44,26
1,"73802169C6005",46,65
1,"73802169C6005",40,36
1,"73802169C6005",32,52
1,"73802169C6005",2,14
1,"73802169C6005",34,23
1,"73802169C6005",39,25
1,"73802169C6005",4,31
1,"73802169C6005",35,22
1,"73802169C6005",11,20
1,"73802169C6005",14,49
1,"73802169C6005",47,16
1,"73802169C6005",15,23
1,"73802169C6005",70,14
1,"73802169C6005",30,1
1,"73802169C6005",1,29
1,"73802169C6005",27,21
1,"73802169C6005",26,19
1,"73802169C6310",2,10
1,"73802169C6310",10,5
1,"73802169C6310",50,45
1,"73802169C6310",29,11
1,"73802169C6310",46,119
1,"73802169C6310",4,5
1,"73802169C6310",14,24
1,"73802169C6310",1,3
1,"73802169C6310",22,5
1,"73802169C6317",3,4
1,"73802169C6317",37,2
1,"73802169C6317",14,20
1,"73802169C6317",10,32
1,"73802169C6317",33,3
1,"73802169C6317",42,16
1,"73802169C6317",24,6
1,"73802169C6317",11,31
1,"73802169C6317",70,17
1,"73802169C6317",26,16
1,"73802169C6317",15,27
1,"73802169C6317",2,51
1,"73802169C6317",12,27
1,"73802169C6317",36,31
1,"73802169C6317",16,3
