"IdPrenda","Prenda","ConsecUNO","ConsecVARIOS","ConsecENSALADA"
"A","Pantalon",4,302,700
"B","Blusa",10,307,700
"C","Playera Manga Corta",5,331,700
"D","Falda",2,306,700
"E","Bermuda",0,307,700
"F","Polo Manga Larga",1,303,700
"H","Chaleco",0,301,700
"I","Pijama",0,301,700
"J","Jeans",0,305,700
"L","Playera Manga Larga",1,333,700
"M","Camisa",1,301,700
"N","Pants",1,315,700
"P","Playera Polo",2,304,700
"R","Chamarra",5,301,700
"S","Sudadera",6,314,700
"T","Short",1,302,700
"W","Sueter",1,306,700
"Y","Malla",6,303,700
