"NumTda","NombreTda"
1,"COAPA"
2,"TOLUCA"
3,"VILLAHERMOSA"
4,"QUERETARO"
5,"GUADALAJARA"
6,"EMY"
7,"VILLAHERMOSA2"
8,"STA ANITA"
9,"LA VIGA"
10,"LEON"
11,"AJUSCO"
12,"ARBOLEDAS"
13,"NICOLAS ROMERO"
14,"GUADALAJARA2"
15,"PUEBLA"
16,"ARAGON"
17,"EDUARDO MOLINA"
18,"PUEBLA 2"
19,"MONTERREY"
20,"LERMA"
21,"IXTAPALUCA"
22,"CUERNAVACA"
23,"MONTERREY 2"
24,"NEZAHUALCOYOTL"
25,"CENTRAL PROMODA"
26,"PACHUCA"
27,"TEXCOCO"
28,"CUAUTLA"
29,"ECATEPEC"
30,"CUAUTITLAN"
31,"SANTIN"
32,"LAGO DE GUADALUPE"
33,"CUAUTITLAN IZCALLI"
34,"ARBOLEDAS2"
35,"MOLINITO PROMODA"
36,"CANCUN PROMODA"
37,"TLAXCALA"
38,"PUEBLA 3"
39,"SATELITE"
40,"MONTERREY 3"
41,"ATLACOMULCO"
42,"ARKANA"
43,"GUADALAJARA 3"
44,"CANDILES"
45,"BUENAVISTA"
46,"LERMA 2"
47,"SAN JUAN DEL RIO"
48,"ROSARIO"
49,"CHIMALHUACAN"
50,"COACALCO"
70,"URBAN OUTLET PUEBLA"
71,"URBAN LERMA"
72,"URBAN AGUASCALIENTES"
75,"AGUASCALIENTES 2"
76,"MERIDA 1"
77,"MERIDA 2"
78,"ECATEPEC 2"
