"IdProveedor","Proveedor","Telefono","Condiciones","Contacto","RazonSocialProv","TipoProv"
1,"Eticobar","55-1372-4996","Contado","Rosa Maria","Eticobar SA de Cv","H"
2,"Com. D'Omar","58611031","30  dias","Victor Fernandez",,
3,"Inteltex","57611133","45 Dias","Moises Roffe",,
4,"Cintas y Elasticos","55 53 59 22 96","Contado","Sr. Pascual /Ing Gutierrez","Cintas y Elasticos CYNTEP SA de CV","H"
5,"FullPlast","53597900/5911","60 Dias","Sergio Vargas",,
6,"Loma Textil","(347) 788-2155","105 Dias","Rodolfo Giles",,"T"
7,"Gerardo Monta§o","5799,3347","45 Dias","Sr. Monta§o/ G. Chavez",,
8,"Cierres Johan","5640,9220",,"Miguel A. Flores",,
9,"Bordados Internacion","5576 1055",,"Hilda Jimenez",,
10,"AL-Vicza, SA de CV","53217767","30 Dias","Erick Ruiz",,
11,"Imagen Impresa","5357.4505,  06",,"Viviana S†nchez","Mauricio Ortiz G.",
12,"Bosaro, S.A.","2163.6004","30 Dias","Srita. Sugarazo",,
13,"Transportes Alduci","53-16-00-47",,"Sr.Arturo Alduci",,
15,"Transportes Benito","55-76-44-36",,"Sr.Roman Martinez",,
16,"Transportes Esyer","01-77-87370085",,"Josefina,Erasmo,Efren Ordaz",,
17,"Trans.Con Todo","53-60-22-67",,"Ing.Ricardo Trejo",,
18,"Etiflex","5354.1700","Contado","Sr. Jorge Gonz†lez","Etiflex SA de CV",
19,"JaberMex","2451.5575","Contado","Sr. Alejandro Flores",,
20,"Bordados Jay SA de C","5358.6365","contado","Marcos Betech",,
21,"Mexicana no tejidos","55-96-20-70","cheque a 30 dias","Elvira Juarez",,
22,"Trans.Aculco","01718 1240219",,"Javier Gonzalez Camarena",,
23,"Ganon","5522.70.25","Contado","Srita. Nataly","Distribuidora de Cintas y Herrajes SA de CV",
24,"Artistec Etiquetas","5541.8524","Contado","Sra. Soledad Escamilla","Artistec Etiquetas, S.A. de C.V.",
25,"Transp.Camacho","014272721881",,"Jesus Camacho",,
26,"Transp.Camacho","01427-2721881",,"Jesus Camacho",,
27,"Paxar de Mexico SA","5999.7800","Contado","Miguel A. Castellanos","Paxar de MÇxico, S.A. de C.V.",
28,"Flejes y Emp. Lezama","5358.4839",,"Sr. Cuevas",,
29,"Disart","5254.1057",,"Guillermo Garcia",,
30,"Cierres  Omega de M.","5576.0956","Contado","RubÇn Murua","Cierres Omega de MÇxico, S.A. De C.V.",
31,"Hilos Ent. y Ganchos","5709.9597","Contado","Srita. Teresa G¢mez",,
32,"TRANS-PORTA","10-88-80-15",,"EUGENIO PORTA",,
33,"Etimex","5514.5122","Contado","Alma y/o Yolanda Vargas",,
34,"Jose Luis Paredes","5359-6231","Contado Tor.y Traile","Jose Luis Paredes",,
