"IdRC_ProcUsua","IdCP_Procesos","IdRC_TipoUsuarios"
1,1,1
2,2,1
3,2,18
4,3,1
5,3,18
6,4,1
7,4,3
8,5,1
9,6,1
11,7,1
12,7,18
13,8,1
14,8,7
15,9,1
16,9,19
17,10,1
18,10,19
19,11,1
20,11,18
21,13,1
22,13,13
23,14,1
24,14,3
25,15,1
26,15,8
27,16,1
28,16,9
29,17,1
30,17,5
31,18,1
32,18,8
33,19,1
34,19,8
35,20,1
36,20,9
37,21,1
38,21,5
39,22,1
40,22,13
41,23,1
42,23,6
43,24,1
44,24,9
45,25,1
46,25,18
47,26,1
48,26,18
49,27,1
50,27,13
51,28,1
52,28,9
53,29,1
55,30,1
57,31,1
58,32,1
59,32,6
60,31,9
61,5,9
62,12,1
63,12,5
64,33,1
65,33,6
77,6,18
78,29,8
79,30,13
86,1,18
87,19,13
88,18,13
