"IdRecibos","IdOrdenes","Fecha","Cantidad","IdMaquileros","Observaciones","TipoPrendas","Inventariado"
1,8,26/04/2005 00:00:00,1861,2,,,1
2,2,25/04/2005 00:00:00,1221,231,,,1
3,2,23/01/2018 00:00:00,,0,,,1
4,3,25/04/2005 00:00:00,1420,2,,,1
5,4,26/04/2005 00:00:00,1668,2,,,1
6,7,27/04/2005 00:00:00,1201,2,,,1
7,10,25/04/2005 00:00:00,777,2,,,1
8,12,11/05/2005 00:00:00,1113,2,,,1
9,13,06/05/2005 00:00:00,760,2,,,1
10,13,,,0,,,1
11,15,09/05/2005 00:00:00,1115,2,,,1
12,11,25/04/2005 00:00:00,1112,2,,,1
13,40,12/07/2005 00:00:00,840,1,"P/List.320",,1
14,43,12/07/2005 00:00:00,588,1,"P/List.316",,1
15,44,12/07/2005 00:00:00,168,1,"P/List.316",,1
16,42,12/07/2005 00:00:00,396,,"ENTREGO INTERSEW P.L. 316",,1
17,42,12/07/2005 00:00:00,792,,"ENTREGO INTERSEW P.L. 320",,1
18,40,12/07/2005 00:00:00,588,1,"P/List.316",,1
19,43,12/07/2005 00:00:00,840,1,"P/List.320",,1
20,44,12/07/2005 00:00:00,792,1,"P/List.320",,1
21,44,,,0,,,1
22,48,18/07/2005 00:00:00,18,,"ESTAMPO MAL OSCAR HDZ. Y SE LE COBRARON",,1
23,54,17/08/2005 00:00:00,4,,"P/laboratorio rem.44",,1
24,17,25/05/2005 00:00:00,780,1,"P.List 247",,1
25,17,25/08/2005 00:00:00,1212,1,"P.List 248",,1
26,18,25/05/2005 00:00:00,840,1,"P.List 247",,1
27,18,25/05/2005 00:00:00,1152,1,"P.List 248",,1
28,19,25/05/2005 00:00:00,864,1,"P.List 247",,1
29,19,25/05/2005 00:00:00,1104,1,"P.List 248",,1
30,20,25/05/2005 00:00:00,840,1,"P.List 247",,1
31,20,25/05/2005 00:00:00,1116,1,"P.List 248",,1
32,20,30/08/2005 00:00:00,3,1,"P.L.384",,1
33,21,25/05/2005 00:00:00,780,1,"P.List 247",,1
34,21,25/05/2005 00:00:00,1188,1,"P.List 1188",,1
35,22,25/05/2005 00:00:00,780,1,"P.List 247",,1
36,22,25/05/2005 00:00:00,1188,1,"P.List 248",,1
37,23,25/05/2005 00:00:00,840,1,"P.List 247",,1
38,23,25/05/2005 00:00:00,1140,1,"P.List 248",,1
39,24,25/05/2005 00:00:00,864,1,"P.List 247",,1
40,24,25/05/2005 00:00:00,1116,1,"P.List 248",,1
