"IdSalidasDet","IdSalidas","IdTelasColAlm","TelaSal1","TelaSal2"
1,1,45,624.77,0.00
2,2,219,288.71,21.00
3,3,171,237.46,0.00
4,4,45,543.64,0.00
5,5,219,13.00,70.99
6,6,45,1005.46,0.00
7,7,223,351.17,0.00
8,7,219,15.00,42.00
9,8,219,358.52,21.00
10,8,221,140.50,0.00
11,9,219,365.80,21.00
12,10,167,124.09,0.00
13,11,301,510.39,0.00
14,12,41,16.00,0.00
15,13,219,0.00,69.68
16,14,301,1004.75,0.00
17,15,41,26.00,0.00
18,16,219,387.92,0.00
19,16,221,0.00,8.00
20,17,221,0.00,13.43
21,18,221,457.42,0.00
22,18,219,0.00,19.80
23,19,181,33.82,0.00
24,20,1,153.04,0.00
25,20,33,18.00,0.00
26,21,55,148.50,0.00
27,21,53,0.00,16.10
28,22,249,0.00,20.69
29,23,115,22.00,0.00
30,24,1,93.93,0.00
31,24,33,14.68,0.00
32,25,55,95.73,7.35
33,26,133,20.40,0.00
34,26,135,20.35,0.00
35,27,1,0.00,7.00
36,28,1,100.25,0.00
37,28,19,34.80,0.00
38,29,129,72.40,0.00
39,30,1,276.10,0.00
40,31,51,20.15,0.00
41,32,133,13.32,0.00
42,32,129,37.30,0.00
43,33,169,61.39,0.00
44,33,173,76.20,0.00
45,33,177,8.80,0.00
46,34,49,0.00,4.00
47,35,1,0.00,6.50
48,36,1,60.71,0.00
49,36,19,17.00,0.00
50,37,129,20.00,0.00
51,38,203,75.60,0.00
52,39,221,73.43,0.00
53,40,33,0.00,4.40
54,40,1,0.00,4.50
55,41,213,516.65,0.00
56,42,69,0.00,18.75
57,43,103,689.11,0.00
58,44,45,558.97,0.00
59,45,219,276.91,0.00
60,46,183,14.78,0.00
61,47,97,179.48,9.80
62,47,85,168.54,0.00
63,47,99,10.50,0.00
64,48,45,0.00,1.37
65,49,129,0.00,10.00
66,50,85,270.88,0.00
67,50,97,211.33,0.00
68,51,231,91.60,0.00
69,52,101,140.81,0.00
70,53,21,0.00,66.79
71,54,101,252.92,0.00
72,54,91,88.26,0.00
73,55,21,0.00,25.38
74,56,167,300.69,0.00
75,57,75,0.00,11.25
76,58,91,261.54,0.00
77,59,183,9.54,0.00
78,60,173,302.59,0.00
79,61,61,0.00,20.10
80,62,173,564.23,0.00
81,63,61,0.00,39.93
82,64,91,503.00,13.72
83,65,39,169.40,0.00
84,65,47,57.12,0.00
85,66,91,503.12,0.00
86,67,183,28.99,0.00
87,68,103,283.90,0.00
88,69,41,227.13,0.00
89,70,159,51.95,0.00
90,71,424,327.40,16.80
91,71,420,27.10,0.00
92,71,417,9.50,0.00
93,72,417,276.65,0.00
94,73,363,0.00,24.80
95,74,424,353.61,0.00
96,74,420,129.03,0.00
97,75,363,0.00,28.20
98,77,356,531.90,0.00
99,77,355,48.13,0.00
100,78,417,27.90,0.00
101,79,378,240.54,51.10
102,79,381,159.70,52.20
103,79,386,104.27,0.00
104,80,381,117.80,0.00
105,80,378,116.10,0.00
106,81,381,264.32,0.00
107,81,378,260.50,0.00
108,82,381,288.43,22.90
109,82,375,195.01,0.00
110,82,378,89.99,23.80
111,83,383,117.65,0.00
112,83,385,119.00,0.00
113,84,383,238.80,31.80
114,84,385,242.20,31.50
115,85,383,257.96,0.00
116,85,385,247.77,0.00
117,86,356,15.90,0.00
118,87,410,32.30,0.00
119,88,385,242.20,0.00
