"IdTelas","Nombre","Descripcion","Medida","Texto1","Texto2","Favorito","PrecioSugerido","Activa","IdTelasCategorias"
1,"Alsatex100","Felpa 100% Poliester",1,"Felpa","Cardigan",1,57.00,0,
2,"Alsatex Terry 100","French Terry 100% Poliester",1,"Terry","Cardigan",1,54.00,0,
3,"Alsatex Felpa 50","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,68.00,1,15
4,"Alsatex Terry 50","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",0,107.00,1,1
5,"B&S Industrias","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,68.00,0,
6,"Becktel 50","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,66.00,0,
7,"Becktel Terry 50","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,64.00,0,
8,"Cardigan Marilyn","Cardigan",1,"Tela 1","Cardigan",1,0.00,0,
9,"Chedraui","Felpa 50% Poliester 50% Algod¢n",1,"Felpa","Cardigan",1,43.00,0,
10,"Alsatex Chifon 50","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,68.00,0,
11,"Atletica Chifon","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,20.00,0,
12,"Chifon Becktel","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,66.00,0,
13,"Chifon Miro","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,64.00,0,
14,"Chifon Sekine","Chifon 50% Poliester 50% Algod¢n",1,"Chifon","Cardigan",1,57.00,0,
15,"Chifon T. Marcos","Chifon 50% Poliester 50% Algod¢n",1,"Chifon",,1,64.00,0,
16,"Miro Terry Alg/Pol","French Terry 50% Poliester 50% Algod¢n",1,"Terry","Cardigan",1,77.00,0,1
17,"Nylon Atletica","Nylon 100 %",0,"Nylon",,1,0.00,0,
18,"Paraiso 100","Felpa 100% Poliester",1,"Felpa","Cardigan",1,44.50,0,
19,"Atletica Polar","100 % Poliester",1,"Polar",,1,0.00,0,
