"IdTelasCategorias","CategoriaTela","Descripcion"
1,,"French Terry 50% Algod¢n / 50% Poliester"
2,"French Terry Licra","French Terry con Elastano"
3,"Algod¢n / Licra","Algod¢n / Licra"
4,"Algod¢n / Poliester / Licra","Algod¢n / Poliester / Licra"
5,"Chifon","Chifon diferentes composiciones"
6,"Poliester Microfibra Conjuntos","Poliester para conjuntos"
7,"Felpa poliester 100","Felpas 100% Poliester (Baratas)"
8,"Poliester Playeras Economicas","Poliester 100% Tipo Universo"
9,"Poliester Microfibra Playeras","Poliester Microfibra 100%"
10,"Varios","Varios"
11,"Polar 100% Poliester","Polar 100% Poliester"
12,"Rib Algod¢n","Rib 100% Algod¢n"
13,"Mesh","Mesh Varias composiciones"
14,"Nylon / Licra","Nylon / Lycra"
15,"Felpa 50/50","Felpa 50% Algod¢n 50% Poliester"
16,"Cardigan 50/50","Cardigan 50% Algod¢n 50% Poli‚ster"
17,"CHIFON","Chifon 50% Algod¢n 50% Poi‚ster"
18,"Felpa poliester  viscosa","Felpa 70% poliester 30% viscosa"
19,"Felpa  poliester  algodon","Felpa 70& poliester 30% algodon"
20,"Poliester","100% 260 grs."
21,"Lulu lemon p","95% poliester 5% elastano"
