"IdTelasColores","IdTelas","Color","Precio"
1,1,"Marino",57.00
2,1,"Acero",53.00
3,1,"Blanco",53.00
4,1,"Botella",53.00
5,1,"Gris",53.00
6,1,"Jaspe",53.00
7,1,"Kiwi",53.00
8,1,"Menta",53.00
9,1,"Morado",53.00
10,1,"Naranja",53.00
11,1,"Negro",53.00
12,1,"Olivo",53.00
13,1,"Oxford",53.00
14,1,"Paja",53.00
15,1,"Plumbago",53.00
16,1,"Rey",53.00
17,1,"Rojo Tonos",53.00
18,1,"Rosa",53.00
19,1,"V. Militar",53.00
20,2,"Avena",54.00
21,2,"Blanco",54.00
22,2,"Gris",54.00
23,2,"Marino",54.00
24,2,"Rojo",54.00
25,3,"Acero",68.00
26,3,"Blanco",68.00
27,3,"Cielo",68.00
28,3,"Jaspe",65.00
29,3,"Ladrillo",68.00
30,3,"Lila",68.00
31,3,"Marino",85.00
32,3,"Menta",68.00
33,3,"Naranja",68.00
34,3,"Negro",75.00
35,3,"Oxford",75.00
36,3,"Rey",63.00
37,3,"Rey Palido",68.00
38,3,"Rojo",75.00
39,3,"Rosa",68.00
40,4,"Agua",68.00
41,4,"Blanco",68.00
42,4,"Cielo",78.00
43,4,"Cobalto",68.00
44,4,"Coral",68.00
45,4,"Fiusha",78.00
46,4,"Jaspe",78.00
47,4,"Lila",68.00
48,4,"Lim•n",68.00
49,4,"Marino",107.00
50,4,"Naranja",78.00
51,4,"Negro",107.00
52,4,"Oxford",68.00
53,4,"Rey",68.00
54,4,"Rojo",68.00
55,4,"Rosa",78.00
56,4,"Turqueza",92.00
57,5,"Blanco",68.00
58,5,"Jaspe",68.00
59,5,"Marino",68.00
60,5,"Naranja",68.00
61,5,"Negro",75.00
62,5,"Paja",68.00
63,5,"Plumbago",68.00
64,5,"Rojo",68.00
65,6,"Acero",66.00
66,6,"Agua",66.00
67,6,"Blanco",66.00
68,6,"Cielo",66.00
69,6,"Jaspe",66.00
70,6,"Marino",66.00
71,6,"Negro",66.00
72,6,"Oro",66.00
73,6,"Oxford",66.00
74,6,"Paja",66.00
75,6,"Rey",66.00
76,6,"Rosa",66.00
77,7,"Acero",64.00
78,7,"Blanco",64.00
79,7,"Jaspe",64.00
80,7,"Oxford",64.00
81,8,"Rosa/Rallas",0.00
82,9,"Jaspe",43.00
83,9,"Marino",43.00
84,10,"Arena",68.00
85,10,"Blanco",68.00
86,10,"Cielo",68.00
87,10,"Jaspe",57.00
88,10,"Marino",68.00
89,10,"Naranja",68.00
90,10,"Oxford",68.00
91,10,"Plumbago",68.00
92,10,"Rojo",68.00
93,10,"Rosa",68.00
94,10,"Turqueza",68.00
95,10,"Verde",68.00
96,11,"Amarillo",20.00
97,11,"Blanco",20.00
98,11,"Marino",20.00
99,11,"Rey",20.00
100,11,"Rojo",20.00
101,11,"Tinto",20.00
102,12,"Blanco",66.00
103,12,"Marino",66.00
104,12,"Oro",66.00
105,12,"Rojo",66.00
106,13,"Blanco",64.00
107,13,"Marino",64.00
108,13,"Oro",64.00
109,13,"Verde",64.00
110,14,"Blanco",57.00
111,14,"Cobalto",57.00
112,14,"Marino",57.00
113,15,"Amarillo",64.00
114,16,"Blanco",77.00
115,16,"Jaspe",77.00
116,16,"Marino",77.00
117,16,"Oro",77.00
118,16,"Verde",77.00
119,17,"Arena",0.00
120,17,"Blanco",0.00
121,17,"Marino",0.00
122,17,"Oxford",0.00
123,17,"Tinto",0.00
124,18,"Acero",44.50
125,18,"Blanco",44.50
126,18,"Botella",44.50
127,18,"Hueso",44.50
128,18,"Jade",44.50
129,18,"Jade Varios",44.50
130,18,"Kaki",44.50
131,18,"Plumbago",44.50
132,18,"Rey",44.50
133,19,"Beige",0.00
134,19,"Marino",0.00
135,19,"Gris",0.00
136,19,"Negro",0.00
137,19,"Niebla Cielo",0.00
138,19,"Rojo",0.00
139,20,"Acero",66.00
140,20,"Blanco",66.00
141,20,"Cielo",66.00
142,20,"Jaspe",66.00
143,20,"Lila",66.00
144,20,"Marino",66.00
145,20,"Naranja",66.00
146,20,"Negro",66.00
147,20,"Oxford",66.00
148,20,"Rey",66.00
149,20,"Rojo",66.00
150,20,"Rosa",66.00
151,21,"Cobalto",60.00
152,22,"Amarillo",44.34
153,22,"Botella",44.34
154,22,"Fiusha",44.34
155,22,"Jade",44.34
156,22,"Jade Varios",44.34
157,22,"Mamey",44.34
158,22,"Oxido",44.34
159,22,"Pera",44.34
160,22,"Rey",44.34
161,22,"Rosa",44.34
162,23,"Coral",53.00
163,23,"Jade",53.00
164,23,"Plumbago",53.00
165,23,"Vino",53.00
166,24,"Lila/Rallas",88.00
167,25,"Marino",62.92
168,25,"Negro",62.92
169,25,"Rojo",62.92
170,25,"Cielo",62.92
171,25,"Hueso",62.92
172,25,"Bandera",62.92
173,25,"Rey",62.92
174,25,"Vino",62.92
175,26,"Blanco",10.37
176,26,"Negro",10.37
177,27,"Marino",23.00
178,27,"Rey",23.00
179,3,"Cobalto",68.00
180,28,"Cielo",34.90
181,28,"Rosa",34.90
182,29,"Marino",22.80
183,29,"Az£l Pizarra",22.80
184,29,"Negro",22.80
185,29,"Jaspe",22.80
186,30,"Blanco",18.29
187,30,"Az£l Holandes",18.29
188,30,"Pl£mbago",18.29
189,30,"Az£l Eclipse",18.29
190,29,"Charo Luna",22.80
191,29,"Marfil",22.80
192,30,"Bruma Marina",18.29
193,29,"Blanco",22.80
194,29,"Rojo",22.80
195,29,"Militar",22.80
196,29,"Naranja",22.80
197,30,"Amarillo",18.29
198,30,"Rojo",18.29
199,30,"Az£l Balada",18.29
200,30,"Marino",18.29
201,30,"Gris Excalibur",18.29
202,29,"Oxford",22.80
203,31,"Chocolate",62.00
205,32,"Naranja",64.35
206,30,"Peltre",18.29
207,33,"Jaspe",30.00
208,33,"Acero",30.00
209,33,"Negro",30.00
210,33,"Marino",30.00
211,33,"Oxford",30.00
212,33,"Blanco",30.00
213,34,"Oxford",42.00
214,34,"Marino",42.00
215,34,"Rojo",42.00
216,30,"Blanco Ostra",19.14
217,30,"Gris de Piedra",19.14
218,30,"Az£l China",18.29
219,30,"Caf‚ Arabe",18.29
220,4,"Naranja Obs",68.00
221,4,"Hueso",68.00
222,4,"Oro",68.00
223,35,"Turqueza",69.00
224,10,"Hueso",68.00
225,10,"Mostaza",68.00
226,10,"Fiusha",68.00
227,36,"Rojo",63.00
228,10,"Rey",68.00
229,10,"Amarillo",70.00
230,10,"Verde Militar",68.00
231,10,"Gris Perla",68.00
232,21,"Cielo",60.00
233,36,"Blanco",63.00
234,36,"Acero",60.00
235,36,"Marino",62.00
236,4,"Acero",68.00
237,37,"Acero",67.00
238,37,"Marino",67.00
239,37,"Blanco",67.00
240,37,"Jaspe",67.00
241,37,"Vino",67.00
242,37,"Verde",67.00
243,36,"Jaspe",60.00
244,36,"Naranja",60.00
245,36,"Verde",60.00
246,36,"Vino",60.00
247,37,"Olivo",67.00
248,37,"Oxford",67.00
249,37,"Naranja",67.00
250,38,"Jaspe",60.00
251,38,"Negro",60.00
252,37,"Cobalto",67.00
253,37,"Rojo",67.00
254,36,"Cobalto",60.00
255,36,"Negro",60.00
256,39,"Blanco",54.78
257,39,"Marino",54.78
258,39,"Rojo",54.78
259,39,"Rey",54.78
260,39,"V,Bandera",54.78
261,21,"Rey",60.00
262,38,"Naranja",60.00
263,25,"Blanco",62.92
264,40,"Rojo",38.00
266,10,"Negro",75.00
267,10,"Caf‚",68.00
268,10,"Militar",68.00
269,10,"Chicle",68.00
270,21,"Negro",60.00
271,21,"Jaspe",60.00
272,37,"Rosa",67.00
273,41,"Oxford",70.00
274,41,"Negro",70.00
275,41,"Rojo",70.00
276,41,"Naranja",70.00
277,41,"Hueso",59.00
278,38,"Marino",60.00
279,41,"Marino",70.00
280,41,"Cobalto",70.00
281,42,"Chocolate",65.00
282,42,"Arena",65.00
283,42,"Fiusha",65.00
284,42,"Oxford",65.00
285,42,"Mandarina",65.00
286,43,"Rey",50.00
288,42,"Caf‚",65.00
289,3,"Verde",70.00
290,3,"Chocolate",70.00
291,44,"Negro",52.00
292,44,"Naranja",52.00
293,44,"Gris Medio",52.00
294,44,"V.Botella",52.00
295,44,"Blanco",52.00
296,39,"Negro",54.78
297,39,"Naranja",54.78
298,42,"Negro",46.00
299,21,"Marino",60.00
300,3,"Pizarra",70.00
301,44,"Marino",52.00
302,42,"Jaspe",46.00
303,45,"Botella",58.00
304,45,"Marino",69.00
305,21,"Rosa",60.00
306,44,"Rey",52.00
307,44,"Rojo",52.00
308,46,"Jaspe",56.00
309,46,"Blanco",42.00
310,46,"Rey",62.00
311,46,"Marino",62.00
312,46,"Rojo",38.00
313,46,"Caf‚",62.00
314,47,"Verde",49.50
315,48,"Verde",47.50
316,14,"Jaspe",57.00
317,47,"Marino",58.56
318,47,"Blanco",45.59
319,47,"Negro",58.61
320,42,"Marino",46.00
321,42,"Cielo",65.00
322,44,"Oxford",52.00
323,44,"Gris Perla",52.00
324,42,"Rosa",65.00
325,48,"Blanco",44.50
326,48,"Rojo",55.00
327,47,"Rojo",54.50
328,49,"Oxford",51.66
329,3,"Arena",68.00
330,42,"Rey",65.00
331,50,"Marino",57.00
333,49,"Marino",51.28
334,49,"Jaspe",51.28
335,1,"Rojo",57.00
336,21,"Blanco",60.00
337,48,"Acuario",44.50
338,48,"Apio",44.50
339,49,"Naranja",52.50
340,49,"Olivo",51.50
341,49,"Verde",47.50
342,48,"Naranja",47.50
343,48,"Cielo",44.50
344,49,"Cielo",44.50
345,49,"Blanco",42.00
346,49,"Rojo",52.50
347,51,"Amarillo",75.50
348,51,"Verde",64.50
349,52,"Blanco",71.00
350,52,"Marino",71.00
351,53,"V.Apio",61.00
352,42,"Rojo",65.00
353,46,"Cielo",62.00
354,46,"Caf‚",62.00
355,48,"Olivo",47.50
356,49,"Militar",47.50
357,49,"Caf‚",50.00
358,49,"Acero",47.50
359,49,"Negro",52.65
360,3,"Olivo",70.00
361,36,"Oxford",60.00
362,36,"Cielo",60.00
363,37,"Cielo",67.00
364,36,"Rosa",60.00
365,37,"V.Militar",67.00
366,52,"Verde",71.00
367,39,"Oxford",54.78
368,52,"Rojo",71.00
369,56,"Oxford",119.00
370,56,"Blanco",119.00
371,56,"Rojo",150.00
372,14,"Rojo",57.00
373,38,"Rojo",60.00
374,51,"Rojo",75.50
375,51,"Naranja",75.50
376,52,"Cielo",71.00
377,52,"Negro",71.00
378,52,"Oxford",71.00
379,39,"Gris P.",54.78
380,48,"Amarillo",44.50
381,48,"Rosa",44.50
382,57,"Marino",73.50
383,49,"Rey",47.50
384,51,"Marino",50.00
385,51,"Negro",75.50
386,48,"Militar",47.50
387,48,"Estampado",59.33
388,58,"Militar",15.00
390,52,"Turqueza",71.00
391,48,"Jaspe",44.50
392,47,"Jaspe",53.52
393,48,"Oxford",55.00
394,59,"Marino",83.00
395,59,"Negro",83.00
396,59,"Rojo",83.00
397,59,"Gris Perla",83.00
398,59,"Naranja",83.00
399,59,"Blanco",83.00
400,60,"Blanco",8.00
401,59,"Gris Oxford",83.00
402,44,"G.Perla",52.00
403,48,"Negro",55.00
404,48,"Marino",55.00
405,46,"Rosa",54.00
406,46,"Fiusha",64.00
407,48,"G.Perla",47.50
408,39,"Rosa",54.78
409,61,"Marino",46.00
410,61,"Negro",46.00
411,61,"Blanco",46.00
412,61,"Rey",46.00
413,61,"Oxford",46.00
414,47,"Acero",52.50
415,44,"Cielo",52.00
416,44,"Plumbago",52.00
417,62,"Jaspe",56.00
418,46,"Negro",62.00
419,63,"Blanco estampado",45.80
420,63,"Blanco",38.00
421,47,"Olivo",47.00
422,47,"Acero",44.50
423,48,"Acero",42.50
424,62,"Oxford",64.00
425,64,"Negro",50.00
426,64,"Rojo",52.00
427,62,"Rojo",68.00
428,62,"Amarillo",58.00
429,65,"Blanco",68.00
430,66,"Blanco",62.00
431,67,"Marino",70.00
432,68,"Negro",86.00
433,68,"Rojo",86.00
434,68,"Blanco",52.00
435,69,"Rosa",85.00
436,69,"Rojo",85.00
437,69,"Cielo",85.00
438,69,"Negro",85.00
439,69,"Arena",85.00
440,63,"Negro",38.00
441,69,"Blanco",85.00
442,46,"Arena",55.00
443,70,"Blanco",55.00
444,70,"Rosa",55.00
445,70,"Arena",55.00
446,70,"Rojo",65.00
447,70,"Negro",65.00
448,70,"Turqueza",60.00
449,70,"Morado",65.00
450,71,"Morado",87.00
451,49,"Arena",42.50
452,48,"Arena",42.50
453,48,"Caf‚",50.00
454,72,"Blanco",68.00
455,73,"Negro",71.30
456,73,"Blanco",89.56
457,73,"Marino",73.91
458,73,"Rojo",72.17
459,49,"G.Perla",47.50
460,69,"Fiusha",85.00
461,69,"Verde seco",85.00
462,46,"Hueso",44.00
463,46,"Verde manzana",44.00
464,2,"Rey",54.00
465,62,"Verde",50.00
466,74,"Blanco",93.91
467,73,"Naranja",93.91
468,75,"Marino",35.00
469,76,"Amarillo",70.00
470,77,"Gris",72.00
471,77,"Marino",71.39
472,77,"Negro",69.58
473,78,"Rosa Medio",110.00
474,78,"Turqueza",110.00
475,78,"Naranja",110.00
476,77,"Verde Limon",72.00
477,60,"Negro",7.60
479,69,"Marino",85.00
480,79,"Negro",19.00
481,79,"Perla",19.00
482,80,"Negro",16.00
483,73,"Oxford",83.00
484,73,"Gris",83.00
485,77,"Blanco",73.20
486,77,"Turqueza",72.00
487,77,"A.America",72.00
488,77,"Bandera",72.00
489,77,"Rojo",72.00
490,77,"Rey",77.00
491,77,"Naranja",72.00
492,78,"Blanco",96.00
493,81,"Marino",82.60
494,79,"Blanco",19.00
495,82,"Negro",69.00
496,83,"Jaspe",60.00
497,82,"Jaspe",60.00
498,79,"Marino",19.00
499,80,"Marino",6.00
500,84,"Marino",18.00
501,81,"Blanco",73.91
502,41,"Jaspe",60.00
503,42,"Blanco",46.00
504,47,"Oxford",53.78
505,47,"Salmon",53.78
506,64,"Blanco",52.00
507,64,"Rojo",50.00
508,79,"Rey",115.00
509,64,"Marino",52.00
510,7,"Rosa",64.00
511,85,"Blanco Opt.",125.00
512,85,"Naranja",125.00
513,85,"Negro",125.00
514,86,"Blanco Opt.",126.50
515,86,"Naranja",126.50
516,86,"Negro",126.50
517,87,"Blanco Opt.",125.00
518,87,"Negro",125.00
519,88,"Blanco",74.00
520,87,"A.Turqueza",125.00
521,87,"Oxford",125.00
522,85,"A.Turquesa",125.00
523,85,"Lim•n",120.00
524,85,"Oxford",120.00
525,86,"Lim•n",126.50
526,86,"Oxford",126.50
527,89,"Marino",70.00
528,90,"Jaspe",43.00
529,90,"Marino",51.00
530,90,"Negro",51.00
531,85,"Rey",125.00
532,91,"Negro",4.80
533,92,"Negro",16.50
534,92,"Rojo",16.50
535,93,"Negro",6.00
536,94,"Marino",69.00
537,94,"Blanco",69.00
538,95,"Negro",4.60
539,45,"Blanco",62.00
541,45,"Oxford",62.00
542,77,"Acero",69.58
543,77,"Oxford",69.58
544,96,"Blanco",70.69
545,96,"Rojo",70.69
546,97,"Blanco",123.16
547,98,"Blanco",46.00
548,98,"Verde",50.00
549,99,"Blanco",18.00
550,100,"Negro",85.00
551,100,"Blanco",85.00
552,100,"Rojo",85.00
553,101,"Rojo",62.00
554,100,"Morado Claro",85.00
555,100,"Azulon",85.00
556,100,"Verde",85.00
557,100,"Rosa",85.00
558,100,"Marino",85.00
559,21,"Rojo",60.00
560,102,"Blanco",48.00
561,102,"Negro",48.00
562,103,"Marino",58.00
563,103,"Rey",58.00
564,103,"Blanco",58.00
565,104,"Blanco",84.75
566,105,"Blanco",40.00
567,106,"Verde",117.16
568,107,"Marino",95.86
569,104,"Marino",88.70
570,107,"Lim•n",92.17
571,82,"Marino",60.00
572,4,"Magenta",78.00
573,108,"Blanco",65.00
575,96,"Rey",74.13
576,96,"Amarillo america",74.13
577,96,"Verde Selecc",74.13
578,76,"Verde",70.00
579,107,"Negro",96.05
580,107,"Cielo",97.39
581,107,"Blanco",92.16
582,109,"Verde M.",80.01
583,109,"Amarillo",80.01
584,78,"Negro",110.00
585,78,"CafŠ",110.00
586,78,"Morado",110.00
587,78,"Marino",110.00
588,78,"Cobalto",110.00
589,78,"Verde Pato",110.00
590,78,"Gris Medio",103.00
591,78,"Azafata",110.00
592,78,"Marron",110.00
593,109,"Rey Italia",80.01
594,109,"Rojo",80.01
595,109,"Blanco",72.18
596,104,"Fiusha",83.48
597,110,"Marino",75.65
598,110,"Jaspe",73.04
599,110,"Negro",75.65
600,104,"Morado",88.70
601,107,"Rosa",91.30
602,107,"Morado",91.30
603,111,"Rosa",18.00
604,110,"Oxford",75.65
605,110,"Blanco",71.30
606,110,"Rey",75.65
607,110,"Naranja",75.65
608,107,"Fiusha",91.30
609,104,"Negro",88.70
610,112,"Blanco",111.00
611,113,"Blanco",121.70
612,113,"Rey",121.70
613,113,"Verde Mexico",121.70
614,113,"Negro",121.70
615,113,"Rojo",121.70
616,113,"Verde Brasil",121.70
617,113,"Amarillo",121.70
618,114,"Negro",109.80
619,78,"Amarillo",110.00
620,115,"Amarillo",106.00
621,116,"Rey",105.00
622,116,"Negro",105.00
623,116,"Blanco",105.00
624,109,"Jaspe",82.61
625,109,"Marino",80.01
626,109,"Negro",84.48
627,110,"Rojo",73.45
628,96,"Negro",74.13
629,114,"Blanco",109.80
630,96,"Verde Brasil",70.69
631,96,"Azul Brasil",70.69
632,104,"Verde",103.00
633,104,"Rojo",103.00
634,75,"Oro",94.00
635,78,"Verde",90.00
636,96,"Rojo Espa¤a",74.13
637,109,"Mostaza",82.76
638,109,"Amarillo Brsail",82.76
639,117,"Oro",21.00
640,78,"Rojo",0.01
641,118,"Verde Selec.",76.00
642,119,"Blanco",20.00
643,119,"Negro",20.00
644,118,"Negro",76.00
645,96,"Amarillo Brasil",70.69
646,120,"Marino",51.00
647,120,"Rojo",51.00
648,120,"Hueso",51.00
649,120,"Crema",51.00
650,120,"Blanco",51.00
651,120,"Arena",51.00
652,120,"Caf‚",51.00
653,120,"Celeste",51.00
654,120,"Rosa Pastel",51.00
655,120,"Turqueza",51.00
656,120,"Indigo",51.00
657,120,"Gris Medio",51.00
658,120,"Uva",51.00
659,120,"Morado Claro",51.00
660,120,"Morado",51.00
661,120,"Plumbago",51.00
662,120,"Shedron",51.00
663,120,"Militar",51.00
664,120,"Fiusha",51.00
665,120,"Amarillo",51.00
666,121,"Marino",56.03
667,121,"Cielo",56.03
