"IdRC","IdOrdenes","IdCP_Tiempos","IdCP_Procesos","NumProcesoRC","TiempoRC","AntecesorRC","FechaEst","FechaReal","IdUsuario","FechaUsuarioRC","Acumulado"
37,4939,34,8,8,12,"2",28/10/2022 00:00:00,,0,,16
38,4939,35,9,9,12,"1",25/10/2022 00:00:00,,0,,13
39,4939,36,10,10,8,"4",09/11/2022 00:00:00,,0,,24
40,4939,37,11,11,1,"8",31/10/2022 00:00:00,,0,,17
41,4939,38,12,12,12,"11",16/11/2022 00:00:00,,0,,29
42,4939,39,13,13,30,"6",25/11/2022 00:00:00,,0,,36
43,4939,40,14,14,7,"13",06/12/2022 00:00:00,,0,,43
44,4939,41,15,15,3,"13",30/11/2022 00:00:00,06/01/2023 00:00:00,45,06/01/2023 15:04:03,39
45,4939,42,16,16,3,"15",05/12/2022 00:00:00,,0,,42
46,4939,43,17,17,3,"16",08/12/2022 00:00:00,,0,,45
47,4939,44,18,18,1,"17",09/12/2022 00:00:00,19/01/2023 00:00:00,45,19/01/2023 09:23:47,46
48,4939,45,19,19,10,"18",23/12/2022 00:00:00,,0,,56
49,4939,46,20,20,1,"18",12/12/2022 00:00:00,,0,,47
50,4939,47,21,21,1,"17",09/12/2022 00:00:00,,0,,46
51,4939,48,22,22,7,"21",20/12/2022 00:00:00,,0,,53
52,4939,49,23,23,2,"22",22/12/2022 00:00:00,,0,,55
53,4939,50,24,24,2,"23",26/12/2022 00:00:00,,0,,57
54,4939,51,25,25,5,"24",02/01/2023 00:00:00,,0,,62
55,4939,52,26,26,3,"25",05/01/2023 00:00:00,,0,,65
352,5492,1,1,1,1,"0",27/02/2026 00:00:00,25/01/2026 19:18:08,0,,1
353,5492,2,2,2,3,"1",04/03/2026 00:00:00,,0,,4
354,5492,3,3,3,1,"2",05/03/2026 00:00:00,04/02/2026 00:00:00,2,04/02/2026 14:47:45,5
355,5492,4,4,4,15,"1",20/03/2026 00:00:00,,0,,16
356,5492,5,5,5,12,"1",17/03/2026 00:00:00,,0,,13
