"IdRC_TipoUsuarios","NombreTipoUsuario","UsuarioEjemplo","Descripcion"
1,"Administrador","Daniel",
2,"Ventas","Daniel",
3,"Ingenieria del Producto","Lina",
4,"Dise¤o","Sandra",
5,"Produccion","Lucy",
6,"Entregas","Marcelo",
7,"Compra Avios","Israel",
8,"Corte","Genaro",
9,"Calidad","Sonia",
10,"Telas","Lucy",
11,"Dise¤o Grafico","Adrian",
12,"Habilitaciones","Israel",
13,"Inventarios","Moy",
14,"Facturacion","Laura",
15,"Auxiliar Dise¤o","Cristina",
16,"Moldes","Rocio",
17,"Auxiliar Produccion","Claudia",
18,"Gerencia","Aurora",
19,"Tecnico Ing Producto","Betty",
